eps,price,date,advice,est_price,prev_year,rev_yoy,prev_eps,om,status,symbol,prev_rev_yoy,pe,eps_yoy,prev_eps_yoy,name,expansion,gm
0.41,33.7000007629,2026-03,⚪ 數據不足,0.0,2025,6.45,1.44,N/A,🚀 利潤擴張,6908.TW,28.36,0.0,387.5,5.88,宏�砦C戲-創,381.05,N/A
1.59,109.0,2026-03,⚪ 中性觀察,81.60000000000001,2025,359.78,2.19,N/A,🚀 利潤擴張,6716.TWO,-15.3,20.03676470588235,715.79,-49.65,應廣,356.01,N/A
0.24,28.6000003815,2026-03,⚠️ 追價風險,19.499999999999996,2025,37.41,0.73,N/A,🚀 利潤擴張,5210.TWO,9.95,22.00000029346154,380.0,207.35,寶碩,342.59000000000003,N/A
0.99,42.4000015259,2026-03,⚪ 數據不足,-8.4,2025,750.53,-0.2,N/A,🔄 轉虧為盈,5228.TWO,25.85,0.0,1090.0,90.52,鈺鎧,339.47,N/A
1.42,72.5999984741,2026-03,💎 強力關注,92.55,2025,179.43,2.35,N/A,🚀 利潤擴張,2754.TWO,5.96,11.766612394505673,517.65,1.73,亞洲藏壽司,338.21999999999997,N/A
0.13,101.0,2026-03,⚠️ 追價風險,26.4,2025,237.41,0.92,14.30%,🚀 利潤擴張,4556.TWO,-3.75,57.38636363636363,550.0,170.59,旭然,312.59000000000003,42.07%
0.15,25.1499996185,2026-03,✅ 穩健價值,25.95,2025,343.32,0.57,7.94%,🚀 利潤擴張,3071.TWO,-5.82,14.53757203381503,650.0,-29.63,協禧,306.68,30.11%
68.8,2210.0,2026-03,✅ 穩健價值,2097.2999999999997,2025,849.86,41.98,N/A,🚀 利潤擴張,8299.TWO,23.29,15.806036332427407,1143.3,3.78,群聯,293.43999999999994,N/A
0.67,34.3499984741,2026-03,⚪ 數據不足,-2.2499999999999996,2025,270.3,-0.43,N/A,🔄 轉虧為盈,6615.TWO,-14.91,0.0,546.67,-150.59,慧智,276.36999999999995,N/A
0.27,47.1500015259,2026-03,⚪ 數據不足,-9.150000000000002,2025,371.03,0.18,N/A,🚀 利潤擴張,6282.TW,0.1,0.0,640.0,550.0,康舒,268.97,N/A
0.38,23.1000003815,2026-03,⚪ 數據不足,-20.1,2025,186.87,-0.76,N/A,🔄 轉虧為盈,8489.TWO,5.03,0.0,445.45,55.83,三貝德,258.58,N/A
4.49,103.0,2026-03,✅ 穩健價值,120.3,2025,473.51,1.77,8.07%,🚀 利潤擴張,4916.TW,0.89,12.842892768079802,701.79,8050.0,事欣科,228.27999999999997,18.73%
2.97,16.5,2026-03,💎 強力關注,44.1,2025,292.4,0.88,N/A,🚀 利潤擴張,4432.TWO,-3.15,5.612244897959184,518.75,-66.67,銘旺實,226.35000000000002,N/A
0.45,9.6599998474,2026-03,💎 強力關注,14.700000000000001,2025,132.31,0.88,-88.29%,🚀 利潤擴張,4702.TWO,-61.59,9.85714270142857,350.0,51.72,中美實,217.69,35.38%
3.8,146.0,2026-03,💎 強力關注,493.65000000000003,2025,297.67,13.25,N/A,🚀 利潤擴張,8478.TW,5.83,4.436341537526587,512.9,33.97,東哥遊艇,215.22999999999996,N/A
0.66,37.7000007629,2026-03,💎 強力關注,76.65,2025,713.51,1.65,8.70%,🚀 利潤擴張,1609.TW,3.39,7.377690951643834,925.0,-21.15,大亞,211.49,13.61%
0.47,22.8999996185,2026-03,⚪ 數據不足,0.0,2025,26.54,0.08,7.12%,🚀 利潤擴張,3717.TW,3.55,0.0,213.33,-80.0,聯嘉投控,186.79000000000002,19.34%
0.33,54.2999992371,2026-03,⚪ 數據不足,-43.199999999999996,2025,80.73,-1.82,N/A,🔄 轉虧為盈,8084.TWO,-10.9,0.0,266.67,-280.2,巨虹,185.94,N/A
2.65,56.0,2026-03,💎 強力關注,94.05,2025,542.69,2.02,14.85%,🚀 利潤擴張,3290.TWO,18.23,8.931419457735247,728.13,25.64,東浦,185.43999999999994,30.40%
0.09,16.0499992371,2026-03,⚪ 數據不足,-7.95,2025,385.95,-0.17,N/A,🔄 轉虧為盈,5460.TWO,-15.68,0.0,550.0,-177.27,同協,164.05,N/A
0.53,0.0,2026-03,⚪ 數據不足,0.0,2025,116.02,1.54,N/A,🚀 利潤擴張,4582.TWO,32.98,0.0,276.67,1640.0,未知,160.65000000000003,N/A
0.53,25.3500003815,2026-03,⚪ 數據不足,0.0,2025,116.02,1.54,N/A,🚀 利潤擴張,4582.TW,32.98,0.0,276.67,1640.0,聚恆-創,160.65000000000003,N/A
0.06,68.9000015259,2026-03,⚪ 數據不足,-6.6,2025,542.01,-0.25,-2.91%,🔄 轉虧為盈,2426.TW,-2.43,0.0,700.0,-219.05,鼎元,157.99,10.78%
0.28,45.2000007629,2026-03,⚪ 數據不足,-25.049999999999997,2025,108.24,-0.19,8.42%,🔄 轉虧為盈,2417.TW,2.69,0.0,264.29,54.55,圓剛,156.05,56.31%
0.28,11.8500003815,2026-03,⚠️ 追價風險,1.050000000000001,2025,214.33,-0.29,N/A,🔄 轉虧為盈,9934.TW,-4.25,169.2857197357141,366.67,-125.22,成霖,152.34,N/A
1.1,63.5,2026-03,⚠️ 追價風險,32.250000000000014,2025,180.76,1.09,N/A,🚀 利潤擴張,2732.TWO,7.13,29.53488372093022,323.08,-77.02,六角,142.32,N/A
1.03,95.1999969482,2026-03,✅ 穩健價值,96.15,2025,307.94,2.88,N/A,🚀 利潤擴張,6569.TWO,5.8,14.851793595663025,442.11,-38.68,醫揚,134.17000000000002,N/A
1.57,137.0,2026-03,⚠️ 追價風險,85.05,2025,273.28,2.35,N/A,🚀 利潤擴張,6166.TW,17.09,24.16225749559083,406.45,921.74,凌華,133.17000000000002,N/A
3.44,2725.0,2026-03,⚠️ 追價風險,183.0,2025,515.18,4.66,41.27%,🏰 高護城河,3081.TWO,82.29,223.36065573770492,645.65,884.75,聯亞,130.47000000000003,54.76%
2.21,60.0,2026-03,💎 強力關注,172.05,2025,113.17,6.21,N/A,🚀 利潤擴張,3356.TW,-14.96,5.231037489102005,228.49,-20.59,奇偶,115.32000000000001,N/A
0.29,65.5,2026-03,⚪ 數據不足,-7.200000000000001,2025,268.59,0.33,N/A,🚀 利潤擴張,6735.TWO,-4.81,0.0,383.33,-84.51,美達科技,114.74000000000001,N/A
-0.02,6.1599998474,2026-03,⚪ 數據不足,-33.6,2025,-21.56,-1.63,-12.62%,🏰 高護城河,2601.TW,-7.78,0.0,87.5,-365.71,益航,109.06,102.69%
0.37,168.0,2026-03,⚠️ 追價風險,50.699999999999996,2025,161.56,1.73,N/A,🚀 利潤擴張,7730.TW,-5.33,49.70414201183432,270.0,-45.51,暉盛-創,108.44,N/A
0.66,7.0,2026-03,⚪ 數據不足,-40.05,2025,67.27,2.15,N/A,🚀 利潤擴張,2911.TW,-16.81,0.0,163.46,152.83,麗嬰房,96.19000000000001,N/A
0.3,24.5499992371,2026-03,⚠️ 追價風險,13.05,2025,57.36,0.43,12.73%,🏰 高護城河,3083.TWO,-7.4,28.21838992770115,150.0,-46.91,網龍,92.64,87.57%
0.49,39.5999984741,2026-03,✅ 穩健價值,44.550000000000004,2025,990.52,1.39,N/A,🚀 利潤擴張,6931.TW,14.16,13.333332819562289,1080.0,104.41,青松健康,89.48000000000002,N/A
0.28,23.7999992371,2026-03,⚪ 數據不足,-24.299999999999994,2025,486.21,-0.84,-21.33%,🔄 轉虧為盈,1599.TWO,-18.58,0.0,575.0,-169.49,宏佳騰,88.79000000000002,16.92%
0.06,68.5,2026-03,⚪ 數據不足,-18.3,2025,81.97,-0.61,-58.34%,🔄 轉虧為盈,4147.TWO,0.19,0.0,166.67,17.57,中裕,84.69999999999999,28.91%
