日期,代號,名稱,最新價格,成本,股數,損益,報酬率
2026-06-03,2317,鴻海,310.0,241.21,2000,137580,28.52%
2026-06-03,4142,國光生,17.1,25.32,1000,-8220,-32.46%
2026-06-03,0050,元大台灣50,107.75,46.6,16016,979378,131.22%
2026-06-03,0056,元大高股息,53.55,36.43,8000,136960,46.99%
2026-06-03,00635U,期元大S&P黃金,46.73,55.25,3000,-25560,-15.42%
2026-06-03,00738U,期元大道瓊白銀,60.2,66.26,1000,-6060,-9.15%
2026-06-03,00929,復華台灣科技優息,30.98,19.73,8000,90000,57.02%
2026-06-03,009816,凱基台灣TOP50,15.76,11.01,63000,299250,43.14%
2026-06-03,00990A,主動元大AI新經濟,20.86,11.48,5000,46900,81.71%
2026-06-03,2009,第一銅,43.3,50.56,4000,-29040,-14.36%
2026-06-03,2337,旺宏,166.0,95.28,2000,141440,74.22%
2026-06-03,2409,友達,27.65,16.21,2000,22880,70.57%
2026-06-03,3481,群創,58.0,25.1,4000,131600,131.08%
2026-06-03,6806,森崴能源,6.95,45.39,5000,-192200,-84.69%
2026-06-03,3105,穩懋,517.0,556.47,300,-11841,-7.09%
2026-06-03,4966,譜瑞-KY,826.0,1921.64,1000,-1095640,-57.02%
2026-06-03,00403A,主動統一升級50,10.86,10.68,26026,4685,1.69%
2026-06-03,00981A,主動統一台股增長,31.97,27.48,2000,8980,16.34%
2026-06-03,2313,華通,270.0,250.71,1000,19290,7.69%
2026-06-03,2330,台積電,2425.0,225.55,10,21994,975.15%
2026-06-03,6789,采鈺,542.0,593.5,400,-20600,-8.68%
2026-06-03,5474,聰泰,181.5,175.15,2000,12700,3.63%
2026-06-03,6849,奇鼎科技,199.5,266.4,280,-18732,-25.11%
2026-06-03,7853,政美應用,362.0,409.29,280,-13241,-11.55%
2026-06-03,9105,泰金寶-DR,11.55,8.97,3000,7740,28.76%
2026-06-03,3576,聯合再生,18.55,18.5,2000,100,0.27%
2026-06-03,1721,三晃,27.75,27.88,3000,-400,-0.48%
2026-06-03,8215,明基材,31.85,31.6,200,50,0.79%
