=== 殖利率掃描報告 (20260603) ===
基準條件: 10日新高 或 歷史分位 > 80%
[💎 歷史高位] 2115.TW: 6.86% (歷史分位: 98.0%)
[💎 歷史高位] 8424.TWO: 6.86% (歷史分位: 98.1%)
[💎 歷史高位] 2211.TW: 6.84% (歷史分位: 93.3%)
[💎 歷史高位] 4442.TWO: 6.84% (歷史分位: 92.9%)
[💎 歷史高位] 1457.TW: 6.78% (歷史分位: 84.2%)
[💎 歷史高位] 6625.TW: 6.77% (歷史分位: 87.3%)
[💎 歷史高位] 6918.TW: 6.76% (歷史分位: 89.3%)
[💎 歷史高位] 2643.TWO: 6.74% (歷史分位: 91.0%)
[💎 歷史高位] 1102.TW: 6.73% (歷史分位: 94.1%)
[💎 歷史高位] 1472.TW: 6.67% (歷史分位: 90.1%)
[💎 歷史高位] 8481.TW: 6.67% (歷史分位: 86.8%)
[💎 歷史高位] 6637.TWO: 6.67% (歷史分位: 91.7%)
[💎 歷史高位] 1236.TW: 6.59% (歷史分位: 92.1%)
[💎 歷史高位] 6763.TWO: 6.55% (歷史分位: 91.7%)
[💎 歷史高位] 6590.TWO: 6.54% (歷史分位: 97.4%)
[💎 歷史高位] 3373.TWO: 6.49% (歷史分位: 82.7%)
[💎 歷史高位] 1104.TW: 6.45% (歷史分位: 83.6%)
[💎 歷史高位] 9802.TW: 6.4% (歷史分位: 80.3%)
[💎 歷史高位] 4153.TWO: 6.4% (歷史分位: 87.2%)
[💎 歷史高位] 1604.TW: 6.37% (歷史分位: 82.2%)
[💎 歷史高位] 2832.TW: 6.36% (歷史分位: 86.2%)
[💎 歷史高位] 2614.TW: 6.35% (歷史分位: 92.8%)
[💎 歷史高位] 1593.TWO: 6.35% (歷史分位: 89.7%)
[💎 歷史高位] 6997.TWO: 6.34% (歷史分位: 91.7%)
[💎 歷史高位] 1712.TW: 6.33% (歷史分位: 96.1%)
[💎 歷史高位] 1294.TWO: 6.33% (歷史分位: 88.5%)
[💎 歷史高位] 1240.TWO: 6.12% (歷史分位: 99.4%)
[💎 歷史高位] 9951.TWO: 6.11% (歷史分位: 96.2%)
[💎 歷史高位] 1109.TW: 6.06% (歷史分位: 93.4%)
[💎 歷史高位] 4911.TWO: 6.05% (歷史分位: 91.7%)
[💎 歷史高位] 4104.TW: 6.04% (歷史分位: 88.2%)
[💎 歷史高位] 6910.TWO: 6.03% (歷史分位: 81.7%)
[💎 歷史高位] 9911.TW: 6.0% (歷史分位: 82.9%)
[💎 歷史高位] 1535.TW: 5.99% (歷史分位: 84.2%)
[💎 歷史高位] 1295.TWO: 5.98% (歷史分位: 98.1%)
[💎 歷史高位] 2948.TWO: 5.94% (歷史分位: 94.2%)
[💎 歷史高位] 2834.TW: 5.93% (歷史分位: 82.2%)
[💎 歷史高位] 1451.TW: 5.92% (歷史分位: 82.2%)
[💎 歷史高位] 2477.TW: 5.92% (歷史分位: 83.6%)
[💎 歷史高位] 1707.TW: 5.91% (歷史分位: 95.4%)
[💎 歷史高位] 7738.TWO: 5.9% (歷史分位: 93.9%)
[💎 歷史高位] 4123.TWO: 5.87% (歷史分位: 90.4%)
[💎 歷史高位] 6846.TWO: 5.84% (歷史分位: 96.8%)
[💎 歷史高位] 6751.TWO: 5.83% (歷史分位: 82.1%)
[💎 歷史高位] 9930.TW: 5.76% (歷史分位: 82.2%)
[💎 歷史高位] 4746.TW: 5.71% (歷史分位: 88.8%)
[💎 歷史高位] 2415.TW: 5.69% (歷史分位: 84.2%)
[💎 歷史高位] 4173.TWO: 5.68% (歷史分位: 92.9%)
[💎 歷史高位] 1731.TW: 5.65% (歷史分位: 93.4%)
[💎 歷史高位] 2505.TW: 5.62% (歷史分位: 92.1%)
[💎 歷史高位] 6914.TW: 5.61% (歷史分位: 94.7%)
[💎 歷史高位] 4175.TWO: 5.59% (歷史分位: 90.4%)
[💎 歷史高位] 1615.TW: 5.58% (歷史分位: 88.2%)
[💎 歷史高位] 2013.TW: 5.56% (歷史分位: 80.3%)
[💎 歷史高位] 3052.TW: 5.56% (歷史分位: 85.5%)
[💎 歷史高位] 3484.TWO: 5.55% (歷史分位: 82.1%)
[💎 歷史高位] 2608.TW: 5.51% (歷史分位: 90.1%)
[💎 歷史高位] 2812.TW: 5.51% (歷史分位: 85.5%)
[💎 歷史高位] 2756.TWO: 5.51% (歷史分位: 98.7%)
[💎 歷史高位] 6971.TWO: 5.51% (歷史分位: 96.2%)
[💎 歷史高位] 6803.TWO: 5.5% (歷史分位: 92.9%)
[💎 歷史高位] 2607.TW: 5.45% (歷史分位: 84.0%)
