pe,est_price,symbol,date,advice,om,eps,prev_eps_yoy,status,prev_rev_yoy,prev_year,prev_eps,price,eps_yoy,rev_yoy,expansion,name,gm
30.145278450363197,61.949999999999996,4916.TW,2025-12,⚠️ 追價風險,8.07%,1.77,254.55,🚀 利潤擴張,-8.85,2025,1.14,124.5,8050.0,0.89,8049.11,事欣科,18.73%
4.936204268405104,94.05,3062.TW,2025-12,💎 強力關注,-12.63%,0.68,1971.43,🚀 利潤擴張,23.87,2025,1.47,30.9500007629,6600.0,16.55,6583.45,建漢,1.56%
0.9115044416548672,169.5,2547.TW,2025-12,💎 強力關注,18.04%,2.85,1150.0,🧐 疑業外收益,-15.18,2025,2.78,10.3000001907,3612.5,-12.89,3625.39,日勝生,47.97%
9.467311979200968,61.949999999999996,6649.TWO,2025-12,💎 強力關注,N/A,1.4,1737.5,🚀 利潤擴張,158.06,2025,1.31,39.0999984741,3600.0,128.22,3471.78,台生材,N/A
97.6221928665786,113.55,3189.TW,2025-12,⚠️ 追價風險,8.52%,3.51,221.54,🚀 利潤擴張,26.89,2025,2.1,739.0,3072.73,28.87,3043.86,景碩,22.14%
10.445544743267327,15.15,5521.TW,2025-12,💎 強力關注,N/A,0.52,3600.0,🚀 利潤擴張,36.66,2025,0.37,10.5500001907,2500.0,27.32,2472.68,工信,N/A
0.7882352841437907,573.7500000000001,4523.TWO,2025-12,💎 強力關注,-91.14%,22.26,3177.63,🧐 疑業外收益,15.97,2025,23.73,30.1499996185,1562.0,-7.15,1569.15,永彰,-8.90%
3.104693278501805,83.1,1432.TW,2025-12,💎 強力關注,-28.70%,6.03,-125.0,🔄 轉虧為盈,4.99,2025,-0.36,17.2000007629,1502.33,4.63,1497.6999999999998,大魯閣,34.83%
75.31847133757961,47.1,4542.TWO,2025-12,⚠️ 追價風險,7.09%,1.28,196.87,🚀 利潤擴張,27.63,2025,0.95,236.5,1500.0,37.66,1462.34,科嶠,35.25%
3.3233451375646963,550.65,3708.TW,2025-12,💎 強力關注,-95.04%,35.57,-71.04,🧐 疑業外收益,-27.3,2025,0.53,122.0,1276.65,-30.75,1307.4,上緯投控,24.80%
27.951808148132532,24.9,4903.TWO,2025-12,⚠️ 追價風險,-0.59%,1.02,173.33,🚀 利潤擴張,73.71,2025,0.82,46.4000015259,1357.14,64.51,1292.63,聯光通,9.90%
34.91803278688524,45.75000000000001,1815.TWO,2025-12,⚠️ 追價風險,12.18%,1.64,606.25,🚀 利潤擴張,46.55,2025,0.81,106.5,1116.67,40.69,1075.98,富喬,29.01%
15.037063183903989,424.95,5284.TW,2025-12,✅ 穩健價值,N/A,12.05,1777.36,🚀 利潤擴張,53.98,2025,9.16,426.0,1105.15,56.24,1048.91,jpp-KY,N/A
37.56756653648649,5.55,5488.TWO,2025-12,⚠️ 追價風險,N/A,0.11,-45.45,🧐 疑業外收益,-10.59,2025,0.06,13.8999996185,1000.0,-8.11,1008.11,松普,N/A
5.125000079479166,72.0,2331.TW,2025-12,💎 強力關注,-0.28%,1.41,1700.0,🚀 利潤擴張,10.42,2025,1.44,24.6000003815,981.25,14.95,966.3,精英,9.91%
2.344131936069682,245.39999999999998,4123.TWO,2025-12,💎 強力關注,-106.23%,12.33,810.64,🧐 疑業外收益,-4.5,2025,3.52,38.3499984741,905.92,-6.28,912.1999999999999,晟德,41.95%
33.82653216928572,29.4,8088.TWO,2025-12,⚠️ 追價風險,N/A,1.7,133.73,🚀 利潤擴張,38.48,2025,0.28,66.3000030518,962.5,55.8,906.7,品安,N/A
28.798185941043084,66.15,6166.TW,2025-12,⚠️ 追價風險,N/A,2.35,357.63,🚀 利潤擴張,23.93,2025,1.52,127.0,921.74,17.09,904.65,凌華,N/A
8.529411632698963,43.349999999999994,1529.TW,2025-12,💎 強力關注,7.13%,1.01,977.78,🚀 利潤擴張,34.59,2025,0.97,24.6499996185,876.92,32.89,844.03,樂事綠能,16.87%
16.977400698898304,53.1,8110.TW,2025-12,⚪ 中性觀察,N/A,2.48,270.59,🧐 疑業外收益,-8.99,2025,1.29,60.0999984741,830.77,-6.92,837.6899999999999,華東,N/A
200.4434589800443,67.65,8046.TW,2025-12,⚠️ 追價風險,N/A,3.01,2775.0,🚀 利潤擴張,18.82,2025,1.15,904.0,840.63,24.44,816.1899999999999,南電,N/A
0.0,0.0,6182.TWO,2025-12,⚪ 數據不足,N/A,0.09,-350.0,🔄 轉虧為盈,11.35,2025,-0.05,96.9000015259,800.0,12.57,787.43,合晶,N/A
12.284767706688738,22.650000000000006,2102.TW,2025-12,✅ 穩健價值,-167.95%,6.28,-258.33,🔄 轉虧為盈,1.98,2025,-2.22,18.5499992371,721.43,-0.57,722.0,泰豐,20.10%
0.0,0.0,4414.TW,2025-12,⚪ 數據不足,4.40%,0.68,107.14,🧐 疑業外收益,-4.36,2025,0.02,0.0,700.0,-5.37,705.37,如興,19.96%
216.0,3.75,3236.TWO,2025-12,⚠️ 追價風險,5.00%,0.32,250.0,🚀 利潤擴張,7.39,2025,0.12,54.0,700.0,10.91,689.09,千如,26.03%
26.56249999999999,7.200000000000003,2323.TW,2025-12,⚠️ 追價風險,-5.65%,1.58,-2.63,🧐 疑業外收益,-4.42,2025,0.37,12.75,685.19,-3.39,688.58,中環,23.42%
0.0,-9.45,4413.TWO,2025-12,⚪ 數據不足,6.14%,0.53,-966.67,🔄 轉虧為盈,140.24,2025,-0.26,16.6000003815,783.33,114.77,668.5600000000001,飛寶企業,24.00%
26.250000794791664,7.2,4924.TWO,2025-12,⚠️ 追價風險,0.43%,0.38,460.0,🚀 利潤擴張,22.5,2025,0.28,12.6000003815,660.0,3.99,656.01,欣厚-KY,27.32%
17.324561403508774,17.099999999999998,3002.TW,2025-12,⚪ 中性觀察,-11.28%,0.36,422.22,🚀 利潤擴張,14.66,2025,0.48,19.75,620.0,16.76,603.24,歐格,17.03%
771.7391304347826,3.4499999999999997,2344.TW,2025-12,⚠️ 追價風險,15.37%,0.88,-57.14,🚀 利潤擴張,-0.22,2025,0.12,177.5,576.92,9.55,567.37,華邦電,41.86%
29.23076923076923,39.0,3054.TW,2025-12,⚠️ 追價風險,-188.65%,1.96,288.57,🏰 高護城河,24.16,2025,0.66,76.0,590.0,26.61,563.39,立萬利,62.07%
2.384210486157895,142.49999999999997,9949.TWO,2025-12,💎 強力關注,N/A,5.29,1270.21,🧐 疑業外收益,-19.03,2025,5.5,22.6499996185,544.54,-17.0,561.54,琉園,N/A
0.0,-13.950000000000003,6282.TW,2025-12,⚪ 數據不足,N/A,0.18,-90.0,🔄 轉虧為盈,-4.33,2025,-0.38,64.4000015259,550.0,0.1,549.9,康舒,N/A
182.05882801705866,2.5500000000000025,2491.TW,2025-12,⚠️ 追價風險,-66.51%,1.43,179.03,🧐 疑業外收益,-12.66,2025,0.49,30.9500007629,457.5,-10.43,467.93,吉祥全,43.42%
27.768593780247933,18.15,3297.TWO,2025-12,⚠️ 追價風險,-18.51%,0.47,2600.0,🚀 利潤擴張,18.74,2025,0.54,33.5999984741,461.54,20.59,440.95000000000005,杭特,30.70%
0.0,-9.599999999999998,3555.TWO,2025-12,⚪ 數據不足,4.44%,1.28,7.84,🔄 轉虧為盈,310.97,2025,-0.58,212.0,752.94,334.57,418.37000000000006,博士旺,18.45%
30.68181818181819,13.199999999999998,2243.TW,2025-12,⚠️ 追價風險,15.14%,1.22,38.89,🔄 轉虧為盈,-10.45,2025,-0.11,27.0,408.33,-9.02,417.34999999999997,宏旭-KY,22.27%
52.243043725156156,264.15000000000003,3167.TW,2025-12,⚠️ 追價風險,18.24%,8.13,790.16,🚀 利潤擴張,119.15,2025,5.45,920.0,474.47,95.35,379.12,大量,42.12%
8.809090527636364,16.499999999999996,1413.TW,2025-12,💎 強力關注,0.23%,0.45,326.32,🧐 疑業外收益,-6.34,2025,0.43,9.6899995804,364.71,-9.55,374.26,宏洲,2.52%
114.0926640926641,38.849999999999994,4764.TW,2025-12,⚠️ 追價風險,7.74%,1.22,187.32,🚀 利潤擴張,6.23,2025,0.62,295.5,377.27,5.46,371.81,雙鍵,23.49%
6.6776317462499994,68.4,5490.TWO,2025-12,💎 強力關注,N/A,1.69,916.67,🚀 利潤擴張,13.03,2025,1.26,30.4500007629,382.35,12.01,370.34000000000003,同亨,N/A
5.9285715648214286,42.0,8940.TW,2025-12,💎 強力關注,N/A,0.55,103.23,🧐 疑業外收益,-10.3,2025,0.02,16.6000003815,358.33,-6.42,364.75,新天地,N/A
20.05025202306533,59.699999999999996,3219.TWO,2025-12,⚪ 中性觀察,-15.39%,1.52,179.66,🏰 高護城河,43.11,2025,1.65,79.8000030518,406.67,49.68,356.99,倚強科,69.49%
11.318897637795276,38.1,2409.TW,2025-12,💎 強力關注,-2.70%,0.9,185.25,🚀 利潤擴張,-0.15,2025,0.52,28.75,327.5,0.41,327.09,友達,10.73%
4.2078286603821065,321.90000000000003,4439.TW,2025-12,💎 強力關注,0.97%,7.73,114.76,🚀 利潤擴張,30.37,2025,7.71,90.3000030518,346.24,29.26,316.98,冠星-KY,15.60%
0.0,-2.7000000000000006,2399.TW,2025-12,⚪ 數據不足,-12.67%,0.15,-222.22,🔄 轉虧為盈,-14.04,2025,-0.11,50.7000007629,275.0,-14.09,289.09,映泰,8.40%
2.0855950214154486,359.25,2498.TW,2025-12,💎 強力關注,-79.17%,7.21,352.24,🧐 疑業外收益,-0.73,2025,7.88,49.9500007629,275.85,-5.85,281.70000000000005,宏達電,34.44%
