status,prev_year,prev_rev_yoy,price,eps_yoy,gm,advice,rev_yoy,pe,eps,name,om,expansion,prev_eps,prev_eps_yoy,symbol,est_price,date
🔄 轉虧為盈,2025,-10.95,181.5,1100.0,17.62%,⚪ 數據不足,510.23,0.0,0.24,盟立,-3.37%,589.77,-0.84,-266.0,2464.TW,-26.55,2026-03
🏰 高護城河,2025,69.84,281.0,2067.82,61.62%,💎 強力關注,1484.6,7.181190902121134,18.93,創見,55.59%,583.2200000000003,12.98,140.33,2451.TW,586.95,2026-03
🔄 轉虧為盈,2025,58.31,12.1000003815,806.67,-40.24%,💎 強力關注,224.53,6.173469582397957,2.12,台鋼建設,-147.39%,582.14,-0.07,89.09,3521.TWO,29.400000000000006,2026-03
🚀 利潤擴張,2025,-44.61,32.2999992371,1763.64,20.96%,✅ 穩健價值,1184.49,15.833332959362746,1.86,南港,4.39%,579.1500000000001,1.01,-68.84,2101.TW,30.6,2026-03
🔄 轉虧為盈,2025,-2.21,46.1500015259,1100.0,14.87%,⚪ 數據不足,543.13,0.0,0.2,高鋒,-1.97%,556.87,-1.02,-197.14,4510.TWO,-36.6,2026-03
🚀 利潤擴張,2025,-19.66,36.6500015259,1200.0,28.61%,⚠️ 追價風險,688.27,34.904763358000004,0.26,微端,8.69%,511.73,0.7,-40.68,3285.TWO,15.75,2026-03
🚀 利潤擴張,2025,20.92,130.5,530.77,N/A,⚠️ 追價風險,43.25,37.60806916426513,1.64,GOGOLOOK,N/A,487.52,1.58,222.58,6902.TW,52.05,2026-03
🔄 轉虧為盈,2025,5.06,18.9818592072,820.0,N/A,⚪ 數據不足,335.75,0.0,0.46,鑫永洋,N/A,484.25,-0.16,74.6,6241.TWO,-7.499999999999999,2026-03
🚀 利潤擴張,2025,-6.1,20.2999992371,1200.0,N/A,⚠️ 追價風險,727.58,34.4067783679661,0.22,綠電,N/A,472.41999999999996,0.31,-42.59,8440.TWO,8.850000000000001,2026-03
🧐 疑業外收益,2025,-41.11,86.5,418.92,30.54%,⚪ 數據不足,-25.82,0.0,1.21,富田-創,-0.34%,444.74,2.72,-1.45,4590.TW,0.0,2026-03
🚀 利潤擴張,2025,11.66,44.7000007629,600.0,36.04%,⚠️ 追價風險,187.7,38.5344834162931,0.25,麗正,11.05%,412.3,0.49,-34.67,2302.TW,17.400000000000002,2026-03
🚀 利潤擴張,2025,9.55,168.0,1037.5,41.86%,⚠️ 追價風險,646.87,61.76470588235295,2.25,華邦電,15.37%,390.63,0.88,576.92,2344.TW,40.8,2026-03
🚀 利潤擴張,2025,28.36,30.8500003815,387.5,N/A,⚪ 數據不足,6.45,0.0,0.41,宏�砦C戲-創,N/A,381.05,1.44,5.88,6908.TW,0.0,2026-03
🚀 利潤擴張,2025,-15.3,136.5,715.79,N/A,⚠️ 追價風險,359.78,25.09191176470588,1.59,應廣,N/A,356.01,2.19,-49.65,6716.TWO,81.60000000000001,2026-03
🚀 利潤擴張,2025,9.95,28.6499996185,380.0,N/A,⚠️ 追價風險,37.41,22.038461245000004,0.24,寶碩,N/A,342.59000000000003,0.73,207.35,5210.TWO,19.499999999999996,2026-03
🔄 轉虧為盈,2025,25.85,42.5499992371,1090.0,N/A,⚪ 數據不足,750.53,0.0,0.99,鈺鎧,N/A,339.47,-0.2,90.52,5228.TWO,-8.4,2026-03
🚀 利潤擴張,2025,5.96,68.6999969482,517.65,N/A,💎 強力關注,179.43,11.134521385445705,1.42,亞洲藏壽司,N/A,338.21999999999997,2.35,1.73,2754.TWO,92.55,2026-03
🚀 利潤擴張,2025,-3.75,76.5,550.0,42.07%,⚠️ 追價風險,237.41,43.46590909090909,0.13,旭然,14.30%,312.59000000000003,0.92,170.59,4556.TWO,26.4,2026-03
🚀 利潤擴張,2025,-5.82,24.3999996185,650.0,30.11%,✅ 穩健價值,343.32,14.104046022254336,0.15,協禧,7.94%,306.68,0.57,-29.63,3071.TWO,25.95,2026-03
🚀 利潤擴張,2025,23.29,1965.0,1143.3,N/A,✅ 穩健價值,849.86,14.05378343584609,68.8,群聯,N/A,293.43999999999994,41.98,3.78,8299.TWO,2097.2999999999997,2026-03
🔄 轉虧為盈,2025,-14.91,33.6500015259,546.67,N/A,⚪ 數據不足,270.3,0.0,0.67,慧智,N/A,276.36999999999995,-0.43,-150.59,6615.TWO,-2.2499999999999996,2026-03
🚀 利潤擴張,2025,0.1,45.5499992371,640.0,N/A,⚪ 數據不足,371.03,0.0,0.27,康舒,N/A,268.97,0.18,550.0,6282.TW,-9.150000000000002,2026-03
