
📅 投資日報表: 2026-07-18
=======================================================================================================================================
代號     | 名稱       | 開盤     | 最高     | 最低     | 最新     | 成交量         | 平均成本    | 股數     | 損益       | 報酬%
---------------------------------------------------------------------------------------------------------------------------------------
2317     | 鴻海         | 240.50   | 244.00   | 238.00   | 242.50   | 37,128,310   | 241.21      | 2000     | ▲2,580    |   +0.53%
4142     | 國光生        | 17.45    | 17.55    | 17.30    | 17.35    | 620,135      | 25.32       | 1000     | ▼7,970    |  -31.48%
0050     | 元大台灣50     | 105.35   | 106.75   | 104.55   | 106.40   | 68,042,614   | 46.60       | 16000    | ▲956,800  | +128.33%
0056     | 元大高股息      | 52.55    | 52.90    | 52.20    | 52.65    | 41,710,404   | 36.43       | 4000     | ▲64,880   |  +44.52%
00635U   | 期元大S&P黃金   | 42.05    | 42.14    | 41.95    | 41.97    | 1,172,655    | 55.25       | 3000     | ▼39,840   |  -24.04%
00738U   | 期元大道瓊白銀    | 46.26    | 46.26    | 45.80    | 45.92    | 2,505,150    | 66.26       | 1000     | ▼20,340   |  -30.70%
00929    | 復華台灣科技優息   | 29.98    | 30.16    | 29.65    | 29.90    | 29,153,754   | 19.73       | 8000     | ▲81,360   |  +51.55%
009816   | 凱基台灣TOP50  | 15.16    | 15.36    | 15.03    | 15.29    | 125,468,471  | 11.01       | 63000    | ▲269,640  |  +38.87%
00990A   | 主動元大AI新經濟  | 17.40    | 17.40    | 17.09    | 17.19    | 40,923,912   | 11.48       | 5000     | ▲28,550   |  +49.74%
2009     | 第一銅        | 38.75    | 38.90    | 38.25    | 38.25    | 587,250      | 50.56       | 4000     | ▼49,240   |  -24.35%
2337     | 旺宏         | 143.50   | 144.00   | 136.00   | 136.50   | 70,737,205   | 95.28       | 2000     | ▲82,440   |  +43.26%
2409     | 友達         | 27.75    | 28.20    | 27.00    | 27.65    | 159,974,543  | 16.21       | 2000     | ▲22,880   |  +70.57%
3481     | 群創         | 57.40    | 58.90    | 55.50    | 57.30    | 241,407,887  | 25.10       | 4000     | ▲128,800  | +128.29%
3105     | 穩懋         | 380.50   | 381.00   | 364.50   | 369.00   | 10,850,017   | 556.47      | 300      | ▼56,241   |  -33.69%
4966     | 譜瑞-KY      | 629.00   | 638.00   | 621.00   | 631.00   | 589,400      | 1921.64     | 1000     | ▼1,290,640 |  -67.16%
2327     | 國巨*        | 775.00   | 807.00   | 775.00   | 776.00   | 41,847,682   | 1030.00     | 1        | ▼254      |  -24.66%
00403A   | 主動統一升級50   | 10.25    | 10.37    | 10.14    | 10.28    | 181,579,037  | 10.68       | 26000    | ▼10,400   |   -3.75%
00981A   | 主動統一台股增長   | 28.88    | 29.20    | 28.50    | 28.95    | 121,948,639  | 27.48       | 2000     | ▲2,940    |   +5.35%
2330     | 台積電        | 2430.00  | 2470.00  | 2420.00  | 2470.00  | 27,848,158   | 225.55      | 10       | ▲22,444   | +995.10%
6789     | 采鈺         | 525.00   | 533.00   | 508.00   | 526.00   | 2,079,997    | 593.50      | 400      | ▼27,000   |  -11.37%
6849     | 奇鼎科技       | 167.00   | 171.50   | 155.50   | 160.50   | 510,621      | 266.40      | 280      | ▼29,652   |  -39.75%
7853     | 政美應用       | 338.00   | 341.00   | 325.00   | 328.50   | 582,519      | 409.29      | 280      | ▼22,621   |  -19.74%
3576     | 聯合再生       | 17.95    | 18.15    | 17.65    | 17.70    | 18,115,684   | 18.15       | 5000     | ▼2,250    |   -2.48%
1721     | 三晃         | 23.35    | 23.65    | 22.80    | 23.05    | 735,275      | 27.88       | 3000     | ▼14,500   |  -17.33%
8215     | 明基材        | 27.00    | 27.75    | 26.70    | 27.15    | 510,000      | 31.60       | 200      | ▼890      |  -14.08%
00405A   | 主動富邦台灣龍耀   | 8.47     | 8.57     | 8.34     | 8.44     | 49,068,742   | 9.34        | 11000    | ▼9,900    |   -9.64%
5498     | 凱崴         | 55.30    | 55.60    | 53.80    | 54.00    | 1,430,605    | 69.61       | 188      | ▼2,935    |  -22.42%
1301     | 台塑         | 66.80    | 68.60    | 65.00    | 65.60    | 121,935,483  | 50.50       | 100      | ▲1,510    |  +29.90%
6498     | 久禾光        | 85.60    | 86.70    | 83.90    | 85.00    | 107,000      | 67.30       | 12       | ▲212      |  +26.30%
009821   | 野村稀土關鍵資源   | 13.34    | 13.34    | 13.10    | 13.13    | 8,070,531    | 17.30       | 12000    | ▼50,040   |  -24.10%
---------------------------------------------------------------------------------------------------------------------------------------
💰 庫存總投入:       6,426,664    📊 未實現損益:         +30,324 (  +0.47%)
