price,advice,symbol,gm,eps,prev_year,prev_rev_yoy,status,prev_eps_yoy,pe,est_price,eps_yoy,prev_eps,om,date,name,expansion,rev_yoy
860.0,⚠️ 追價風險,8046.TW,N/A,3.01,2025,18.82,🚀 利潤擴張,2775.0,190.6873614190687,67.65,840.63,1.15,N/A,2025-12,南電,816.1899999999999,24.44
97.6999969482,⚪ 數據不足,6182.TWO,N/A,0.09,2025,11.35,🔄 轉虧為盈,-350.0,0.0,0.0,800.0,-0.05,N/A,2025-12,合晶,787.43,12.57
18.1499996185,✅ 穩健價值,2102.TW,20.10%,6.28,2025,1.98,🔄 轉虧為盈,-258.33,12.019867297019864,22.650000000000006,721.43,-2.22,-167.95%,2025-12,泰豐,722.0,-0.57
0.0,⚪ 數據不足,4414.TW,19.96%,0.68,2025,-4.36,🧐 疑業外收益,107.14,0.0,0.0,700.0,0.02,4.40%,2025-12,如興,705.37,-5.37
69.5,⚠️ 追價風險,3236.TWO,26.03%,0.32,2025,7.39,🚀 利潤擴張,250.0,278.0,3.75,700.0,0.12,5.00%,2025-12,千如,689.09,10.91
11.3000001907,⚠️ 追價風險,2323.TW,23.42%,1.58,2025,-4.42,🧐 疑業外收益,-2.63,23.541667063958325,7.200000000000003,685.19,0.37,-5.65%,2025-12,中環,688.58,-3.39
16.6499996185,⚪ 數據不足,4413.TWO,24.00%,0.53,2025,140.24,🔄 轉虧為盈,-966.67,0.0,-9.45,783.33,-0.26,6.14%,2025-12,飛寶企業,668.5600000000001,114.77
12.1000003815,⚠️ 追價風險,4924.TWO,27.32%,0.38,2025,22.5,🚀 利潤擴張,460.0,25.208334128124996,7.2,660.0,0.28,0.43%,2025-12,欣厚-KY,656.01,3.99
19.7000007629,⚪ 中性觀察,3002.TW,17.03%,0.36,2025,14.66,🚀 利潤擴張,422.22,17.280702423596495,17.099999999999998,620.0,0.48,-11.28%,2025-12,歐格,603.24,16.76
189.0,⚠️ 追價風險,2344.TW,41.86%,0.88,2025,-0.22,🚀 利潤擴張,-57.14,821.7391304347826,3.4499999999999997,576.92,0.12,15.37%,2025-12,華邦電,567.37,9.55
