代號,名稱,現價,當日外資(張),當日投信(張),當日自營(張),Date,上週估買(張),這週估買(張),淨增進貨(張),增長倍數,5D股價漲跌,狀態
9105.TW,泰金寶-DR,9.95,2198,0,124,20260615,-262265,159581,421846,-0.6x,-3.86%,★ 壓低偷買
6282.TW,康舒,58.3,-2830,69,-388,20260615,-358233,43532,401765,-0.1x,-0.85%,★ 壓低偷買
4540.TW,全球傳動,61.4,95,0,0,20260615,-152070,799,152870,-0.0x,-5.25%,★ 壓低偷買
6443.TW,元晶,41.2,-6792,0,890,20260615,-24461,96871,121333,-4.0x,13.97%,▲ 順勢追意
8039.TW,台虹,147.5,-772,0,-187,20260615,-48138,47853,95992,-1.0x,13.03%,▲ 順勢追意
8112.TW,至上,97.3,-11989,-280,-674,20260615,48020,142364,94343,3.0x,14.88%,▲ 順勢追意
6213.TW,聯茂,263.5,1957,0,185,20260615,-62906,14845,77752,-0.2x,8.21%,▲ 順勢追意
6202.TW,盛群,65.2,5298,0,135,20260615,-2245,64754,66999,-28.8x,26.11%,▲ 順勢追意
6209.TW,今國光,86.7,515,0,211,20260615,-15991,48602,64594,-3.0x,8.38%,▲ 順勢追意
6269.TW,台郡,73.6,1795,0,249,20260615,-7161,21241,28403,-3.0x,14.11%,▲ 順勢追意
8358.TWO,金居,624.0,637,16,278,20260615,-24769,1943,26713,-0.1x,6.48%,▲ 順勢追意
6191.TW,精成科,103.0,7989,395,224,20260615,5710,31978,26267,5.6x,8.76%,▲ 順勢追意
6672.TW,騰輝電子-KY,235.5,1291,0,31,20260615,-1739,24026,25765,-13.8x,8.53%,▲ 順勢追意
8936.TWO,國統,57.9,386,0,5,20260615,-15552,10147,25700,-0.7x,0.35%,★ 壓低偷買
4989.TW,榮科,80.8,-142,0,2,20260615,-16787,7517,24305,-0.4x,-2.77%,★ 壓低偷買
6153.TW,嘉聯益,24.45,-675,0,149,20260615,14004,38043,24039,2.7x,20.15%,▲ 順勢追意
5471.TW,松翰,57.4,2506,0,-2,20260615,233,21945,21712,94.0x,19.58%,▲ 順勢追意
8064.TWO,東捷,139.5,-406,0,-13,20260615,-14762,5712,20474,-0.4x,-8.22%,★ 壓低偷買
6005.TW,群益證,40.05,4209,-489,0,20260615,-8408,8114,16522,-1.0x,-1.23%,★ 壓低偷買
8104.TW,錸寶,38.9,100,0,0,20260615,-15083,1094,16177,-0.1x,-3.35%,★ 壓低偷買
8096.TWO,擎亞,145.5,717,0,212,20260615,16513,31879,15366,1.9x,21.76%,▲ 順勢追意
