股票代碼         名稱              收盤價       最佳均線          勝率%            報酬%       次數        外資5日買 目前狀態                
----------------------------------------------------------------------------------------------------------------------------------
0050.TW      元大台灣50        74.25          6         70.0           9.94        2      -110488 📉 觀望/賣出             
0052.TW      富邦科技           44.1          6        65.22           8.68        3          140 📉 觀望/賣出             
0056.TW      元大高股息         37.97          3         75.0           6.28        4        -2041 📉 觀望/賣出             
00631L.TW    元大台灣50正2      442.8          3        71.43           1.82        3          251 📉 觀望/賣出             
00632R.TW    元大台灣50反1      14.52          6         40.0          -2.21        3         -616 📈 持有                
00633L.TW    富邦上証正2         44.4          9        42.86          -3.95        4          250 📉 觀望/賣出             
00634R.TW    富邦上証反1         3.38          5        53.33           0.03        4            0 📈 持有                
00635U.TW    期元大S&P黃金      46.18          5        77.78          14.59        3         -599 📉 觀望/賣出             
00637L.TW    元大滬深300正2     18.42         11        46.15           -5.1        2        -5352 📉 觀望/賣出             
00638R.TW    元大滬深300反1      7.29          7        47.37           -2.4        4           25 📈 持有                
00640L.TW    富邦日本正2         79.6          6        63.16           8.74        3            2 📉 觀望/賣出             
00641R.TW    富邦日本反1         4.42         11        44.44           1.45        3            0 📈 持有                
00642U.TW    期元大S&P石油      26.81         11        60.53          72.74        0        -3169 📈 持有                
00646.TW     元大S&P500       65.4         16          0.0          -2.73        3         1726 📉 觀望/賣出             
00648R.TW    元大S&P500反1     4.64         15         50.0            2.1        3          -11 📈 持有                
00650L.TW    復華香港正2        15.81          3         50.0           1.57        5         -144 📉 觀望/賣出             
00651R.TW    復華香港反1         5.59         19        47.62           6.23        2            0 📈 持有                
00654R.TW    富邦印度反1         7.32         11         60.0           11.8        2            0 📈 持有                
00655L.TW    未知            30.91         11        42.86          -3.49        1         1097 📉 觀望/賣出             
00656R.TW    國泰中國A50反1      6.44          6         50.0           -3.5        5            0 📈 持有                
00662.TW     富邦NASDAQ       97.8         16        33.33          -7.15        5         -879 📉 觀望/賣出             
00663L.TW    國泰臺灣加權正2      57.85          3        61.54           2.31        3          -80 📉 觀望/賣出             
00664R.TW    國泰臺灣加權反1       2.35          6        44.44          -1.22        3          -15 📈 持有                
00665L.TW    富邦恒生國企正2       9.14          3         50.0          -1.68        4        -2554 📉 觀望/賣出             
00666R.TW    富邦恒生國企反1       9.49          8        47.37           1.27        3            0 📈 持有                
00669R.TW    國泰美國道瓊反1       6.09         16         61.9            2.9        3            0 📈 持有                
00671R.TW    富邦NASDAQ反1     3.04         19        42.11          -0.11        3            0 📈 持有                
00673R.TW    期元大S&P原油反1    18.62         13          0.0            0.0        0          -75 📉 觀望/賣出             
00674R.TW    期元大S&P黃金反1     5.69         17        85.71          17.56        0          -83 📈 持有                
00675L.TW    富邦臺灣加權正2      175.3          3        71.43           1.73        3          -77 📉 觀望/賣出             
00676R.TW    富邦臺灣加權反1       7.98          6         40.0          -1.47        3          -25 📈 持有                
00679B.TWO   元大美債20年       27.05         14        56.25           2.35        1         5361 📉 觀望/賣出             
00680L.TW    元大美債20正2       6.96          7         60.0           2.57        3         5513 📉 觀望/賣出             
00685L.TW    群益臺灣加權正2     157.75          3        71.43            1.7        3          -11 📉 觀望/賣出             
00686R.TW    群益臺灣加權反1       1.43          5        44.44          -0.02        2           45 📈 持有                
00687B.TWO   國泰20年美債        28.1          7        53.33            1.5        3       -13234 📉 觀望/賣出             
00688L.TW    國泰20年美債正2      6.94          7        57.14           2.72        3         2075 📉 觀望/賣出             
00693U.TW    期街口S&P黃豆      22.09          8        78.26           6.74        3          -23 📉 觀望/賣出             
