代號,名稱,收盤價,狀態,上週估計買入量,這週估計買入量,淨增 (動能加速度),增長倍數,5D股價漲跌,自營商買賣超,投信買賣超,外資主力買賣超
6861.TW,睿生光電,440.0,▲ 順勢追意,-546,-12,534.16,0.0x,-2.00%,0,0,-283
6409.TW,旭隼,709.0,▲ 順勢追意,-539,-46,493.02,0.1x,4.73%,-20,-1,-52
6438.TW,迅得,175.0,▲ 順勢追意,596,1086,489.62,1.8x,3.55%,13,0,205
6223.TWO,旺矽,5960.0,★ 壓低偷買,5,481,476.54,89.4x,-1.24%,-13,-31,-116
6757.TW,台灣虎航,56.7,▲ 順勢追意,118,577,458.39,4.9x,4.81%,0,0,1023
9907.TW,統一實,15.95,▲ 順勢追意,-1374,-927,447.1,0.7x,0.00%,-5,-72,-1787
8092.TWO,建暐,17.8,▲ 順勢追意,-365,18,383.91,轉買進,-2.73%,0,0,29
6259.TWO,百徽,27.0,▲ 順勢追意,335,694,358.92,2.1x,7.14%,0,0,101
6902.TW,GOGOLOOK,143.0,▲ 順勢追意,-30,328,358.51,轉買進,10.42%,0,0,82
6996.TWO,力領科技,191.5,▲ 順勢追意,-277,80,358.13,轉買進,-1.29%,0,0,54
7828.TWO,創新服務,1410.0,▲ 順勢追意,106,452,346.23,4.2x,21.03%,25,0,113
7721.TW,微程式,72.8,★ 壓低偷買,108,403,294.76,3.7x,-9.00%,1,0,-13
6806.TW,森崴能源,6.71,★ 壓低偷買,-232,3,235.7,轉買進,-27.62%,0,0,5
6994.TW,富威電力,64.8,▲ 順勢追意,-575,-341,234.25,0.6x,15.71%,-3,0,-79
6669.TW,緯穎,5445.0,▲ 順勢追意,-129,86,215.68,轉買進,-1.45%,-106,-192,191
6231.TWO,系微,284.5,★ 壓低偷買,251,454,203.12,1.8x,-3.07%,-23,0,127
6573.TW,虹揚-KY,16.3,▲ 順勢追意,-26,165,192.23,轉買進,23.95%,7,0,79
8942.TWO,森鉅,41.7,▲ 順勢追意,-57,120,178.16,轉買進,2.21%,0,0,286
6906.TW,現觀科,109.0,▲ 順勢追意,-303,-134,169.03,0.4x,29.30%,5,0,11
8935.TWO,邦泰,21.0,▲ 順勢追意,111,279,168.48,2.5x,5.00%,0,0,217
7704.TWO,明遠精密,60.1,★ 壓低偷買,-102,64,167.42,轉買進,-8.38%,0,0,-5
6870.TWO,騰雲,266.0,▲ 順勢追意,-97,69,166.45,轉買進,13.19%,7,0,21
7728.TWO,光焱科技,770.0,▲ 順勢追意,-28,135,163.98,轉買進,6.94%,0,0,83
6568.TWO,宏觀,226.0,★ 壓低偷買,-307,-143,163.79,0.5x,4.15%,6,0,46
6510.TWO,精測,3140.0,★ 壓低偷買,54,213,159.21,3.9x,-7.78%,9,-214,126
912000.TW,晨訊科-DR,2.4,▲ 順勢追意,-39,116,155.81,轉買進,0.00%,0,0,194
6499.TWO,益安,85.0,★ 壓低偷買,470,625,154.89,1.3x,-9.28%,0,0,-132
6488.TWO,環球晶,1015.0,▲ 順勢追意,-3988,-3835,153.26,1.0x,41.56%,-250,2147,-1670
6859.TWO,伯特光,127.0,▲ 順勢追意,-85,56,142.85,轉買進,5.39%,-1,0,74
6782.TW,視陽,193.0,▲ 順勢追意,-233,-94,138.7,0.4x,1.05%,0,0,-82
8476.TW,台境*,15.35,▲ 順勢追意,10,143,133.03,13.8x,-3.15%,-1,0,47
7709.TWO,榮田,110.5,▲ 順勢追意,-29,102,131.23,轉買進,21.96%,19,0,15
6788.TWO,華景電,423.5,▲ 順勢追意,-324,-193,130.12,0.6x,0.00%,0,0,77
6569.TWO,醫揚,100.5,▲ 順勢追意,-92,26,119.37,轉買進,7.95%,-5,0,12
6283.TW,淳安,24.0,★ 壓低偷買,-6,110,117.65,轉買進,-2.44%,-7,0,88
8442.TW,威宏-KY,39.95,▲ 順勢追意,-106,10,117.33,轉買進,-1.36%,1,0,40
6417.TWO,韋僑,142.5,★ 壓低偷買,-42,68,110.8,轉買進,7.55%,-13,0,11
6944.TW,兆聯實業,946.0,▲ 順勢追意,297,402,104.89,1.4x,2.38%,-55,0,76
6277.TW,宏正,78.0,▲ 順勢追意,66,163,96.36,2.4x,4.70%,1,0,258
6474.TWO,華豫寧,37.65,★ 壓低偷買,0,95,95.38,轉買進,-1.57%,0,0,202
6922.TWO,宸曜,199.0,▲ 順勢追意,57,149,91.49,2.6x,6.13%,-30,0,61
9917.TW,中保科,114.0,▲ 順勢追意,-66,24,90.62,轉買進,1.79%,0,-5,-11
6263.TWO,普萊德,178.5,★ 壓低偷買,-91,-2,89.25,0.0x,-1.92%,-33,0,-3
7792.TWO,安葆,281.5,▲ 順勢追意,-95,-10,85.0,0.1x,3.11%,-9,0,-11
6477.TW,安集,33.85,★ 壓低偷買,36,117,80.59,3.2x,-1.74%,1,0,-23
6613.TWO,朋億*,264.5,★ 壓低偷買,39,119,80.46,3.1x,2.92%,-24,0,-32
8176.TWO,智捷,10.25,▲ 順勢追意,-3,76,79.71,轉買進,1.99%,0,0,72
6465.TWO,威潤,47.9,★ 壓低偷買,221,298,76.88,1.3x,-9.28%,0,0,-59
6616.TWO,特昇-KY,9.26,★ 壓低偷買,-78,-2,76.63,0.0x,-6.84%,0,0,-11
9955.TW,佳龍,27.95,★ 壓低偷買,-65,7,72.74,轉買進,-0.71%,2,0,191
6617.TWO,共信-KY,72.2,▲ 順勢追意,14,86,72.14,6.0x,13.70%,-5,0,-32
7780.TW,大研生醫*,17.6,★ 壓低偷買,-65,1,66.98,轉買進,-4.86%,-3,0,139
8183.TWO,精星,32.15,★ 壓低偷買,-2,62,65.36,轉買進,1.58%,0,0,42
6703.TWO,軒郁,109.0,★ 壓低偷買,-44,18,63.41,轉買進,-2.68%,0,0,11
6241.TWO,鑫永洋,9.89,★ 壓低偷買,-45,17,63.08,轉買進,-7.14%,0,0,6
8107.TWO,大億金茂,13.0,▲ 順勢追意,2,61,59.54,28.4x,11.59%,0,0,70
6629.TWO,泰金-KY,117.0,★ 壓低偷買,0,57,56.72,129.7x,-2.90%,2,0,1
6885.TW,全福生技,20.7,★ 壓低偷買,8,59,51.01,7.3x,-7.59%,-5,0,100
6276.TWO,安鈦克,27.5,▲ 順勢追意,-52,-3,49.57,0.1x,-6.14%,0,0,21
6418.TWO,詠昇,29.55,★ 壓低偷買,-42,6,49.02,轉買進,-5.89%,0,0,-9
7556.TWO,意德士,277.5,★ 壓低偷買,1,45,44.03,42.5x,0.54%,9,0,-20
6492.TWO,生華科,45.2,▲ 順勢追意,7,50,43.72,7.1x,-2.48%,0,0,59
6592.TW,和潤企業,60.4,▲ 順勢追意,-37,4,42.16,轉買進,-0.33%,0,0,31
7751.TWO,竑騰,1765.0,▲ 順勢追意,-39,-2,36.59,0.1x,-2.75%,13,0,-6
8084.TWO,巨虹,47.4,▲ 順勢追意,-9,24,33.9,轉買進,12.06%,0,0,19
8201.TW,無敵,13.45,▲ 順勢追意,-10,23,33.42,轉買進,1.13%,0,0,25
6823.TWO,濾能,73.0,★ 壓低偷買,-133,-100,32.96,0.8x,-11.19%,0,0,13
6654.TWO,天正國際,154.0,▲ 順勢追意,0,32,32.49,轉買進,60.25%,1,0,31
8024.TWO,佑華,12.5,★ 壓低偷買,-30,0,30.3,0.0x,-3.10%,0,0,7
6574.TWO,霈方,119.5,▲ 順勢追意,-12,17,30.0,轉買進,4.82%,0,0,35
6811.TWO,宏�硌穈T,215.0,▲ 順勢追意,44,74,29.97,1.7x,-0.92%,0,0,66
6722.TW,輝創,37.7,★ 壓低偷買,-10,17,27.76,轉買進,0.27%,-2,0,48
6953.TWO,家碩,242.0,★ 壓低偷買,-68,-42,25.77,0.6x,-7.28%,0,0,-14
6498.TWO,久禾光,104.0,★ 壓低偷買,-51,-27,23.7,0.5x,-2.35%,0,0,41
8477.TWO,創業家,19.8,▲ 順勢追意,0,22,22.59,87.9x,26.52%,-4,0,10
6785.TWO,昱展新藥,123.0,★ 壓低偷買,-35,-13,22.59,0.4x,-4.28%,0,0,-17
8908.TWO,欣雄,40.85,▲ 順勢追意,-14,7,22.03,轉買進,0.62%,0,0,45
8937.TWO,合騏*,27.45,★ 壓低偷買,-4,13,18.89,轉買進,-12.30%,-21,0,58
7810.TWO,捷創科技,232.0,▲ 順勢追意,-17,0,18.51,轉買進,1.31%,-1,0,-7
6863.TW,永道-KY,109.5,★ 壓低偷買,-21,-3,18.19,0.1x,-0.45%,-1,0,-67
6934.TW,心誠鎂,73.9,★ 壓低偷買,-8,5,13.76,轉買進,-3.78%,0,0,9
9962.TWO,有益,9.69,▲ 順勢追意,0,11,12.22,轉買進,3.09%,0,0,-3
8455.TWO,大拓-KY,46.35,▲ 順勢追意,-12,0,12.21,0.0x,15.59%,0,0,-2
8437.TWO,大地-KY,11.5,★ 壓低偷買,0,12,11.97,35.8x,-6.88%,0,0,-3
8463.TW,潤泰材,21.85,▲ 順勢追意,-3,7,11.09,轉買進,2.82%,0,0,11
6657.TW,華安,38.6,★ 壓低偷買,0,9,10.79,轉買進,-4.34%,-1,0,3
8416.TWO,實威,186.0,▲ 順勢追意,0,10,10.55,N/A,7.51%,13,0,26
7631.TW,聚賢研發-創,125.0,★ 壓低偷買,-1,7,9.56,轉買進,-0.79%,5,0,0
8087.TWO,麗升能源,32.95,▲ 順勢追意,-11,-2,9.35,0.2x,-2.66%,0,0,0
6794.TW,向榮生技,79.9,▲ 順勢追意,-2,5,7.44,轉買進,0.50%,0,0,2
6558.TW,興能高,32.3,★ 壓低偷買,702,709,6.96,1.0x,-2.12%,2,0,424
6508.TWO,惠光,23.35,★ 壓低偷買,-9,-2,6.91,0.3x,-3.11%,0,0,9
7760.TW,享溫馨,32.8,★ 壓低偷買,-8,-2,6.11,0.3x,-1.80%,0,0,32
9918.TW,欣天然,43.15,★ 壓低偷買,3,9,6.08,2.7x,-0.92%,0,0,72
8354.TWO,冠好,16.85,▲ 順勢追意,1,7,6.06,5.1x,1.20%,0,0,7
8930.TWO,青鋼,28.45,★ 壓低偷買,-8,-2,5.89,0.3x,-0.87%,0,0,-27
6230.TW,尼得科超眾,135.5,★ 壓低偷買,-5,0,5.81,0.0x,-2.17%,-2,0,3
6612.TWO,奈米醫材,72.4,★ 壓低偷買,-4,0,5.58,轉買進,-2.16%,0,0,2
6535.TWO,順藥,122.0,★ 壓低偷買,-7,-1,5.5,0.2x,-4.31%,0,0,-7
9926.TW,新海,49.5,▲ 順勢追意,0,4,5.45,轉買進,1.02%,0,0,7
6895.TWO,宏碩系統,145.5,★ 壓低偷買,0,4,5.27,轉買進,-4.90%,1,0,-20
6637.TWO,醫影,66.1,★ 壓低偷買,0,5,5.19,20.2x,-0.15%,0,0,-1
6838.TW,台新藥,24.9,★ 壓低偷買,-8,-3,5.15,0.4x,-3.86%,1,0,16
8349.TWO,恒耀,41.5,▲ 順勢追意,15,20,4.95,1.3x,0.00%,0,0,7
8277.TWO,商丞,8.61,▲ 順勢追意,1,6,4.59,3.9x,23.00%,0,0,7
6666.TW,羅麗芬-KY,40.15,▲ 順勢追意,0,3,4.41,轉買進,-1.11%,0,0,0
6928.TW,攸泰科技,47.0,▲ 順勢追意,-1,3,4.2,轉買進,0.00%,0,0,15
6624.TWO,萬年清,39.9,★ 壓低偷買,-2,1,3.66,轉買進,-6.34%,0,0,1
7753.TWO,星亞,43.4,▲ 順勢追意,0,3,3.43,11.1x,0.93%,0,0,-3
6961.TWO,旅天下,60.1,▲ 順勢追意,0,2,3.29,轉買進,2.91%,0,0,7
8099.TWO,大世科,61.3,▲ 順勢追意,1,5,3.24,2.8x,3.03%,0,0,20
910322.TW,康師傅-DR,24.05,▲ 順勢追意,-7,-4,2.93,0.6x,2.56%,0,0,-2
910861.TW,神州-DR,4.58,★ 壓低偷買,-7,-4,2.78,0.6x,-7.85%,0,0,-21
6988.TW,威力暘-創,15.8,★ 壓低偷買,-2,0,2.51,0.1x,-5.39%,6,0,-6
6910.TWO,德鴻,28.0,▲ 順勢追意,-4,-1,2.48,0.4x,-2.78%,-3,0,-1
7732.TW,金興精密,36.0,▲ 順勢追意,-1,0,2.42,轉買進,2.27%,-1,0,10
6908.TW,宏碁遊戲-創,38.0,★ 壓低偷買,0,2,2.4,21.0x,-0.78%,2,0,5
9937.TW,全國,55.5,▲ 順勢追意,-1,0,2.12,轉買進,-0.18%,1,0,14
9931.TW,欣高,34.0,▲ 順勢追意,0,1,1.88,轉買進,0.44%,0,0,12
6641.TW,基士德-KY,18.3,▲ 順勢追意,0,1,1.81,轉買進,-0.27%,-2,0,-3
8931.TWO,大汽電,42.3,★ 壓低偷買,-1,0,1.8,轉買進,0.12%,0,0,-16
7642.TWO,昶瑞機電,66.3,★ 壓低偷買,0,1,1.68,轉買進,-4.88%,0,0,-3
8940.TW,新天地,16.6,★ 壓低偷買,-1,0,1.43,轉買進,-2.35%,0,0,6
6597.TWO,立誠,71.0,★ 壓低偷買,0,1,1.39,轉買進,-0.70%,0,0,-1
6916.TW,華凌,17.95,★ 壓低偷買,0,0,1.32,轉買進,0.84%,1,0,10
6210.TWO,慶生,20.9,★ 壓低偷買,0,1,1.22,5.7x,-0.71%,0,0,6
6921.TW,嘉雨思-創,76.0,★ 壓低偷買,-6,-5,1.03,0.8x,-2.81%,2,0,-12
6225.TW,天瀚,24.0,★ 壓低偷買,0,0,0.9,-0.0x,-4.00%,0,0,0
6754.TW,匯僑設計,43.5,★ 壓低偷買,0,0,0.89,轉買進,-1.92%,0,0,3
6767.TWO,台微醫,26.5,★ 壓低偷買,0,0,0.79,轉買進,1.53%,0,0,1
6662.TWO,樂斯科,28.6,★ 壓低偷買,0,0,0.77,轉買進,-1.72%,0,0,2
8928.TWO,鉅明,21.0,★ 壓低偷買,0,0,0.74,轉買進,-2.33%,0,0,2
8444.TWO,綠河-KY,5.51,★ 壓低偷買,0,0,0.6,-0.0x,-17.39%,0,0,-1
6958.TW,日盛台駿,17.1,▲ 順勢追意,0,0,0.57,0.2x,-1.44%,-3,0,10
6884.TWO,海柏特,33.15,★ 壓低偷買,0,0,0.55,轉買進,1.07%,0,0,0
6708.TWO,天擎,41.0,▲ 順勢追意,0,0,0.41,N/A,2.50%,0,0,3
8279.TWO,生展,96.4,★ 壓低偷買,0,0,0.33,6.5x,-1.13%,0,0,2
8450.TWO,霹靂,15.5,★ 壓低偷買,0,0,0.32,2.0x,-3.12%,0,0,6
6578.TWO,達邦蛋白,16.6,★ 壓低偷買,-3,-3,0.31,0.9x,-4.05%,0,0,13
6807.TW,峰源-KY,32.95,★ 壓低偷買,0,0,0.3,轉買進,-1.05%,0,0,3
6844.TWO,諾貝兒,64.7,★ 壓低偷買,0,0,0.29,轉買進,-3.14%,0,0,1
6655.TW,科定,131.5,▲ 順勢追意,0,0,0.29,轉買進,-0.75%,-1,0,5
6692.TWO,進能服,26.75,★ 壓低偷買,0,0,0.29,N/A,-7.28%,0,0,-4
6865.TWO,偉康科技,25.9,★ 壓低偷買,0,0,0.28,1.4x,-8.96%,0,0,1
9929.TW,秋雨,11.3,★ 壓低偷買,0,0,0.27,轉買進,-0.88%,0,0,3
6527.TWO,明達醫,70.0,▲ 順勢追意,0,0,0.26,轉買進,-0.28%,0,0,2
6872.TWO,浩宇生醫,17.4,★ 壓低偷買,0,0,0.23,N/A,-4.92%,0,0,-2
8472.TWO,夠麻吉,78.1,▲ 順勢追意,0,0,0.18,0.2x,12.54%,0,0,4
8917.TWO,欣泰,52.6,★ 壓低偷買,0,0,0.1,1.2x,-0.94%,0,0,0
8941.TWO,關中,43.6,★ 壓低偷買,0,0,0.06,N/A,-1.58%,0,0,-2
8342.TWO,益張,89.5,★ 壓低偷買,0,0,0.06,-0.0x,-2.72%,0,0,-1
7736.TW,虎山,75.0,▲ 順勢追意,0,0,0.04,1.1x,4.90%,0,0,-1
8482.TW,商億-KY,48.3,★ 壓低偷買,0,0,0.03,-0.0x,-1.43%,0,0,-1
