
📅 投資日報表: 2026-05-29
=======================================================================================================================================
代號     | 名稱       | 開盤     | 最高     | 最低     | 最新     | 成交量         | 平均成本    | 股數     | 損益       | 報酬%
---------------------------------------------------------------------------------------------------------------------------------------
2317     | 鴻海         | 269.00   | 289.00   | 268.00   | 289.00   | 288,764,856  | 241.21      | 2000     | ▲95,580   |  +19.81%
4142     | 國光生        | 17.00    | 17.25    | 16.90    | 17.15    | 1,078,285    | 25.32       | 1000     | ▼8,170    |  -32.27%
0050     | 元大台灣50     | 103.20   | 105.40   | 102.70   | 105.40   | 101,963,913  | 46.60       | 16016    | ▲941,741  | +126.18%
0056     | 元大高股息      | 49.69    | 50.25    | 49.50    | 50.20    | 58,088,088   | 36.43       | 8000     | ▲110,160  |  +37.80%
00635U   | 期元大S&P黃金   | 46.93    | 47.17    | 46.92    | 47.10    | 5,405,783    | 55.25       | 3000     | ▼24,450   |  -14.75%
00738U   | 期元大道瓊白銀    | 60.95    | 61.50    | 60.65    | 61.05    | 7,689,490    | 66.26       | 1000     | ▼5,210    |   -7.86%
00929    | 復華台灣科技優息   | 30.15    | 30.30    | 29.87    | 30.25    | 36,192,062   | 19.73       | 8000     | ▲84,160   |  +53.32%
009816   | 凱基台灣TOP50  | 15.14    | 15.27    | 15.05    | 15.20    | 154,444,732  | 11.01       | 63000    | ▲263,970  |  +38.06%
00990A   | 主動元大AI新經濟  | 19.67    | 20.15    | 19.66    | 20.15    | 46,707,400   | 11.48       | 5000     | ▲43,350   |  +75.52%
2009     | 第一銅        | 39.00    | 40.15    | 39.00    | 39.40    | 2,054,852    | 50.56       | 4000     | ▼44,640   |  -22.07%
2337     | 旺宏         | 167.00   | 169.50   | 162.50   | 166.50   | 170,600,980  | 95.28       | 2000     | ▲142,440  |  +74.75%
2409     | 友達         | 22.35    | 23.20    | 21.90    | 23.00    | 480,407,585  | 16.21       | 2000     | ▲13,580   |  +41.89%
3481     | 群創         | 48.55    | 51.00    | 47.65    | 51.00    | 896,163,505  | 25.10       | 4000     | ▲103,600  | +103.19%
6806     | 森崴能源       | 5.49     | 6.71     | 5.49     | 6.71     | 17,229,549   | 45.39       | 5000     | ▼193,400  |  -85.22%
3105     | 穩懋         | 542.00   | 544.00   | 516.00   | 527.00   | 25,941,304   | 556.47      | 300      | ▼8,841    |   -5.30%
4966     | 譜瑞-KY      | 866.00   | 929.00   | 810.00   | 834.00   | 9,107,941    | 1921.64     | 1000     | ▼1,087,640 |  -56.60%
00403A   | 主動統一升級50   | 10.75    | 10.77    | 10.62    | 10.70    | 465,077,930  | 10.68       | 26026    | ▲521      |   +0.19%
00981A   | 主動統一台股增長   | 31.66    | 31.72    | 31.27    | 31.54    | 204,161,938  | 27.48       | 2000     | ▲8,120    |  +14.77%
2313     | 華通         | 271.00   | 284.50   | 265.50   | 284.50   | 84,100,231   | 250.71      | 1000     | ▲33,790   |  +13.48%
2330     | 台積電        | 2340.00  | 2375.00  | 2330.00  | 2355.00  | 89,398,067   | 225.55      | 10       | ▲21,294   | +944.11%
6239     | 力成         | 377.00   | 387.00   | 367.00   | 379.00   | 16,964,091   | 243.21      | 1000     | ▲135,790  |  +55.83%
6789     | 采鈺         | 533.00   | 535.00   | 522.00   | 526.00   | 2,744,069    | 593.50      | 400      | ▼27,000   |  -11.37%
5276     | 達輝-KY      | 19.20    | 20.00    | 19.10    | 19.20    | 26,845       | 22.18       | 300      | ▼894      |  -13.44%
5474     | 聰泰         | 173.00   | 180.00   | 173.00   | 180.00   | 2,183,906    | 175.15      | 2000     | ▲9,700    |   +2.77%
6849     | 奇鼎科技       | 220.00   | 220.00   | 205.00   | 207.50   | 271,841      | 266.40      | 280      | ▼16,492   |  -22.11%
7853     | 政美應用       | 361.00   | 363.50   | 353.00   | 360.50   | 491,478      | 409.29      | 280      | ▼13,661   |  -11.92%
---------------------------------------------------------------------------------------------------------------------------------------
💰 庫存總投入:       7,140,197    📊 未實現損益:        +577,398 (  +8.09%)
