symbol,prev_eps,name,price,est_price,expansion,eps,eps_yoy,gm,rev_yoy,om,prev_eps_yoy,status,prev_rev_yoy,advice,pe,prev_year,date
6182.TWO,-0.05,合晶,99.5,0.0,787.43,0.09,800.0,N/A,12.57,N/A,-350.0,🔄 轉虧為盈,11.35,⚪ 數據不足,0.0,2025,2025-12
2102.TW,-2.22,泰豐,17.8999996185,22.650000000000006,722.0,6.28,721.43,20.10%,-0.57,-167.95%,-258.33,🔄 轉虧為盈,1.98,💎 強力關注,11.854304383112579,2025,2025-12
4414.TW,0.02,如興,0.0,0.0,705.37,0.68,700.0,19.96%,-5.37,4.40%,107.14,🧐 疑業外收益,-4.36,⚪ 數據不足,0.0,2025,2025-12
3236.TWO,0.12,千如,55.0,3.75,689.09,0.32,700.0,26.03%,10.91,5.00%,250.0,🚀 利潤擴張,7.39,⚠️ 追價風險,220.0,2025,2025-12
2323.TW,0.37,中環,10.3500003815,7.200000000000003,688.58,1.58,685.19,23.42%,-3.39,-5.65%,-2.63,🧐 疑業外收益,-4.42,⚪ 中性觀察,21.562500794791656,2025,2025-12
4413.TWO,-0.26,飛寶企業,17.0,-9.45,668.5600000000001,0.53,783.33,24.00%,114.77,6.14%,-966.67,🔄 轉虧為盈,140.24,⚪ 數據不足,0.0,2025,2025-12
4924.TWO,0.28,欣厚-KY,11.8999996185,7.2,656.01,0.38,660.0,27.32%,3.99,0.43%,460.0,🚀 利潤擴張,22.5,⚠️ 追價風險,24.791665871875,2025,2025-12
3002.TW,0.48,歐格,17.7000007629,17.099999999999998,603.24,0.36,620.0,17.03%,16.76,-11.28%,422.22,🚀 利潤擴張,14.66,✅ 穩健價值,15.526316458684212,2025,2025-12
2344.TW,0.12,華邦電,158.0,3.4499999999999997,567.37,0.88,576.92,41.86%,9.55,15.37%,-57.14,🚀 利潤擴張,-0.22,⚠️ 追價風險,686.9565217391305,2025,2025-12
3054.TW,0.66,立萬利,66.8000030518,39.0,563.39,1.96,590.0,62.07%,26.61,-188.65%,288.57,🏰 高護城河,24.16,⚠️ 追價風險,25.692308866076925,2025,2025-12
9949.TWO,5.5,琉園,0.0,0.0,561.54,5.29,544.54,N/A,-17.0,N/A,1270.21,🧐 疑業外收益,-19.03,⚪ 數據不足,0.0,2025,2025-12
6282.TW,-0.38,康舒,59.9000015259,-13.950000000000003,549.9,0.18,550.0,N/A,0.1,N/A,-90.0,🔄 轉虧為盈,-4.33,⚪ 數據不足,0.0,2025,2025-12
2491.TW,0.49,吉祥全,23.2999992371,2.5500000000000025,467.93,1.43,457.5,43.42%,-10.43,-66.51%,179.03,🧐 疑業外收益,-12.66,⚠️ 追價風險,137.0588190417646,2025,2025-12
3297.TWO,0.54,杭特,29.3999996185,18.15,440.95000000000005,0.47,461.54,30.70%,20.59,-18.51%,2600.0,🚀 利潤擴張,18.74,⚠️ 追價風險,24.29752034586777,2025,2025-12
3555.TWO,-0.58,博士旺,213.5,-9.599999999999998,418.37000000000006,1.28,752.94,18.45%,334.57,4.44%,7.84,🔄 轉虧為盈,310.97,⚪ 數據不足,0.0,2025,2025-12
2243.TW,-0.11,宏旭-KY,27.2999992371,13.199999999999998,417.34999999999997,1.22,408.33,22.27%,-9.02,15.14%,38.89,🔄 轉虧為盈,-10.45,⚠️ 追價風險,31.022726405795463,2025,2025-12
3167.TW,5.45,大量,795.0,264.15000000000003,379.12,8.13,474.47,42.12%,95.35,18.24%,790.16,🚀 利潤擴張,119.15,⚠️ 追價風險,45.14480408858602,2025,2025-12
1413.TW,0.43,宏洲,9.3400001526,16.499999999999996,374.26,0.45,364.71,2.52%,-9.55,0.23%,326.32,🧐 疑業外收益,-6.34,💎 強力關注,8.490909229636365,2025,2025-12
4764.TW,0.62,雙鍵,305.5,38.849999999999994,371.81,1.22,377.27,23.49%,5.46,7.74%,187.32,🚀 利潤擴張,6.23,⚠️ 追價風險,117.95366795366796,2025,2025-12
5490.TWO,1.26,同亨,28.7999992371,68.4,370.34000000000003,1.69,382.35,N/A,12.01,N/A,916.67,🚀 利潤擴張,13.03,💎 強力關注,6.315789306381578,2025,2025-12
8940.TW,0.02,新天地,16.6000003815,42.0,364.75,0.55,358.33,N/A,-6.42,N/A,103.23,🧐 疑業外收益,-10.3,💎 強力關注,5.9285715648214286,2025,2025-12
3219.TWO,1.65,倚強科,82.9000015259,59.699999999999996,356.99,1.52,406.67,69.49%,49.68,-15.39%,179.66,🏰 高護城河,43.11,⚪ 中性觀察,20.829146112035176,2025,2025-12
2409.TW,0.52,友達,23.0,38.1,327.09,0.9,327.5,10.73%,0.41,-2.70%,185.25,🚀 利潤擴張,-0.15,💎 強力關注,9.05511811023622,2025,2025-12
4439.TW,7.71,冠星-KY,92.5999984741,321.90000000000003,316.98,7.73,346.24,15.60%,29.26,0.97%,114.76,🚀 利潤擴張,30.37,💎 強力關注,4.315004588727866,2025,2025-12
2399.TW,-0.11,映泰,47.9000015259,-2.7000000000000006,289.09,0.15,275.0,8.40%,-14.09,-12.67%,-222.22,🔄 轉虧為盈,-14.04,⚪ 數據不足,0.0,2025,2025-12
2498.TW,7.88,宏達電,45.25,359.25,281.70000000000005,7.21,275.85,34.44%,-5.85,-79.17%,352.24,🧐 疑業外收益,-0.73,💎 強力關注,1.8893528183716075,2025,2025-12
9914.TW,4.81,美利達,66.6999969482,194.10000000000002,281.08,4.01,271.37,N/A,-9.71,N/A,-18.34,🧐 疑業外收益,-8.55,💎 強力關注,5.154559269567232,2025,2025-12
6165.TW,3.02,浪凡,0.0,0.0,275.27,4.02,288.24,N/A,12.97,N/A,410.34,🚀 利潤擴張,12.63,⚪ 數據不足,0.0,2025,2025-12
4576.TW,1.26,大銀微系統,266.5,65.55,273.68,2.01,294.12,38.42%,20.44,13.23%,447.83,🚀 利潤擴張,19.84,⚠️ 追價風險,60.983981693363845,2025,2025-12
2466.TW,0.98,冠西電,47.5999984741,-8.100000000000001,255.45000000000002,0.25,241.18,-4.21%,-14.27,-53.06%,230.67,🧐 疑業外收益,-6.66,⚪ 數據不足,0.0,2025,2025-12
1608.TW,4.75,華榮,34.5,174.45,254.79,5.5,254.81,9.17%,0.02,6.96%,241.94,🚀 利潤擴張,-0.36,💎 強力關注,2.9664660361135,2025,2025-12
1718.TW,0.19,中纖,6.6199998856,3.9000000000000004,250.24,0.09,250.0,41.46%,-0.24,18.72%,-11.76,🧐 疑業外收益,4.96,⚠️ 追價風險,25.461538021538463,2025,2025-12
4949.TW,1.48,有成精密,94.5999984741,68.25,241.22,1.91,240.74,N/A,-0.48,N/A,180.87,🧐 疑業外收益,-1.75,⚪ 中性觀察,20.791208455846157,2025,2025-12
1438.TW,-0.9,三地開發,20.1000003815,-2.4000000000000004,229.07999999999998,1.74,237.01,29.82%,7.93,25.89%,10.89,🔄 轉虧為盈,-98.23,⚪ 數據不足,0.0,2025,2025-12
1456.TW,-0.9,怡華,12.6999998093,22.050000000000004,227.67000000000002,3.41,207.21,46.73%,-20.46,248.16%,15.89,🔄 轉虧為盈,-26.31,💎 強力關注,8.639455652585033,2025,2025-12
3530.TW,0.47,晶相光,67.0999984741,31.349999999999998,224.23000000000002,1.74,230.83,31.94%,6.6,14.09%,-50.0,🚀 利潤擴張,-5.41,⚠️ 追價風險,32.10526242779905,2025,2025-12
2034.TW,0.33,允強,20.1000003815,14.399999999999999,213.63,0.21,200.0,5.45%,-13.63,-1.87%,94.12,🧐 疑業外收益,-4.98,⚪ 中性觀察,20.937500397395834,2025,2025-12
4167.TWO,1.43,松瑞藥,19.7000007629,83.1,204.79,1.72,203.51,30.12%,-1.28,9.56%,237.21,🧐 疑業外收益,-6.23,💎 強力關注,3.5559568164079423,2025,2025-12
4744.TWO,1.0,皇將,34.5999984741,66.44999999999999,203.79,2.51,216.0,42.43%,12.21,14.38%,400.0,🚀 利潤擴張,14.04,💎 強力關注,7.810383402731377,2025,2025-12
6902.TW,0.23,GOGOLOOK,143.0,31.349999999999998,201.66000000000003,1.58,222.58,N/A,20.92,N/A,119.47,🚀 利潤擴張,20.7,⚠️ 追價風險,68.42105263157895,2025,2025-12
2316.TW,10.81,楠梓電,168.5,468.90000000000003,200.22,13.38,212.47,5.71%,12.25,-7.46%,260.07,🚀 利潤擴張,8.72,💎 強力關注,5.390275111964171,2025,2025-12
