日期,代號,名稱,最新價格,成本,股數,損益,報酬率
2026-09-25,2317,鴻海,250.5,241.21,2000,18580,3.85%
2026-09-25,4142,國光生,17.9,25.32,1000,-7420,-29.30%
2026-09-25,0050,元大台灣50,111.85,46.6,16000,1044000,140.02%
2026-09-25,0056,元大高股息,56.85,36.43,4000,81680,56.05%
2026-09-25,00635U,期元大S&P黃金,44.69,55.25,3000,-31680,-19.11%
2026-09-25,00738U,期元大道瓊白銀,52.05,66.26,1000,-14210,-21.45%
2026-09-25,00929,復華台灣科技優息,29.13,19.73,8000,75200,47.64%
2026-09-25,009816,凱基台灣TOP50,16.52,11.01,63000,347130,50.05%
2026-09-25,00990A,主動元大AI新經濟,15.76,11.48,5000,21400,37.28%
2026-09-25,2009,第一銅,39.15,50.56,4000,-45640,-22.57%
2026-09-25,2337,旺宏,117.0,95.28,2000,43440,22.80%
2026-09-25,2409,友達,34.2,16.21,2000,35980,110.98%
2026-09-25,3481,群創,49.55,25.1,4000,97800,97.41%
2026-09-25,3105,穩懋,502.0,556.47,300,-16341,-9.79%
2026-09-25,4966,譜瑞-KY,572.0,1921.64,1000,-1349640,-70.23%
2026-09-25,2327,國巨*,580.0,1030.0,1,-450,-43.69%
2026-09-25,00403A,主動統一升級50,10.7,10.68,26000,520,0.19%
2026-09-25,00981A,主動統一台股增長,30.15,27.48,2000,5340,9.72%
2026-09-25,2330,台積電,2475.0,225.55,10,22494,997.32%
2026-09-25,6789,采鈺,465.5,593.5,400,-51200,-21.57%
2026-09-25,6849,奇鼎科技,184.0,266.4,280,-23072,-30.93%
2026-09-25,7853,政美應用,381.0,409.29,280,-7921,-6.91%
2026-09-25,3576,聯合再生,18.25,18.15,5000,500,0.55%
2026-09-25,1721,三晃,24.2,27.88,3000,-11050,-13.21%
2026-09-25,8215,明基材,27.9,31.6,200,-740,-11.71%
2026-09-25,00405A,主動富邦台灣龍耀,9.23,9.34,11000,-1210,-1.18%
2026-09-25,5498,凱崴,50.1,69.61,188,-3668,-28.03%
2026-09-25,1301,台塑,64.1,50.5,100,1360,26.93%
2026-09-25,6498,久禾光,66.8,67.3,12,-6,-0.74%
2026-09-25,009821,野村稀土關鍵資源,14.18,17.3,12000,-37440,-18.03%
