股號,名稱,收盤價,成交量,一年內最高收盤,一年內最低收盤,法說會,狀態,連續大漲,連續大跌,原因,最終狀態
6570,維田,49.35,646,49.35,37.20,---,強勢突破 (軌外),連1日大漲,無,股價衝破布林上軌 (47.92)，進入噴發段,強勢突破 (軌外)
7806,精華生醫,68.80,1,80.50,61.00,---,趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
6831,邁科,781.00,868,781.00,160.00,---,趨勢運行 -> 貼軌運行,連1日大漲,無,股價於高位貼軌 (781.00 > 1.5σ)，動能強勁,貼軌運行
00696,富邦美債20年,28.27,2760,30.21,25.92,---,離開盤整 (向下) -> 均線糾擺,無,無,MA 乖離率僅 0.66%,均線糾擺
6153,嘉聯益,18.35,6861,20.65,10.50,---,趨勢運行 -> 均線糾擺,無,無,MA 乖離率僅 1.15%,均線糾擺
8261,富鼎,150.00,19857,150.00,74.36,---,強勢突破 (軌外),無,無,股價衝破布林上軌 (148.99)，進入噴發段,強勢突破 (軌外)
6205,詮欣,77.20,2848,98.20,37.00,---,進入盤整,連1日大漲,無,ADX 為 9.98 (低於 20),進入盤整
7595,世基生醫,9.15,54,13.60,9.03,---,離開盤整 (向下),無,無,跌破布林下軌 (9.26),離開盤整 (向下)
3479,安勤,117.50,5605,117.50,83.70,---,強勢突破 (軌外),連2日大漲,無,股價衝破布林上軌 (111.58)，進入噴發段,強勢突破 (軌外)
1789,神隆,19.35,548,28.25,16.02,---,進入盤整 -> 均線糾擺,無,無,MA 乖離率僅 1.45%,均線糾擺
3171,炎洲流通,66.90,15,72.50,37.43,---,均線糾擺,無,無,MA 乖離率僅 0.58%,均線糾擺
4721,美琪瑪,86.30,781,97.80,51.81,---,進入盤整,無,無,ADX 為 13.72 (低於 20),進入盤整
911608,明輝-DR,2.64,58,3.12,2.59,---,離開盤整 (向下) -> 均線糾擺,無,無,MA 乖離率僅 1.49%,均線糾擺
6924,榮惠-KY創,164.00,90,164.00,47.80,---,強勢突破 (軌外) -> 貼軌運行,無,無,股價於高位貼軌 (164.00 > 1.5σ)，動能強勁,貼軌運行
3044,健鼎,488.00,3776,529.00,187.05,---,均線糾擺,連1日大漲,無,MA 乖離率僅 1.13%,均線糾擺
