gm,symbol,om,est_price,prev_eps,expansion,prev_eps_yoy,prev_rev_yoy,name,status,eps_yoy,pe,advice,date,eps,price,prev_year,rev_yoy
23.49%,4764.TW,7.74%,38.849999999999994,0.62,371.81,187.32,6.23,雙鍵,🚀 利潤擴張,377.27,123.55212355212356,⚠️ 追價風險,2025-12,1.22,320.0,2025,5.46
N/A,5490.TWO,N/A,68.4,1.26,370.34000000000003,916.67,13.03,同亨,🚀 利潤擴張,382.35,6.293859816425438,💎 強力關注,2025-12,1.69,28.7000007629,2025,12.01
N/A,8940.TW,N/A,42.0,0.02,364.75,103.23,-10.3,新天地,🧐 疑業外收益,358.33,6.035714149464287,💎 強力關注,2025-12,0.55,16.8999996185,2025,-6.42
69.49%,3219.TWO,-15.39%,59.699999999999996,1.65,356.99,179.66,43.11,倚強科,🏰 高護城河,406.67,21.231155778894475,⚪ 中性觀察,2025-12,1.52,84.5,2025,49.68
10.73%,2409.TW,-2.70%,38.1,0.52,327.09,185.25,-0.15,友達,🚀 利潤擴張,327.5,7.952756205866142,💎 強力關注,2025-12,0.9,20.2000007629,2025,0.41
15.60%,4439.TW,0.97%,321.90000000000003,7.71,316.98,114.76,30.37,冠星-KY,🚀 利潤擴張,346.24,4.287045666356011,💎 強力關注,2025-12,7.73,92.0,2025,29.26
8.40%,2399.TW,-12.67%,-2.7000000000000006,-0.11,289.09,-222.22,-14.04,映泰,🔄 轉虧為盈,275.0,0.0,⚪ 數據不足,2025-12,0.15,43.2000007629,2025,-14.09
34.44%,2498.TW,-79.17%,359.25,7.88,281.70000000000005,352.24,-0.73,宏達電,🧐 疑業外收益,275.85,1.897703580914405,💎 強力關注,2025-12,7.21,45.4500007629,2025,-5.85
N/A,9914.TW,N/A,194.10000000000002,4.81,281.08,-18.34,-8.55,美利達,🧐 疑業外收益,271.37,5.4095826893353935,💎 強力關注,2025-12,4.01,70.0,2025,-9.71
N/A,6165.TW,N/A,0.0,3.02,275.27,410.34,12.63,浪凡,🚀 利潤擴張,288.24,0.0,⚪ 數據不足,2025-12,4.02,0.0,2025,12.97
