代號,名稱,現價,當日外資(張),當日投信(張),當日自營(張),Date,上週估買(張),這週估買(張),淨增進貨(張),增長倍數,5D股價漲跌,狀態
6770.TW,力積電,59.1,0,0,0,20260521,-648609,399061,1047670,-0.6x,-4.98%,★ 壓低偷買
5425.TWO,台半,90.4,0,0,0,20260521,-346216,187687,533903,-0.5x,24.35%,▲ 順勢追意
2489.TW,瑞軒,46.8,0,0,0,20260521,-17283,443538,460821,-25.7x,15.41%,▲ 順勢追意
00991A.TW,主動復華未來50,17.92,0,0,0,20260521,-70513,230037,300551,-3.3x,-3.40%,★ 壓低偷買
00982A.TW,主動群益台灣強棒,22.1,0,0,0,20260521,-151449,104205,255654,-0.7x,-1.73%,★ 壓低偷買
6116.TW,彩晶,10.8,0,0,0,20260521,-211819,26209,238028,-0.1x,3.85%,▲ 順勢追意
2312.TW,金寶,30.1,0,0,0,20260521,97238,304077,206838,3.1x,6.55%,▲ 順勢追意
4916.TW,事欣科,98.8,0,0,0,20260521,11188,197396,186208,17.6x,47.68%,▲ 順勢追意
00631L.TW,元大台灣50正2,31.58,0,0,0,20260521,-26727,156238,182966,-5.8x,-1.19%,★ 壓低偷買
3236.TWO,千如,48.25,0,0,0,20260521,-114421,49385,163806,-0.4x,20.02%,▲ 順勢追意
2313.TW,華通,258.0,0,0,0,20260521,-56870,102559,159430,-1.8x,5.09%,▲ 順勢追意
3673.TW,TPK-KY,74.2,0,0,0,20260521,-84083,72572,156655,-0.9x,15.40%,▲ 順勢追意
3231.TW,緯創,140.0,0,0,0,20260521,-129012,17060,146073,-0.1x,1.45%,▲ 順勢追意
6127.TWO,九豪,53.0,0,0,0,20260521,-22617,120279,142897,-5.3x,11.81%,▲ 順勢追意
8096.TWO,擎亞,108.0,0,0,0,20260521,23324,161617,138292,6.9x,11.23%,▲ 順勢追意
00400A.TW,主動國泰動能高息,13.46,0,0,0,20260521,-10602,125607,136210,-11.8x,-2.39%,★ 壓低偷買
00988A.TW,主動統一全球創新,19.18,0,0,0,20260521,-104573,28005,132578,-0.3x,-4.24%,★ 壓低偷買
3090.TW,日電貿,196.0,0,0,0,20260521,-38425,90918,129343,-2.4x,51.35%,▲ 順勢追意
1582.TW,信錦,117.5,0,0,0,20260521,2881,120438,117557,41.8x,20.14%,▲ 順勢追意
6209.TW,今國光,86.7,0,0,0,20260521,-4744,110443,115188,-23.3x,26.94%,▲ 順勢追意
8358.TWO,金居,498.0,0,0,0,20260521,-93738,18707,112446,-0.2x,16.63%,▲ 順勢追意
1605.TW,華新,35.5,0,0,0,20260521,-83556,26922,110478,-0.3x,-0.28%,★ 壓低偷買
1727.TW,中華化,93.0,0,0,0,20260521,-52793,51253,104046,-1.0x,16.98%,▲ 順勢追意
6239.TW,力成,257.5,0,0,0,20260521,-13319,84524,97844,-6.3x,12.45%,▲ 順勢追意
