eps,symbol,prev_year,name,expansion,status,eps_yoy,rev_yoy,prev_eps_yoy,prev_rev_yoy,price,est_price,date,om,advice,gm,pe,prev_eps
5.29,9949.TWO,2025,琉園,561.54,🧐 疑業外收益,544.54,-17.0,1270.21,-19.03,23.6000003815,142.49999999999997,2025-12,N/A,💎 強力關注,N/A,2.4842105664736844,5.5
0.18,6282.TW,2025,康舒,549.9,🔄 轉虧為盈,550.0,0.1,-90.0,-4.33,58.5,-13.950000000000003,2025-12,N/A,⚪ 數據不足,N/A,0.0,-0.38
1.43,2491.TW,2025,吉祥全,467.93,🧐 疑業外收益,457.5,-10.43,179.03,-12.66,29.5499992371,2.5500000000000025,2025-12,-66.51%,⚠️ 追價風險,43.42%,173.8235249241175,0.49
0.47,3297.TWO,2025,杭特,440.95000000000005,🚀 利潤擴張,461.54,20.59,2600.0,18.74,31.5,18.15,2025-12,-18.51%,⚠️ 追價風險,30.70%,26.03305785123967,0.54
1.28,3555.TWO,2025,博士旺,418.37000000000006,🔄 轉虧為盈,752.94,334.57,7.84,310.97,187.5,-9.599999999999998,2025-12,4.44%,⚪ 數據不足,18.45%,0.0,-0.58
1.22,2243.TW,2025,宏旭-KY,417.34999999999997,🔄 轉虧為盈,408.33,-9.02,38.89,-10.45,30.7999992371,13.199999999999998,2025-12,15.14%,⚠️ 追價風險,22.27%,34.999999133068194,-0.11
8.13,3167.TW,2025,大量,379.12,🚀 利潤擴張,474.47,95.35,790.16,119.15,858.0,264.15000000000003,2025-12,18.24%,⚠️ 追價風險,42.12%,48.72231686541737,5.45
0.45,1413.TW,2025,宏洲,374.26,🧐 疑業外收益,364.71,-9.55,326.32,-6.34,9.5,16.499999999999996,2025-12,0.23%,💎 強力關注,2.52%,8.636363636363637,0.43
1.22,4764.TW,2025,雙鍵,371.81,🚀 利潤擴張,377.27,5.46,187.32,6.23,258.0,38.849999999999994,2025-12,7.74%,⚠️ 追價風險,23.49%,99.61389961389962,0.62
1.69,5490.TWO,2025,同亨,370.34000000000003,🚀 利潤擴張,382.35,12.01,916.67,13.03,28.6000003815,68.4,2025-12,N/A,💎 強力關注,N/A,6.271929908223683,1.26
0.55,8940.TW,2025,新天地,364.75,🧐 疑業外收益,358.33,-6.42,103.23,-10.3,16.2999992371,42.0,2025-12,N/A,💎 強力關注,N/A,5.821428298964286,0.02
1.52,3219.TWO,2025,倚強科,356.99,🏰 高護城河,406.67,49.68,179.66,43.11,75.6999969482,59.699999999999996,2025-12,-15.39%,⚪ 中性觀察,69.49%,19.020099735728643,1.65
0.9,2409.TW,2025,友達,327.09,🚀 利潤擴張,327.5,0.41,185.25,-0.15,22.9500007629,38.1,2025-12,-2.70%,💎 強力關注,10.73%,9.035433371220472,0.52
7.73,4439.TW,2025,冠星-KY,316.98,🚀 利潤擴張,346.24,29.26,114.76,30.37,87.8000030518,321.90000000000003,2025-12,0.97%,💎 強力關注,15.60%,4.091332854231128,7.71
0.15,2399.TW,2025,映泰,289.09,🔄 轉虧為盈,275.0,-14.09,-222.22,-14.04,44.1500015259,-2.7000000000000006,2025-12,-12.67%,⚪ 數據不足,8.40%,0.0,-0.11
