expansion,symbol,prev_eps,prev_year,eps,gm,price,name,rev_yoy,status,advice,est_price,prev_eps_yoy,pe,om,prev_rev_yoy,eps_yoy,date
273.68,4576.TW,1.26,2025,2.01,38.42%,273.0,大銀微系統,20.44,🚀 利潤擴張,⚠️ 追價風險,65.55,447.83,62.47139588100686,13.23%,19.84,294.12,2025-12
255.45000000000002,2466.TW,0.98,2025,0.25,-4.21%,47.7000007629,冠西電,-14.27,🧐 疑業外收益,⚪ 數據不足,-8.100000000000001,230.67,0.0,-53.06%,-6.66,241.18,2025-12
254.79,1608.TW,4.75,2025,5.5,9.17%,33.6500015259,華榮,0.02,🚀 利潤擴張,💎 強力關注,174.45,241.94,2.8933793229492695,6.96%,-0.36,254.81,2025-12
250.24,1718.TW,0.19,2025,0.09,41.46%,6.3099999428,中纖,-0.24,🧐 疑業外收益,⚠️ 追價風險,3.9000000000000004,-11.76,24.26923054923077,18.72%,4.96,250.0,2025-12
241.22,4949.TW,1.48,2025,1.91,N/A,102.0,有成精密,-0.48,🧐 疑業外收益,⚠️ 追價風險,68.25,180.87,22.41758241758242,N/A,-1.75,240.74,2025-12
229.07999999999998,1438.TW,-0.9,2025,1.74,29.82%,20.1000003815,三地開發,7.93,🔄 轉虧為盈,⚪ 數據不足,-2.4000000000000004,10.89,0.0,25.89%,-98.23,237.01,2025-12
227.67000000000002,1456.TW,-0.9,2025,3.41,46.73%,13.0500001907,怡華,-20.46,🔄 轉虧為盈,💎 強力關注,22.050000000000004,15.89,8.877551150136053,248.16%,-26.31,207.21,2025-12
224.23000000000002,3530.TW,0.47,2025,1.74,31.94%,68.5,晶相光,6.6,🚀 利潤擴張,⚠️ 追價風險,31.349999999999998,-50.0,32.77511961722488,14.09%,-5.41,230.83,2025-12
213.63,2034.TW,0.33,2025,0.21,5.45%,20.0499992371,允強,-13.63,🧐 疑業外收益,⚪ 中性觀察,14.399999999999999,94.12,20.885415871979166,-1.87%,-4.98,200.0,2025-12
204.79,4167.TWO,1.43,2025,1.72,30.12%,18.9500007629,松瑞藥,-1.28,🧐 疑業外收益,💎 強力關注,83.1,237.21,3.420577755036101,9.56%,-6.23,203.51,2025-12
203.79,4744.TWO,1.0,2025,2.51,42.43%,34.1500015259,皇將,12.21,🚀 利潤擴張,💎 強力關注,66.44999999999999,400.0,7.708803956185102,14.38%,14.04,216.0,2025-12
201.66000000000003,6902.TW,0.23,2025,1.58,N/A,135.5,GOGOLOOK,20.92,🚀 利潤擴張,⚠️ 追價風險,31.349999999999998,119.47,64.83253588516747,N/A,20.7,222.58,2025-12
200.22,2316.TW,10.81,2025,13.38,5.71%,168.0,楠梓電,12.25,🚀 利潤擴張,💎 強力關注,468.90000000000003,260.07,5.3742802303262955,-7.46%,8.72,212.47,2025-12
199.70999999999998,1796.TWO,0.31,2025,0.7,31.84%,35.5499992371,金穎生技,29.92,🚀 利潤擴張,⚠️ 追價風險,20.249999999999996,150.0,26.333332768222228,10.64%,36.52,229.63,2025-12
197.42,6840.TWO,1.18,2025,1.58,N/A,62.9000015259,東研信超,8.46,🚀 利潤擴張,⚪ 中性觀察,51.15,76.12,18.44574824806452,N/A,5.51,205.88,2025-12
197.22,3191.TWO,0.55,2025,0.51,29.43%,21.8999996185,雲嘉南,-7.75,🧐 疑業外收益,⚠️ 追價風險,7.2,219.57,45.62499920520833,-10.81%,-1.51,189.47,2025-12
193.66,3048.TW,1.14,2025,2.01,3.50%,70.0,益登,2.05,🚀 利潤擴張,⚪ 中性觀察,60.59999999999999,153.27,17.32673267326733,1.71%,5.31,195.71,2025-12
191.41,6202.TW,0.62,2025,0.76,N/A,60.4000015259,盛群,22.23,🚀 利潤擴張,⚠️ 追價風險,34.199999999999996,191.04,26.49122873942983,N/A,31.27,213.64,2025-12
189.66,2413.TW,-0.25,2025,0.41,17.05%,49.5499992371,環科,3.52,🔄 轉虧為盈,⚪ 數據不足,-9.6,62.12,0.0,3.38%,8.02,193.18,2025-12
187.65,1516.TW,0.1,2025,0.04,5.36%,20.6000003815,川飛,-87.0,🧐 疑業外收益,⚠️ 追價風險,0.30000000000000027,-70.59,1030.000019074999,-14.33%,-90.58,100.65,2025-12
184.49,6112.TW,1.2,2025,1.82,N/A,42.2000007629,邁達特,18.84,🚀 利潤擴張,💎 強力關注,56.25,-3.23,11.253333536773333,N/A,20.56,203.33,2025-12
179.8,6246.TWO,-0.04,2025,1.14,N/A,15.75,臺龍,6.56,🔄 轉虧為盈,⚪ 中性觀察,11.099999999999998,97.79,21.283783783783786,N/A,11.15,186.36,2025-12
177.61,4746.TW,2.44,2025,3.67,41.59%,0.0,台耀,2.54,🚀 利潤擴張,⚪ 數據不足,0.0,39.43,0.0,21.37%,4.96,180.15,2025-12
177.55,3609.TWO,7.31,2025,6.42,8.05%,27.1000003815,三一東林,70.72,🚀 利潤擴張,💎 強力關注,163.5,314.37,2.4862385671100915,-11.23%,27.17,248.27,2025-12
176.83,6573.TW,1.61,2025,1.23,N/A,13.5,虹揚-KY,-13.43,🧐 疑業外收益,💎 強力關注,20.7,228.8,9.782608695652174,N/A,-11.95,163.4,2025-12
174.75,6719.TW,4.25,2025,6.58,N/A,255.0,力智,23.89,🚀 利潤擴張,⚪ 中性觀察,213.00000000000003,89.73,17.957746478873236,N/A,22.77,198.64,2025-12
174.57,6127.TWO,0.91,2025,0.47,N/A,56.9000015259,九豪,-1.13,🧐 疑業外收益,⚠️ 追價風險,29.999999999999996,275.0,28.450000762950005,N/A,-0.97,173.44,2025-12
174.34,4556.TWO,0.49,2025,0.92,42.07%,38.7000007629,旭然,-3.75,🧐 疑業外收益,⚠️ 追價風險,24.750000000000004,172.22,23.454545916909087,14.30%,-8.55,170.59,2025-12
173.32999999999998,5703.TWO,0.09,2025,0.53,N/A,13.5,亞都,5.62,🚀 利潤擴張,✅ 穩健價值,13.5,175.0,15.0,N/A,4.04,178.95,2025-12
172.01999999999998,6209.TW,0.49,2025,0.92,N/A,81.9000015259,今國光,50.65,🚀 利潤擴張,⚠️ 追價風險,22.800000000000004,190.57,53.88157995124999,N/A,39.08,222.67,2025-12
171.64000000000001,6841.TWO,0.81,2025,0.89,N/A,56.7999992371,長佳智能,12.23,🚀 利潤擴張,⚠️ 追價風險,33.150000000000006,1700.0,25.701357120859726,N/A,2.1,183.87,2025-12
166.18,7610.TW,1.75,2025,5.45,N/A,0.0,聯友金屬-創,27.9,🚀 利潤擴張,⚪ 數據不足,0.0,3.33,0.0,N/A,-4.54,194.08,2025-12
164.99,1587.TW,0.24,2025,0.37,18.05%,29.2000007629,吉茂,23.11,🚀 利潤擴張,⚠️ 追價風險,10.35,155.81,42.31884168536232,2.96%,19.92,188.1,2025-12
164.91,2486.TW,0.16,2025,0.22,15.86%,276.0,一詮,10.09,🚀 利潤擴張,⚠️ 追價風險,4.65,300.0,890.3225806451613,1.35%,13.26,175.0,2025-12
164.37,6994.TW,1.13,2025,6.34,N/A,0.0,富威電力,164.5,🚀 利潤擴張,⚪ 數據不足,0.0,47.95,0.0,N/A,21.0,328.87,2025-12
164.31,6596.TWO,17.41,2025,18.83,N/A,96.5999984741,寬宏藝術,78.68,🚀 利潤擴張,💎 強力關注,693.9,241.37,2.088197113577605,N/A,97.52,242.99,2025-12
160.96,6265.TWO,-0.24,2025,0.68,N/A,55.0,方土昶,62.85,🔄 轉虧為盈,⚪ 數據不足,-11.25,-271.43,0.0,N/A,25.19,223.81,2025-12
