股號,名稱,收盤價,成交量,一年內最高收盤,一年內最低收盤,法說會,狀態,連續大漲,連續大跌,原因,最終狀態
6570,維田,59.20,4220,65.50,37.20,---,強勢突破 (軌外) -> 貼軌運行,無,連1日大跌,股價於高位貼軌 (59.20 > 1.5σ)，動能強勁,貼軌運行
7806,精華生醫,66.80,1,80.50,61.00,---,趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
6831,邁科,820.00,606,820.00,160.00,📅 預告 (20260601),趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
00696,富邦美債20年,28.69,3008,30.21,25.92,---,均線糾擺,無,無,MA 乖離率僅 0.31%,均線糾擺
6153,嘉聯益,18.25,3921,20.65,10.50,---,均線糾擺 -> 趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
8261,富鼎,195.00,19484,195.00,75.30,---,強勢突破 (軌外),無,無,股價衝破布林上軌 (187.52)，進入噴發段,強勢突破 (軌外)
6205,詮欣,81.00,2439,98.20,37.00,---,進入盤整,無,無,ADX 為 10.39 (低於 20),進入盤整
7595,世基生醫,8.90,53,13.60,8.90,---,趨勢運行 -> 離開盤整 (向下),無,連1日大跌,跌破布林下軌 (8.99),離開盤整 (向下)
3479,安勤,137.00,3122,137.00,83.70,---,強勢突破 (軌外),無,無,股價衝破布林上軌 (135.20)，進入噴發段,強勢突破 (軌外)
1789,神隆,19.00,560,28.25,16.02,---,均線糾擺,無,無,MA 乖離率僅 0.92%,均線糾擺
3171,炎洲流通,70.20,28,72.50,38.22,---,均線糾擺,無,無,MA 乖離率僅 0.65%,均線糾擺
4721,美琪瑪,90.40,1131,97.80,57.22,---,均線糾擺,無,無,MA 乖離率僅 0.49%,均線糾擺
911608,明輝-DR,2.64,122,3.12,2.59,---,均線糾擺,無,無,MA 乖離率僅 1.30%,均線糾擺
6924,榮惠-KY創,164.00,64,168.50,47.80,---,進入盤整 -> 趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
3044,健鼎,524.00,5538,529.00,189.44,---,均線糾擺 -> 貼軌運行,無,無,股價於高位貼軌 (524.00 > 1.5σ)，動能強勁,貼軌運行
3011,今皓,13.15,911,17.15,11.40,---,均線糾擺,無,無,MA 乖離率僅 1.16%,均線糾擺
