日期,代號,名稱,最新價格,成本,股數,損益,報酬率
2026-05-27,2317,鴻海,264.0,241.21,2000,45580,9.45%
2026-05-27,4142,國光生,17.0,25.32,1000,-8320,-32.86%
2026-05-27,0050,元大台灣50,102.55,46.6,16016,896095,120.06%
2026-05-27,0056,元大高股息,49.64,36.43,8000,105680,36.26%
2026-05-27,00635U,期元大S&P黃金,47.07,55.25,3000,-24540,-14.81%
2026-05-27,00738U,期元大道瓊白銀,61.9,66.26,1000,-4360,-6.58%
2026-05-27,00929,復華台灣科技優息,30.04,19.73,8000,82480,52.26%
2026-05-27,009816,凱基台灣TOP50,15.15,11.01,63000,260820,37.60%
2026-05-27,00990A,主動元大AI新經濟,19.88,11.48,5000,42000,73.17%
2026-05-27,2009,第一銅,39.7,50.56,4000,-43440,-21.48%
2026-05-27,2337,旺宏,155.5,95.28,2000,120440,63.20%
2026-05-27,2409,友達,21.8,16.21,2000,11180,34.48%
2026-05-27,3481,群創,50.2,25.1,4000,100400,100.00%
2026-05-27,6806,森崴能源,6.77,45.39,5000,-193100,-85.08%
2026-05-27,3105,穩懋,560.0,556.47,300,1059,0.63%
2026-05-27,4966,譜瑞-KY,870.0,1921.64,1000,-1051640,-54.73%
2026-05-27,00403A,主動統一升級50,10.78,10.68,26026,2603,0.94%
2026-05-27,00981A,主動統一台股增長,31.96,27.48,2000,8960,16.30%
2026-05-27,2313,華通,282.0,250.71,1000,31290,12.48%
2026-05-27,2330,台積電,2300.0,225.55,10,20744,919.73%
2026-05-27,6789,采鈺,543.0,593.5,400,-20200,-8.51%
2026-05-27,5474,聰泰,165.0,175.15,2000,-20300,-5.80%
2026-05-27,6849,奇鼎科技,226.0,266.4,280,-11312,-15.17%
2026-05-27,7853,政美應用,367.5,409.29,280,-11701,-10.21%
2026-05-27,9105,泰金寶-DR,8.56,8.97,3000,-1230,-4.57%
