Stock,Name,Date,Close,上週估買(張),這週估買(張),淨增進貨(張),增長倍數,5D股價漲跌,狀態
5426.TWO,振發,20260527,18.4,35,51,16,1.5x,1.94%,▲ 順勢追意
8477.TWO,創業家,20260527,20.75,0,15,16,新進貨,34.74%,▲ 順勢追意
8084.TWO,巨虹,20260527,45.2,-4,12,16,新進貨,4.39%,▲ 順勢追意
4130.TWO,健亞,20260527,26.25,4,20,16,新進貨,-3.85%,★ 壓低偷買
1337.TW,再生-KY,20260527,4.7,58,73,15,1.3x,0.64%,▲ 順勢追意
5487.TWO,通泰,20260527,27.3,-5,9,15,-1.6x,-1.62%,★ 壓低偷買
6928.TW,攸泰科技,20260527,46.85,-11,3,14,-0.3x,2.18%,▲ 順勢追意
3268.TWO,海德威,20260527,17.35,-39,-24,14,0.6x,1.17%,無
5364.TWO,力麗店,20260527,8.65,0,14,14,新進貨,-5.46%,★ 壓低偷買
3266.TW,昇陽,20260527,12.55,-7,7,14,-1.0x,3.29%,▲ 順勢追意
2033.TW,佳大,20260527,15.1,-9,5,14,-0.5x,-0.33%,★ 壓低偷買
8930.TWO,青鋼,20260527,28.55,-11,2,14,-0.3x,0.53%,▲ 順勢追意
8463.TW,潤泰材,20260527,21.6,-6,7,13,-1.1x,2.86%,▲ 順勢追意
4440.TW,宜新實業,20260527,17.8,-13,0,13,-0.0x,-2.20%,★ 壓低偷買
1805.TW,寶徠,20260527,9.98,-16,-2,13,0.2x,-2.63%,無
1512.TW,瑞利,20260527,6.82,-8,4,13,-0.5x,-3.94%,★ 壓低偷買
6811.TWO,宏�硌穈T,20260527,210.0,46,59,13,1.3x,2.19%,▲ 順勢追意
2905.TW,三商,20260527,13.55,-23,-9,13,0.4x,1.50%,無
9962.TWO,有益,20260527,9.75,-1,12,13,新進貨,3.61%,▲ 順勢追意
5538.TW,東明-KY,20260527,34.85,-13,0,13,-0.0x,1.31%,▲ 順勢追意
1725.TW,元禎,20260527,31.0,-6,7,13,-1.2x,2.82%,▲ 順勢追意
3666.TWO,光耀,20260527,28.8,-13,-1,12,0.1x,7.66%,無
6272.TW,驊陞,20260527,34.2,-144,-131,12,0.9x,8.23%,無
2756.TWO,聯發國際,20260527,60.5,-12,0,12,0.0x,-0.82%,無
2482.TW,連宇,20260527,16.3,3,16,12,新進貨,0.93%,▲ 順勢追意
2013.TW,中鋼構,20260527,42.4,-12,0,12,-0.0x,1.07%,▲ 順勢追意
2904.TW,匯僑,20260527,14.15,-6,6,12,-0.9x,0.35%,★ 壓低偷買
8354.TWO,冠好,20260527,16.85,-6,5,11,-0.8x,2.74%,▲ 順勢追意
3191.TWO,雲嘉南,20260527,21.9,0,11,11,新進貨,47.97%,▲ 順勢追意
1516.TW,川飛,20260527,20.6,-20,-9,11,0.5x,-3.29%,無
4995.TWO,晶達,20260527,44.9,-3,8,11,新進貨,-0.66%,★ 壓低偷買
6865.TWO,偉康科技,20260527,26.8,-9,2,11,-0.2x,-3.60%,★ 壓低偷買
8432.TWO,東生華,20260527,50.3,-12,0,11,0.1x,-0.59%,無
8201.TW,無敵,20260527,13.05,-2,8,11,新進貨,3.57%,▲ 順勢追意
8437.TWO,大地-KY,20260527,11.65,-1,10,11,新進貨,2.64%,▲ 順勢追意
5230.TWO,雷笛克光學,20260527,16.5,5,16,11,3.0x,-4.35%,★ 壓低偷買
2028.TW,威致,20260527,16.9,10,20,10,2.0x,-0.29%,★ 壓低偷買
3150.TW,鈺寶-創,20260527,19.0,-4,6,10,新進貨,4.40%,▲ 順勢追意
3631.TWO,晟楠,20260527,37.4,-4,6,10,新進貨,-1.71%,★ 壓低偷買
1452.TW,宏益,20260527,10.3,-5,4,10,-0.9x,-2.37%,★ 壓低偷買
4580.TWO,捷流閥業,20260527,82.4,3,14,10,新進貨,1.10%,▲ 順勢追意
8087.TWO,麗升能源,20260527,32.25,-23,-13,9,0.6x,-5.98%,無
1220.TW,台榮,20260527,11.75,-13,-4,9,0.3x,-0.42%,無
5223.TWO,安力-KY,20260527,25.5,0,9,9,新進貨,6.47%,▲ 順勢追意
8450.TWO,霹靂,20260527,15.75,-9,0,9,-0.0x,-1.56%,★ 壓低偷買
1626.TW,艾美特-KY,20260527,10.05,0,9,9,新進貨,1.52%,▲ 順勢追意
1583.TW,程泰,20260527,53.8,-4,4,9,新進貨,14.23%,▲ 順勢追意
2248.TW,華勝-KY,20260527,54.3,-9,0,9,-0.0x,-1.63%,★ 壓低偷買
6523.TWO,達爾膚,20260527,98.6,-10,-1,9,0.1x,-0.20%,無
6965.TW,中傑-KY,20260527,76.0,-8,0,8,0.0x,-0.13%,無
3272.TWO,東碩,20260527,16.55,-1,7,8,新進貨,-4.61%,★ 壓低偷買
2432.TW,倚天酷��-創,20260527,26.2,-7,1,8,-0.2x,1.75%,▲ 順勢追意
1466.TW,聚隆,20260527,13.75,-1,6,8,新進貨,-6.14%,★ 壓低偷買
8455.TWO,大拓-KY,20260527,39.75,-9,-1,8,0.2x,-8.93%,無
1473.TW,台南,20260527,20.05,-6,1,8,-0.3x,-1.72%,★ 壓低偷買
6794.TW,向榮生技,20260527,79.0,-3,4,7,新進貨,0.64%,▲ 順勢追意
7631.TW,聚賢研發-創,20260527,126.0,-1,6,7,新進貨,3.28%,▲ 順勢追意
6461.TWO,益得,20260527,15.7,-16,-9,7,0.5x,-3.09%,無
6841.TWO,長佳智能,20260527,56.8,31,39,7,1.3x,-3.40%,★ 壓低偷買
6637.TWO,醫影,20260527,67.1,-1,5,7,新進貨,1.51%,▲ 順勢追意
1537.TW,廣隆,20260527,125.5,2,10,7,新進貨,0.80%,▲ 順勢追意
6988.TW,威力暘-創,20260527,16.45,-6,0,7,-0.1x,-2.66%,★ 壓低偷買
9908.TW,大台北,20260527,29.15,0,6,7,新進貨,0.00%,★ 壓低偷買
6674.TW,鋐寶科技,20260527,17.95,-2,4,6,新進貨,6.21%,▲ 順勢追意
1445.TW,大宇,20260527,11.8,3,9,6,新進貨,2.61%,▲ 順勢追意
2516.TW,新建,20260527,13.6,-3,3,6,新進貨,10.57%,▲ 順勢追意
9918.TW,欣天然,20260527,43.6,1,8,6,新進貨,0.35%,★ 壓低偷買
8107.TWO,大億金茂,20260527,11.2,6,13,6,2.1x,-4.68%,★ 壓低偷買
4438.TW,廣越,20260527,58.6,-5,0,6,-0.1x,1.91%,▲ 順勢追意
1906.TW,寶隆,20260527,10.05,0,5,6,新進貨,-3.37%,★ 壓低偷買
2064.TWO,晉椿,20260527,13.45,0,5,5,新進貨,2.67%,▲ 順勢追意
9926.TW,新海,20260527,48.95,-1,4,5,新進貨,-0.20%,★ 壓低偷買
1465.TW,偉全,20260527,12.3,0,4,5,新進貨,2.50%,▲ 順勢追意
1459.TW,聯發,20260527,11.4,-3,1,5,新進貨,-2.98%,★ 壓低偷買
3115.TWO,富榮綱,20260527,7.8,0,5,5,新進貨,-10.14%,★ 壓低偷買
4142.TW,國光生,20260527,17.0,-140,-135,5,1.0x,-2.02%,無
6124.TWO,業強,20260527,29.75,0,5,5,新進貨,3.30%,▲ 順勢追意
00845B.TWO,富邦新興投等債,20260527,32.87,-5,0,5,-0.0x,0.34%,無
6918.TW,愛派司,20260527,73.1,-10,-4,5,0.4x,-1.88%,無
2434.TW,統懋,20260527,33.2,1,6,5,新進貨,11.78%,▲ 順勢追意
3489.TWO,森寶,20260527,21.75,-9,-3,5,0.4x,-0.91%,無
6931.TW,青松健康,20260527,39.95,2,7,5,新進貨,-1.48%,★ 壓低偷買
4160.TWO,訊聯基因,20260527,41.05,12,17,5,1.5x,-2.84%,★ 壓低偷買
1454.TW,台富,20260527,12.5,-2,1,4,新進貨,-2.72%,★ 壓低偷買
8099.TWO,大世科,20260527,59.5,-2,2,4,新進貨,-1.82%,★ 壓低偷買
2239.TW,英利-KY,20260527,22.3,-1,2,4,新進貨,3.72%,▲ 順勢追意
6560.TWO,欣普羅,20260527,39.1,0,4,4,新進貨,4.55%,▲ 順勢追意
8038.TWO,長園科,20260527,40.7,39,44,4,1.1x,0.99%,▲ 順勢追意
00760B.TWO,復華新興企業債,20260527,52.95,-2,1,4,新進貨,0.86%,▲ 順勢追意
3252.TWO,海灣,20260527,18.1,0,3,4,新進貨,1.69%,▲ 順勢追意
8401.TWO,白紗科,20260527,22.75,-3,0,4,新進貨,-1.09%,★ 壓低偷買
00787B.TWO,元大10年IG醫療債,20260527,32.52,-1,2,4,新進貨,1.82%,▲ 順勢追意
5344.TWO,立衛,20260527,15.7,-1,2,4,新進貨,0.64%,▲ 順勢追意
8442.TW,威宏-KY,20260527,39.8,-101,-97,4,1.0x,-1.24%,無
7753.TWO,星亞,20260527,44.45,0,4,4,新進貨,7.89%,▲ 順勢追意
2546.TW,根基,20260527,87.3,0,3,4,新進貨,3.44%,▲ 順勢追意
8931.TWO,大汽電,20260527,43.5,-2,1,4,新進貨,3.82%,▲ 順勢追意
2722.TW,夏都,20260527,22.6,-3,0,4,新進貨,1.35%,▲ 順勢追意
4935.TW,茂林-KY,20260527,36.55,0,4,3,新進貨,1.25%,▲ 順勢追意
4154.TWO,樂威科-KY,20260527,13.2,-4,-1,3,轉買進,-8.01%,無
4905.TWO,台聯電,20260527,79.0,0,3,3,新進貨,3.00%,▲ 順勢追意
00726B.TWO,國泰新興投等債,20260527,32.5,0,3,3,新進貨,0.53%,▲ 順勢追意
6689.TW,伊雲谷,20260527,65.2,3,6,3,新進貨,1.40%,▲ 順勢追意
4585.TW,達明,20260527,348.5,153,156,3,1.0x,6.57%,▲ 順勢追意
6666.TW,羅麗芬-KY,20260527,39.7,0,3,3,新進貨,-1.61%,★ 壓低偷買
1463.TW,強盛新,20260527,17.7,-3,0,3,轉買進,-2.75%,無
4401.TWO,東隆興,20260527,13.7,-5,-1,3,0.3x,-4.20%,無
8171.TWO,天宇,20260527,22.9,12,15,3,1.3x,-1.72%,★ 壓低偷買
2012.TW,春雨,20260527,14.5,-3,0,3,轉買進,1.05%,無
8291.TWO,尚茂,20260527,121.0,1,5,3,新進貨,60.48%,▲ 順勢追意
7718.TWO,友鋮,20260527,48.6,0,3,3,新進貨,-2.11%,★ 壓低偷買
6504.TW,南六,20260527,37.5,-1,2,3,新進貨,-3.23%,★ 壓低偷買
4572.TW,駐龍,20260527,142.5,-2,0,3,新進貨,-2.06%,★ 壓低偷買
3611.TWO,鼎翰,20260527,187.5,-8,-5,3,0.6x,0.00%,無
6958.TW,日盛台駿,20260527,17.0,-3,0,3,轉買進,0.00%,無
3297.TWO,杭特,20260527,29.8,-6,-4,2,0.6x,-1.65%,無
1453.TW,大將,20260527,11.3,-3,0,2,轉買進,0.44%,無
2702.TW,華園,20260527,12.75,0,1,2,新進貨,-1.54%,★ 壓低偷買
1418.TW,東華,20260527,18.8,0,1,2,新進貨,5.03%,▲ 順勢追意
6641.TW,基士德-KY,20260527,18.1,0,1,2,新進貨,-0.82%,★ 壓低偷買
1441.TW,大東,20260527,9.23,0,1,2,新進貨,-0.75%,★ 壓低偷買
9960.TWO,邁達康,20260527,30.4,-2,0,2,轉買進,-2.72%,無
6895.TWO,宏碩系統,20260527,150.5,-2,0,2,新進貨,-0.66%,★ 壓低偷買
4138.TWO,曜亞,20260527,50.9,-1,1,2,新進貨,-1.74%,★ 壓低偷買
4538.TWO,大詠城,20260527,17.7,0,2,2,新進貨,-3.54%,★ 壓低偷買
3259.TWO,鑫創,20260527,16.0,0,1,2,新進貨,-0.93%,★ 壓低偷買
1456.TW,怡華,20260527,13.05,0,1,2,新進貨,0.77%,▲ 順勢追意
6916.TW,華凌,20260527,18.0,-2,0,2,轉買進,6.82%,無
2923.TW,鼎固-KY,20260527,23.95,-2,0,2,轉買進,16.55%,無
6934.TW,心誠鎂,20260527,73.5,-4,-2,2,轉買進,-2.00%,無
4911.TWO,德英,20260527,31.9,0,1,2,新進貨,0.16%,★ 壓低偷買
9937.TW,全國,20260527,55.4,-1,0,1,轉買進,-1.07%,無
5450.TWO,南良,20260527,12.5,0,0,1,新進貨,0.00%,★ 壓低偷買
6692.TWO,進能服,20260527,27.55,0,0,1,新進貨,-4.67%,★ 壓低偷買
1525.TW,江申,20260527,69.8,-2,-1,1,轉買進,18.71%,無
00711B.TW,復華彭博新興債,20260527,15.92,0,1,1,新進貨,1.40%,▲ 順勢追意
2063.TWO,世鎧,20260527,25.25,0,1,1,新進貨,0.60%,▲ 順勢追意
6431.TW,光麗-KY,20260527,19.35,-10,-8,1,0.8x,-12.05%,無
4439.TW,冠星-KY,20260527,91.6,-1,0,1,新進貨,0.66%,▲ 順勢追意
5548.TWO,安倉,20260527,23.3,-1,0,1,新進貨,-1.27%,★ 壓低偷買
6264.TWO,富裔,20260527,6.08,0,1,1,新進貨,-2.41%,★ 壓低偷買
1468.TW,昶和,20260527,12.05,-1,0,1,新進貨,1.26%,▲ 順勢追意
1324.TW,地球,20260527,10.2,6,7,1,1.2x,0.00%,★ 壓低偷買
6908.TW,宏碁遊戲-創,20260527,38.9,0,1,1,新進貨,2.10%,▲ 順勢追意
7723.TWO,築間,20260527,23.2,1,2,1,新進貨,-6.83%,★ 壓低偷買
8940.TW,新天地,20260527,16.7,-1,0,1,轉買進,0.00%,無
5432.TWO,新門,20260527,137.0,0,1,1,新進貨,-3.86%,★ 壓低偷買
6754.TW,匯僑設計,20260527,43.5,0,0,1,新進貨,0.46%,★ 壓低偷買
5206.TWO,坤悅,20260527,21.75,-1,0,1,新進貨,-4.81%,★ 壓低偷買
2718.TWO,全心投控,20260527,44.8,-5,-4,1,0.7x,-3.03%,無
8102.TWO,傑霖科技,20260527,63.6,-1,0,1,新進貨,0.47%,★ 壓低偷買
5455.TWO,昇益,20260527,22.55,-1,0,1,新進貨,-6.82%,★ 壓低偷買
5902.TWO,德記,20260527,36.8,0,1,1,新進貨,-2.13%,★ 壓低偷買
1236.TW,宏亞,20260527,24.35,-1,0,1,轉買進,2.74%,無
7736.TW,虎山,20260527,71.1,0,0,1,新進貨,-1.11%,★ 壓低偷買
6872.TWO,浩宇生醫,20260527,17.9,0,1,1,新進貨,-1.38%,★ 壓低偷買
3523.TWO,迎輝,20260527,13.2,0,0,1,新進貨,32.13%,▲ 順勢追意
8467.TW,波力-KY,20260527,130.5,0,0,1,新進貨,3.98%,▲ 順勢追意
7732.TW,金興精密,20260527,35.7,-1,0,1,轉買進,3.48%,無
9950.TWO,萬國通,20260527,10.8,0,0,1,新進貨,-3.57%,★ 壓低偷買
6474.TWO,華豫寧,20260527,38.15,0,1,1,新進貨,0.53%,▲ 順勢追意
