Stock,Name,Date,Close,上週估買(張),這週估買(張),淨增進貨(張),增長倍數,5D股價漲跌,狀態
8222.TW,寶一,20260527,34.4,-157,35,192,-0.2x,-2.55%,★ 壓低偷買
3015.TW,全漢,20260527,51.6,-76,115,191,-1.5x,1.78%,▲ 順勢追意
3050.TW,鈺德,20260527,12.4,92,282,189,3.0x,5.08%,▲ 順勢追意
6907.TWO,雅特力-KY,20260527,117.0,-15,173,189,-11.3x,6.85%,▲ 順勢追意
3325.TWO,旭品,20260527,11.85,34,222,187,6.4x,0.42%,★ 壓低偷買
6199.TWO,天品,20260527,94.4,-100,85,186,-0.9x,-4.93%,★ 壓低偷買
4551.TW,智伸科,20260527,151.5,152,338,186,2.2x,2.02%,▲ 順勢追意
3713.TWO,新晶投控,20260527,15.6,-3,182,185,新進貨,20.00%,▲ 順勢追意
009811.TW,統一美國50,20260527,12.95,-125,58,183,-0.5x,1.33%,▲ 順勢追意
7730.TW,暉盛-創,20260527,212.0,-6,174,181,-26.6x,-6.19%,★ 壓低偷買
2444.TW,兆勁,20260527,12.3,-151,29,181,-0.2x,-4.28%,★ 壓低偷買
6129.TWO,普誠,20260527,15.25,-154,25,179,-0.2x,2.01%,▲ 順勢追意
2031.TW,新光鋼,20260527,38.85,-193,-14,179,0.1x,1.44%,無
2461.TW,光群雷,20260527,15.65,23,201,178,8.7x,-1.88%,★ 壓低偷買
6477.TW,安集,20260527,33.9,10,189,178,17.9x,0.15%,★ 壓低偷買
4166.TWO,友霖,20260527,23.55,-33,139,173,-4.2x,-6.18%,★ 壓低偷買
2889.TW,國票金,20260527,14.55,-150,22,172,-0.1x,-1.02%,★ 壓低偷買
1515.TW,力山,20260527,21.95,-59,112,172,-1.9x,-0.23%,★ 壓低偷買
2345.TW,智邦,20260527,2620.0,607,778,171,1.3x,11.25%,▲ 順勢追意
3555.TWO,博士旺,20260527,223.0,-4,165,170,新進貨,14.36%,▲ 順勢追意
2017.TW,官田鋼,20260527,8.91,-34,135,169,-3.9x,4.58%,▲ 順勢追意
2528.TW,皇普,20260527,21.8,-169,0,169,0.0x,-1.80%,無
6924.TW,榮惠-KY創,20260527,164.0,-166,2,168,-0.0x,0.61%,▲ 順勢追意
6684.TWO,安格,20260527,45.85,-35,132,168,-3.8x,0.88%,▲ 順勢追意
6805.TW,富世達,20260527,1740.0,1800,1966,166,1.1x,1.16%,▲ 順勢追意
2383.TW,台光電,20260527,5305.0,625,788,162,1.3x,20.71%,▲ 順勢追意
6894.TWO,衛司特,20260527,370.0,13,175,161,12.8x,8.98%,▲ 順勢追意
1338.TW,廣華-KY,20260527,15.7,-63,93,157,-1.5x,-1.26%,★ 壓低偷買
7584.TWO,樂意,20260527,23.35,-8,146,154,-18.2x,-13.52%,★ 壓低偷買
3617.TW,碩天,20260527,215.0,-160,-7,152,0.0x,14.06%,無
1735.TW,日勝化,20260527,25.95,-40,108,149,-2.7x,4.22%,▲ 順勢追意
3218.TWO,大學光,20260527,130.0,-22,121,144,-5.3x,1.17%,▲ 順勢追意
2020.TW,美亞,20260527,21.25,-116,26,143,-0.2x,-0.47%,★ 壓低偷買
2527.TW,宏璟,20260527,36.25,-29,111,141,-3.8x,9.85%,▲ 順勢追意
4121.TWO,優盛,20260527,14.05,-73,66,139,-0.9x,-0.71%,★ 壓低偷買
3092.TW,鴻碩,20260527,29.5,-63,74,138,-1.2x,4.98%,▲ 順勢追意
5607.TW,遠雄港,20260527,50.2,-32,105,138,-3.3x,4.47%,▲ 順勢追意
6136.TW,富爾特,20260527,25.7,-38,97,135,-2.5x,2.19%,▲ 順勢追意
1905.TW,華紙,20260527,11.85,-567,-432,134,0.8x,0.42%,無
6541.TW,泰福-KY,20260527,37.9,-110,22,133,-0.2x,-0.13%,★ 壓低偷買
1568.TW,倉佑,20260527,37.5,-80,51,131,-0.6x,33.93%,▲ 順勢追意
4543.TWO,萬在,20260527,38.2,-54,74,128,-1.4x,0.39%,★ 壓低偷買
2743.TWO,山富,20260527,67.1,-121,6,128,-0.1x,0.00%,★ 壓低偷買
5210.TWO,寶碩,20260527,27.25,15,143,127,9.2x,0.18%,★ 壓低偷買
1529.TW,樂事綠能,20260527,22.45,-156,-29,127,0.2x,10.32%,無
6840.TWO,東研信超,20260527,62.9,5,131,125,24.0x,-2.02%,★ 壓低偷買
1584.TWO,精剛,20260527,19.45,41,167,125,4.0x,-1.02%,★ 壓低偷買
6470.TWO,宇智,20260527,47.5,2,126,124,新進貨,0.21%,★ 壓低偷買
2612.TW,中航,20260527,57.6,-74,47,122,-0.6x,5.11%,▲ 順勢追意
4113.TWO,聯上,20260527,14.5,-159,-36,122,0.2x,-3.33%,無
