日期,代號,名稱,最新價格,成本,股數,損益,報酬率
2026-05-27,1540,喬福,20.85,44.99,2000,-48280,-53.66%
2026-05-27,2399,映泰,48.0,41.99,3000,18030,14.31%
2026-05-27,2609,陽明,52.6,77.27,1000,-24670,-31.93%
2026-05-27,2618,長榮航,34.8,46.14,2000,-22680,-24.58%
2026-05-27,00738U,期元大道瓊白銀,61.9,68.36,1000,-6460,-9.45%
2026-05-27,00635U,期元大S&P黃金,47.07,53.65,2000,-13160,-12.26%
2026-05-27,009816,凱基台灣TOP50,15.15,11.32,35000,134050,33.83%
