代號,名稱,前日均價,報買價,報買量,報賣價,報賣量,日最高,日最低,日均價,成交,成交量,進度日期,上市櫃進度(註)
1260,富味鄉,24.08,23.8,5000,24.5,9999,24.90,23.80,24.16,24.50,113265,-,
1269,乾杯,68.17,66.5,3000,67.8,2790,70.80,67.40,67.56,67.80,3717,-,
1271,晨暉生技,61.52,61.2,6000,61.6,5000,61.70,61.00,61.37,61.60,44668,-,
1293,利統,27.05,26.9,2000,27.15,3000,27.60,26.90,26.99,27.10,8003,-,
1343,旭東環保,20.15,20,2970,20.4,2995,20.65,20.00,20.38,20.40,19620,-,
1480,東盟開發,9.21,9.04,5000,9.38,5000,9.10,9.06,9.08,9.10,10000,-,
1594,日高,11.05,10.05,9000,10.55,9998,10.60,9.40,9.80,10.05,136192,-,
1780,立弘,33.27,32.9,3000,33.2,3000,33.50,32.85,33.03,33.00,480300,115/01/28,櫃買中心同意上櫃契約
2071,震南鐵,20.59,20.8,3000,21.1,2812,21.10,20.40,20.98,21.10,36074,-,
2237,華德動能,37.60,37.65,2819,37.95,2000,38.40,37.00,37.82,37.80,237019,115/03/09,證交所同意創新板上市契約
2245,詠勝昌*,26.64,26.4,5000,26.75,3000,26.75,26.40,26.47,26.75,5404,-,
2249,湧盛,121.84,120,2000,122,1990,123.00,118.50,120.02,122.00,26057,115/05/08,送件申請上櫃
2252,為昇科,17.81,17.45,1000,17.75,5000,18.25,17.40,17.73,17.45,135918,-,
2255,凱銳光電,19.32,18.9,5000,19.65,5000,19.60,19.00,19.32,19.50,45466,-,
2256,歐特明,87.17,86.6,3000,90.5,3000,90.90,86.40,88.54,90.70,419824,-,
2644,中信造船,78.92,76.9,6000,77.7,3000,79.10,76.80,77.66,77.70,122229,-,
2733,維格餅家,11.05,10.5,10000,11.05,9998,11.05,10.95,11.02,11.05,3,-,
2741,老四川,21.27,20.9,3000,21.2,2940,21.60,21.00,21.16,21.20,17112,-,
2758,路易莎咖啡,64.57,65.1,3000,67.9,2986,67.90,63.50,65.77,67.90,15737,-,
2760,巨宇翔,20.10,19.1,10000,20.1,6000,-,-,-,-,-,-,
2761,橘焱胡同,15.20,15.15,5000,15.6,5000,15.30,15.15,15.20,15.15,9631,-,
2938,床的世界,23.03,22,5999,22.95,2998,23.25,22.00,22.70,22.80,11531,115/04/29,送件申請上櫃
2940,歐都納,23.64,24.1,6000,25.25,3000,24.30,24.00,24.25,24.10,12001,-,
2942,京站,38.14,37.65,2000,38.3,3000,38.20,37.65,38.06,37.65,4000,-,
3097,拍檔,26.45,25,6000,26.3,5999,28.50,26.20,26.87,26.30,51429,-,
3117,年程,29.28,27.8,3000,28.2,3000,30.00,27.15,28.08,28.20,221270,-,
3184,微邦,24.78,21.8,3000,22.2,3000,24.65,21.80,22.29,21.90,1369418,-,
3473,智通聯網,91.73,91.3,3000,92.9,3000,93.80,90.00,91.56,93.00,18008,-,
3585,聯致,85.57,80.2,8999,81.9,2996,87.10,79.70,82.36,81.90,2624376,-,
3595,山太士,2752.78,2610,1000,2620,3998,2790.00,2590.00,2664.40,2620.00,521096,-,
3603,建祥國際,8.01,7.75,10000,8.15,10000,8.25,7.85,8.01,8.15,36315,-,
3633,云光,129.57,125,7000,126.5,8974,130.00,125.00,126.56,125.50,133747,-,
3659,百辰,22.28,22.75,3000,23.6,3000,23.00,22.20,22.82,23.00,37071,-,
3678,聯享,60.40,57.8,1983,59.9,2998,60.10,56.30,58.15,59.90,115731,-,
4115,善德生技,7.89,7.63,5000,7.85,1996,8.19,7.61,7.98,7.80,295672,-,
4150,優你康,5.70,5.55,5000,5.66,7889,5.79,5.48,5.62,5.66,339978,-,
4170,鑫品生醫,13.39,13.2,5000,13.5,8000,13.50,13.25,13.33,13.50,46725,-,
4172,因華,13.19,12.95,5000,13.35,3000,13.45,12.75,13.04,13.35,484288,-,
4186,尖端醫,10.15,9.94,4998,10.25,9997,10.40,9.94,10.06,10.25,134376,-,
4194,禾生技,7.09,6.9,5000,7.1,4995,7.15,6.97,7.06,7.10,29803,-,
4197,暐世,9.17,9.41,5000,9.79,3000,10.45,9.40,9.82,9.79,89249,-,
