股票代碼         名稱              收盤價       最佳均線          勝率%            報酬%       次數        外資5日買 目前狀態                
----------------------------------------------------------------------------------------------------------------------------------
0050.TW      元大台灣50         76.6          6         70.0           9.94        2      -331136 📉 觀望/賣出             
0052.TW      富邦科技          45.65          6        68.18          10.85        2        12170 📉 觀望/賣出             
0056.TW      元大高股息         38.53          3        77.78           6.96        3        13824 📉 觀望/賣出             
00631L.TW    元大台灣50正2      470.0          3        76.92           6.89        2            3 📉 觀望/賣出             
00632R.TW    元大台灣50反1      14.15          5        33.33          -4.91        3          199 📉 觀望/賣出             
00633L.TW    富邦上証正2        46.28         19          0.0          -2.61        1         -509 📉 觀望/賣出             
00634R.TW    富邦上証反1         3.29          5         50.0          -2.64        4         -377 📉 觀望/賣出             
00635U.TW    期元大S&P黃金       54.4          5        77.78          14.59        3          751 📉 觀望/賣出             
00637L.TW    元大滬深300正2      19.1         11        33.33           -1.6        2         1636 📈 持有                
00638R.TW    元大滬深300反1      7.12          7        47.37           -2.4        4           48 📉 觀望/賣出             
00640L.TW    富邦日本正2         86.6          6        66.67          14.05        2          -52 📉 觀望/賣出             
00641R.TW    富邦日本反1         4.24         11        38.46          -0.12        2          -60 📈 持有                
00642U.TW    期元大S&P石油      25.16         11        61.29          62.11        0         8909 📈 持有                
00646.TW     元大S&P500       67.1         16          0.0          -2.73        3         -412 📉 觀望/賣出             
00648R.TW    元大S&P500反1     4.48         15        42.86          -1.42        3          -75 📈 持有                
00650L.TW    復華香港正2        17.21          3         50.0            1.0        3         -258 📉 觀望/賣出             
00651R.TW    復華香港反1         5.33         16        46.67           2.88        1          -30 📈 持有                
00654R.TW    富邦印度反1         6.93         11        61.11           5.84        2            0 📈 持有                
00655L.TW    未知            32.06         11        28.57            0.1        1         -408 📈 持有                
00656R.TW    國泰中國A50反1       6.3          6         50.0           -3.5        5            0 📉 觀望/賣出             
00662.TW     富邦NASDAQ      101.3         16         37.5          -5.85        3        -1078 📈 持有                
00663L.TW    國泰臺灣加權正2      61.45          3        66.67           7.28        2          269 📉 觀望/賣出             
00664R.TW    國泰臺灣加權反1       2.29          5         37.5          -4.17        3          -65 📉 觀望/賣出             
00665L.TW    富邦恒生國企正2       9.81          3         40.0          -3.98        2         4273 📉 觀望/賣出             
00666R.TW    富邦恒生國企反1       9.18         18        47.06           1.81        1          137 📈 持有                
00669R.TW    國泰美國道瓊反1       5.87         16        57.14          -0.82        3            0 📈 持有                
00671R.TW    富邦NASDAQ反1     2.93         19        43.75          -1.07        2          -55 📉 觀望/賣出             
00673R.TW    期元大S&P原油反1     19.0         10          0.0            0.0        0            0 📉 觀望/賣出             
00674R.TW    期元大S&P黃金反1     4.84         17          0.0            0.0        0            0 📈 持有                
00675L.TW    富邦臺灣加權正2      186.4          3        76.92           6.79        2        -3700 📉 觀望/賣出             
00676R.TW    富邦臺灣加權反1       7.78          5        33.33          -4.18        3          -54 📉 觀望/賣出             
00679B.TWO   元大美債20年       27.28         14        56.25           2.35        1        37560 📉 觀望/賣出             
00680L.TW    元大美債20正2       7.18          7         60.0           2.57        3         1350 📉 觀望/賣出             
00685L.TW    群益臺灣加權正2      167.8          3        76.92           6.77        2          -40 📉 觀望/賣出             
00686R.TW    群益臺灣加權反1       1.39          5         37.5          -2.81        2          -29 📉 觀望/賣出             
00687B.TWO   國泰20年美債       28.64         12        57.14           2.19        1        57844 📉 觀望/賣出             
00688L.TW    國泰20年美債正2      7.16          7        57.14           2.72        3         5768 📉 觀望/賣出             
00693U.TW    期街口S&P黃豆      23.07          9        81.82           9.97        1         -380 📈 持有                
00696B.TWO   富邦美債20年       29.66         14        56.25           2.32        1         7911 📉 觀望/賣出             
00700.TW     富邦�琤肭磪�       17.52          3        33.33          -1.58        3         4458 📉 觀望/賣出             
00703.TW     台新MSCI中國       20.6         15         50.0          -1.02        1            0 📉 觀望/賣出             
00712.TW     復華富時不動產        9.13         17          0.0            0.0        0        -8200 📉 觀望/賣出             
00713.TW     元大台灣高息低波       52.1          3        81.25           4.49        3        -1157 📉 觀望/賣出             
00715L.TW    期街口布蘭特正2      50.15         11        70.97         136.78        0        22777 📈 持有                
00719B.TWO   元大美債1-3       31.35         11        38.46           -0.0        1         1903 📈 持有                
00720B.TWO   元大投資級公司債      33.12         17        38.46          -0.45        1        20819 📉 觀望/賣出             
00722B.TWO   群益投資級電信債      36.34         13        30.77          -0.96        2         4575 📉 觀望/賣出             
00724B.TWO   群益投資級金融債      34.03          4        58.33           0.69        3         2751 📉 觀望/賣出             
00725B.TWO   國泰投資級公司債       35.2         17         50.0           -0.0        1        19737 📉 觀望/賣出             
00735.TW     國泰臺韓科技        67.35          3         75.0           2.96        3          190 📉 觀望/賣出             
00738U.TW    期元大道瓊白銀       69.15          5        58.33          12.99        2          742 📉 觀望/賣出             
00740B.TWO   富邦全球投等債        38.8          3        58.33           0.26        4        11357 📉 觀望/賣出             
00746B.TWO   未知            35.83         12         50.0           0.36        1         2359 📉 觀望/賣出             
00749B.TWO   凱基新興債10+      32.19         19        38.89           0.56        1        70026 📉 觀望/賣出             
00751B.TWO   元大AAA至A公司債    31.98         17        38.46          -1.07        2         9791 📉 觀望/賣出             
00752.TW     中信中國50        24.55          3        42.86          -2.43        3         1708 📉 觀望/賣出             
00753L.TW    中信中國50正2      10.99          3         50.0          -4.71        3        10679 📉 觀望/賣出             
00757.TW     統一FANG+       111.6         10        54.55          -0.91        2         1659 📈 持有                
00761B.TWO   國泰A級公司債       34.58          3        41.67          -0.11        5          706 📉 觀望/賣出             
00764B.TWO   群益25年美債        28.6         12        57.14           2.01        1        21751 📉 觀望/賣出             
00768B.TWO   復華20年美債       51.45         14         60.0           1.43        1         2496 📉 觀望/賣出             
00770.TW     國泰北美科技        51.85         18         50.0          -3.12        1           42 📈 持有                
00772B.TWO   中信高評級公司債      33.86         18        41.67          -0.07        1        10446 📉 觀望/賣出             
00773B.TWO   中信優先金融債        36.1          3        53.85            0.3        5         3254 📉 觀望/賣出             
00780B.TWO   國泰A級金融債        37.8         16        36.84           0.05        1          147 📉 觀望/賣出             
00795B.TWO   中信美國公債20年     27.48         13        56.25           2.37        1        33115 📉 觀望/賣出             
00830.TW     國泰費城半導體       55.25         14        58.33           -1.5        2          972 📉 觀望/賣出             
00852L.TW    未知            28.76         12         40.0          -5.94        2          -30 📉 觀望/賣出             
00857B.TWO   永豐20年美公債      23.83         14        56.25           2.42        1         8910 📉 觀望/賣出             
00864B.TWO   中信美國公債0-1     46.47         16        35.71            0.2        1         1786 📈 持有                
00865B.TW    國泰US短期公債      47.98         16        42.86           0.25        1           21 📈 持有                
00875.TW     國泰網路資安        38.61         13         50.0            4.9        1          486 📈 持有                
00877.TWO    復華中國5G         28.2          5        27.78          -7.27        7          509 📈 持有                
00878.TW     國泰永續高股息       22.27          5        83.33           6.09        3        -7533 📉 觀望/賣出             
00881.TW     國泰台灣科技龍頭      36.79          6        72.73          12.08        2        -4448 📉 觀望/賣出             
00882.TW     中信中國高股息       16.14          3        64.71           5.86        4         5460 📉 觀望/賣出             
00885.TW     富邦越南          17.62          7        45.45          -0.43        4        -5514 📉 觀望/賣出             
00887.TWO    永豐中國科技50大     12.84         10        53.85           0.25        2         2837 📉 觀望/賣出             
00891.TW     中信關鍵半導體       24.13          4        68.42          13.54        3         9539 📉 觀望/賣出             
00900.TW     富邦特選高股息30     14.25          3        63.64           1.31        3        -2453 📉 觀望/賣出             
00902.TW     中信電池及儲能       14.39          4        53.33           8.85        3          323 📈 持有                
00904.TW     新光臺灣半導體30     28.52          5        71.43           14.9        2         -666 📉 觀望/賣出             
00909.TW     國泰數位支付服務      38.99          3         40.0           -6.5        3         -703 📉 觀望/賣出             
00910.TW     第一金太空衛星       56.05          4        46.15           1.76        4           35 📈 持有                
00915.TW     凱基優選高股息30     23.44          6        63.16            5.1        2        -2869 📉 觀望/賣出             
00918.TW     大華優利高填息30     23.06          3        66.67            2.8        3        -4900 📉 觀望/賣出             
00919.TW     群益台灣精選高息       23.7          3         75.0           6.55        3       -31702 📉 觀望/賣出             
00922.TW     國泰台灣領袖50      30.47          3        73.68           9.95        3       -54731 📉 觀望/賣出             
00923.TW     群益台ESG低碳50    28.98          4        68.42          10.41        3         -480 📉 觀望/賣出             
00924.TW     復華S&P500成長    28.35         16        33.33          -2.47        2         1805 📉 觀望/賣出             
00927.TW     群益半導體收益       24.48          5         75.0          11.78        3          329 📉 觀望/賣出             
00929.TW     復華台灣科技優息      19.56          3        68.75           4.31        3         3397 📈 持有                
00931B.TWO   統一美債20年        13.8         13        53.33           1.53        1        13184 📉 觀望/賣出             
00933B.TWO   國泰10Y+金融債     16.18          3        58.33           0.67        5        27341 📉 觀望/賣出             
00936.TW     台新永續高息中小      17.49          5        55.56           6.96        2         -931 📉 觀望/賣出             
00937B.TWO   群益ESG投等債20+    14.87          3         50.0           -0.2        4       162441 📉 觀望/賣出             
00939.TW     統一台灣高息動能       15.7          3        76.47            8.3        3         -412 📉 觀望/賣出             
00940.TW     元大台灣價值高息       9.69          3        73.33           4.31        3        -7591 📉 觀望/賣出             
00941.TW     中信上游半導體       21.57          6        54.55          12.22        2           68 📉 觀望/賣出             
00942B.TWO   台新美A公司債20+    14.36          3        42.86          -1.19        6         9007 📉 觀望/賣出             
00945B.TW    凱基美國非投等債      14.51          3        42.86          -0.21        4        10510 📉 觀望/賣出             
00946.TW     群益科技高息成長       9.99          4        68.75           5.79        2         -319 📈 持有                
00947.TW     台新臺灣IC設計      23.41          8        70.59           5.03        2        -1905 📈 持有                
00948B.TWO   中信優息投資級債       9.47         17        41.67          -0.42        1       405820 📉 觀望/賣出             
00949.TW     復華日本龍頭        19.47          3         50.0           7.27        3          294 📉 觀望/賣出             
00950B.TWO   凱基A級公司債       14.12          3         50.0            0.0        6       130326 📉 觀望/賣出             
00951.TW     台新日本半導體       13.81          6         50.0            9.5        3          191 📉 觀望/賣出             
00952.TW     凱基台灣AI50      12.77          3        69.23           4.54        4        -2302 📈 持有                
00953B.TW    群益優選非投等債       9.66         17        16.67          -1.03        2        33302 📉 觀望/賣出             
00955.TWO    中信日本商社        15.03          3        76.92          16.12        2        -1733 📉 觀望/賣出             
00959B.TWO   大華投等美債15Y+     9.41          5        57.14          -0.31        4         5063 📉 觀望/賣出             
00963.TW     中信全球高股息        12.3          9        69.57           5.13        1         1242 📉 觀望/賣出             
00965.TW     元大航太防衛科技      25.99          3        64.29          -1.94        4          141 📉 觀望/賣出             
00968B.TWO   元大優息投等債        9.29         17         50.0           0.03        1         3821 📉 觀望/賣出             
00969B.TWO   未知             8.49          4        55.56           1.03        3         2809 📉 觀望/賣出             
00970B.TWO   新光BBB投等債20+     9.38         17        61.54          -0.13        1          554 📉 觀望/賣出             
009801.TW    中信美國創新科技      10.61         20         25.0          -3.85        2         1546 📉 觀望/賣出             
009803.TW    保德信市值動能50     15.74          7        66.67          11.48        2         -182 📉 觀望/賣出             
009805.TW    新光美國電力基建      14.86          3        61.54           10.1        3         1229 📉 觀望/賣出             
00980A.TW    主動野村臺灣優選       17.2          3        61.11           6.22        5        -1267 📉 觀望/賣出             
009811.TW    統一美國50        11.36         19          0.0           -1.6        2         3536 📉 觀望/賣出             
009813.TW    貝萊德標普卓越50     10.15         19          0.0          -1.13        1        -2185 📉 觀望/賣出             
009814.TWO   富邦標普500        9.95         13          0.0          -2.81        2        -1404 📉 觀望/賣出             
009815.TWO   大華美國MAG7+      9.62         20          0.0            0.0        0          599 📉 觀望/賣出             
009816.TW    凱基台灣TOP50      10.8          3        83.33           6.59        1       -12456 📉 觀望/賣出             
00981A.TW    主動統一台股增長      20.16          9          0.0            0.0        0        23459 📈 持有                
00981B.TWO   第一金優選非投債        9.3         16         50.0          -0.43        1         8590 📈 持有                
00981D.TWO   主動中信非投等債      10.43         17         20.0          -0.47        1         6702 📈 持有                
00982A.TW    主動群益台灣強棒      16.15          3          0.0            0.0        0        -3703 📈 持有                
00982D.TW    主動富邦動態入息       10.1         11          0.0            0.0        0          317 📉 觀望/賣出             
00983A.TW    主動中信ARK創新     10.91         15          0.0            0.0        0         1126 📈 持有                
00984B.TWO   大華優利美A債15     16.55          4        57.14            0.3        4         -718 📉 觀望/賣出             
00985A.TW    主動野村台灣50      16.15          3         75.0           9.44        3         -864 📉 觀望/賣出             
00985B.TW    群益ESG投等債0-5     10.3          5        36.36           -0.6        4        13847 📉 觀望/賣出             
00987A.TW    主動台新優勢成長      11.61          9          0.0            0.0        0        -1775 📈 持有                
00988A.TW    主動統一全球創新      12.64          9          0.0            0.0        0          494 📉 觀望/賣出             
00989A.TW    未知            14.12         18          0.0            0.0        0          355 📈 持有                
00990A.TW    主動元大AI新經濟     11.99          6        54.17           7.47        3       -10989 📉 觀望/賣出             
00991A.TW    主動復華未來50       12.3          8          0.0            0.0        0         1015 📉 觀望/賣出             
00992A.TW    主動群益科技創新      12.77          9          0.0            0.0        0        -5504 📈 持有                
00993A.TW    主動安聯台灣        10.43          3        71.43           3.39        1        -5919 📉 觀望/賣出             
00995A.TW    主動中信台灣卓越      11.57          3         62.5           5.06        2        -2336 📈 持有                
02001L.TW    未知             63.8          3          0.0            0.0        0            0 📉 觀望/賣出             
02001R.TW    未知             0.74          3          0.0            0.0        0            0 📉 觀望/賣出             
020030.TW    統一智慧電動車N      11.15          3          0.0            0.0        0            0 📉 觀望/賣出             
1101.TW      台泥             25.1          3        54.55           8.86        4       -12253 📉 觀望/賣出             
1102.TW      亞泥            34.75          9         60.0          -0.57        1        -4059 📉 觀望/賣出             
1203.TW      味王             38.4          4        42.86          -2.05        6          -38 📉 觀望/賣出             
1213.TW      大飲              9.8         20          0.0          -3.65        1            0 📉 觀望/賣出             
1216.TW      統一             70.1          6         37.5          -2.41        3       -11441 📉 觀望/賣出             
1219.TW      福壽             13.5          7        42.86          -2.88        4         -175 📉 觀望/賣出             
1220.TW      台榮             12.9          4        44.44            0.8        4          -73 📉 觀望/賣出             
1225.TW      福懋油            32.8         20        66.67           12.7        1         -175 📈 持有                
1229.TW      聯華            43.35         19          0.0          -3.65        1        -1583 📉 觀望/賣出             
1235.TW      興泰            38.15          5        46.15          -0.33        3          -39 📉 觀望/賣出             
1256.TW      鮮活果汁-KY       165.0          3         40.0          -8.35        4          -26 📉 觀望/賣出             
1259.TWO     安心             61.0          5         37.5          -3.32        3            2 📉 觀望/賣出             
1294.TWO     漢田生技           90.6         19        52.63          13.47        1          -45 📈 持有                
1295.TWO     生合             71.7         19          0.0            0.0        0           22 📉 觀望/賣出             
1301.TW      台塑            46.25          4        72.73          14.51        3       -32710 📉 觀望/賣出             
1303.TW      南亞             77.5          8        53.85          17.72        2       -28160 📉 觀望/賣出             
1304.TW      台聚            13.05          6        56.25           4.47        3        -7057 📈 持有                
1305.TW      華夏             14.0         14        43.75            7.1        2        -3088 📈 持有                
1307.TW      三芳            33.45         19        53.85           1.36        0        -1080 📈 持有                
1308.TW      亞聚            15.35          3        54.55          -2.69        5        -4626 📈 持有                
1309.TW      台達化            15.1         13        42.11          16.87        1         -234 📈 持有                
1310.TW      台苯            11.75         18        58.82          27.97        1         1059 📈 持有                
1312.TW      國喬            14.05          6         37.5          -4.08        2        -8332 📈 持有                
1313.TW      聯成             12.5          5        57.14          18.67        4        -9100 📉 觀望/賣出             
1314.TW      中石化            8.82         16        41.67           7.43        0       -15822 📈 持有                
1323.TW      永裕            18.55         18          0.0          -1.87        1          -12 📉 觀望/賣出             
1326.TW      台化            42.65         14        59.09           27.9        1       -13301 📉 觀望/賣出             
1337.TW      再生-KY           5.9          7         50.0          19.58        2         -761 📈 持有                
1338.TW      廣華-KY          14.9          3        66.67           1.45        1          177 📉 觀望/賣出             
1340.TW      勝悅-KY          7.38          5        41.18           6.93        4          -57 📈 持有                
1341.TW      富林-KY          58.8          3        77.78           3.31        4          -16 📉 觀望/賣出             
1402.TW      遠東新           27.95         18         20.0          -7.11        5         2073 📉 觀望/賣出             
