股票代碼         名稱              收盤價       最佳均線        實戰勝率%          區間報酬%     交易次數       外資5日買超 目前狀態                
---------------------------------------------------------------------------------------------------------------------------------------
0050.TW      元大台灣50         76.6          6        68.18           9.95        2      -331136 📈 持有 → 繼續持有         
0052.TW      富邦科技          45.65          6        66.67          11.57        2        12170 📈 持有 → 繼續持有         
0056.TW      元大高股息         38.53          5        66.67           5.37        4        13824 📈 持有 → 繼續持有         
00631L.TW    元大台灣50正2      470.0          7        70.83          12.97        3            3 📈 持有 → 繼續持有         
00632R.TW    元大台灣50反1      14.15          6        36.36          -3.06        3          199 📉 建議賣出              
00633L.TW    富邦上証正2        46.28         19          0.0          -2.61        1         -509 📉 建議賣出              
00634R.TW    富邦上証反1         3.29          5        52.38          -0.53        5         -377 📉 建議賣出              
00635U.TW    期元大S&P黃金       54.4          5         75.0          16.84        3          751 📉 建議賣出              
00637L.TW    元大滬深300正2      19.1         11        33.33           -1.6        2         1636 📈 持有 → 繼續持有         
00638R.TW    元大滬深300反1      7.12          5         50.0          -2.27        6           48 📉 建議賣出              
00640L.TW    富邦日本正2         86.6          6         61.9            8.1        3          -52 📉 建議賣出              
00641R.TW    富邦日本反1         4.24          5        36.36            0.6        4          -60 📈 持有 → 繼續持有         
00642U.TW    期元大S&P石油      25.16         11        61.29          62.11        0         8909 📈 持有 → 繼續持有         
00646.TW     元大S&P500       67.1         19          0.0          -3.01        3         -412 📉 建議賣出              
00648R.TW    元大S&P500反1     4.48         15        42.86          -1.42        3          -75 📈 持有 → 繼續持有         
00650L.TW    復華香港正2        17.21          4        53.33           1.57        4         -258 📉 建議賣出              
00651R.TW    復華香港反1         5.33          4         45.0           4.07        5          -30 📈 持有 → 繼續持有         
00654R.TW    富邦印度反1         6.93         12         55.0           5.94        3            0 📈 持有 → 繼續持有         
00655L.TW    未知            32.06         11        28.57            0.1        1         -408 📈 持有 → 繼續持有         
00656R.TW    國泰中國A50反1       6.3          6        54.17          -1.48        5            0 📉 建議賣出              
00662.TW     富邦NASDAQ      101.3         17         37.5          -5.85        3        -1078 📈 持有 → 繼續持有         
00663L.TW    國泰臺灣加權正2      61.45          4         62.5          17.11        5          269 📈 持有 → 繼續持有         
00664R.TW    國泰臺灣加權反1       2.29          6         40.0          -2.45        3          -65 📉 建議賣出              
00665L.TW    富邦恒生國企正2       9.81          4        56.25           5.16        4         4273 📉 建議賣出              
00666R.TW    富邦恒生國企反1       9.18          4        59.09           8.18        5          137 📈 持有 → 繼續持有         
00669R.TW    國泰美國道瓊反1       5.87         16         60.0          -0.29        3            0 📈 持有 → 繼續持有         
00671R.TW    富邦NASDAQ反1     2.93         19        43.75          -1.07        2          -55 📈 持有 → 繼續持有         
00673R.TW    期元大S&P原油反1     19.0         10          0.0            0.0        0            0 📉 建議賣出              
00674R.TW    期元大S&P黃金反1     4.84         17          0.0          -3.53        1            0 📈 持有 → 繼續持有         
00675L.TW    富邦臺灣加權正2      186.4          4         68.0          15.88        5        -3700 📈 持有 → 繼續持有         
00676R.TW    富邦臺灣加權反1       7.78          7        36.36          -2.42        3          -54 📉 建議賣出              
00679B.TWO   元大美債20年       27.28         15         50.0           0.08        4        37560 📉 建議賣出              
00680L.TW    元大美債20正2       7.18          3        57.14            1.9        6         1350 📉 建議賣出              
00685L.TW    群益臺灣加權正2      167.8          7        70.83           13.2        3          -40 📈 持有 → 繼續持有         
00686R.TW    群益臺灣加權反1       1.39          6         40.0          -0.68        2          -29 📉 建議賣出              
00687B.TWO   國泰20年美債       28.64         14         50.0           0.01        4        57844 📉 建議賣出              
00688L.TW    國泰20年美債正2      7.16          3        52.38           1.77        6         5768 📉 建議賣出              
00693U.TW    期街口S&P黃豆      23.07         18        81.82          12.97        1         -380 📈 持有 → 繼續持有         
00696B.TWO   富邦美債20年       29.66         14        52.63           1.14        3         7911 📉 建議賣出              
00700.TW     富邦�琤肭磪�       17.52          4        46.67           3.09        4         4458 📈 持有 → 繼續持有         
00703.TW     台新MSCI中國       20.6         15         50.0          -1.02        1            0 📉 建議賣出              
00712.TW     復華富時不動產        9.13         10         50.0          -1.03        3        -8200 📉 建議賣出              
00713.TW     元大台灣高息低波       52.1          5        77.27           5.52        3        -1157 📈 持有 → 繼續持有         
00715L.TW    期街口布蘭特正2      50.15         11        70.97         136.78        0        22777 📈 持有 → 繼續持有         
00719B.TWO   元大美債1-3       31.35          4        53.33           1.13        5         1903 📈 持有 → 繼續持有         
00720B.TWO   元大投資級公司債      33.12          3        43.48          -1.68        8        20819 📉 建議賣出              
00722B.TWO   群益投資級電信債      36.34          3        45.45          -0.56        7         4575 📉 建議賣出              
00724B.TWO   群益投資級金融債      34.03          3        52.63           1.31        8         2751 📉 建議賣出              
00725B.TWO   國泰投資級公司債       35.2          3        45.83          -0.47        8        19737 📉 建議賣出              
00735.TW     國泰臺韓科技        67.35          4         68.0          17.27        5          190 📈 持有 → 繼續持有         
00738U.TW    期元大道瓊白銀       69.15          5        70.83           39.0        2          742 📉 建議賣出              
00740B.TWO   富邦全球投等債        38.8          3        57.14           0.38        7        11357 📉 建議賣出              
00746B.TWO   未知            35.83          3         50.0          -0.27        8         2359 📉 建議賣出              
00749B.TWO   凱基新興債10+      32.19         19        38.89           0.56        1        70026 📉 建議賣出              
00751B.TWO   元大AAA至A公司債    31.98         19        30.77          -1.95        4         9791 📉 建議賣出              
00752.TW     中信中國50        24.55          4        53.85           1.18        4         1708 📉 建議賣出              
00753L.TW    中信中國50正2      10.99          5        57.14           -0.7        3        10679 📈 持有 → 繼續持有         
00757.TW     統一FANG+       111.6          3        52.63          -0.45        6         1659 📉 建議賣出              
00761B.TWO   國泰A級公司債       34.58          3        47.37          -0.28        7          706 📉 建議賣出              
00764B.TWO   群益25年美債        28.6          3        45.45          -0.05        8        21751 📉 建議賣出              
00768B.TWO   復華20年美債       51.45         14        57.14           0.55        3         2496 📉 建議賣出              
00770.TW     國泰北美科技        51.85         18        42.86          -5.78        2           42 📈 持有 → 繼續持有         
00772B.TWO   中信高評級公司債      33.86          3        52.17          -0.14        7        10446 📉 建議賣出              
00773B.TWO   中信優先金融債        36.1          3        54.55           1.51        7         3254 📉 建議賣出              
00780B.TWO   國泰A級金融債        37.8         16        36.84           0.05        1          147 📉 建議賣出              
00795B.TWO   中信美國公債20年     27.48         14        52.63           1.22        3        33115 📉 建議賣出              
00830.TW     國泰費城半導體       55.25         14        53.33          -3.64        3          972 📉 建議賣出              
00852L.TW    未知            28.76         19        33.33          -6.53        2          -30 📉 建議賣出              
00857B.TWO   永豐20年美公債      23.83         14         50.0          -0.03        4         8910 📉 建議賣出              
00864B.TWO   中信美國公債0-1     46.47          4         50.0           1.41        5         1786 📈 持有 → 繼續持有         
00865B.TW    國泰US短期公債      47.98          4         55.0           1.72        4           21 📈 持有 → 繼續持有         
00875.TW     國泰網路資安        38.61         13         50.0            4.9        1          486 📈 持有 → 繼續持有         
00877.TWO    復華中國5G         28.2          5        33.33          -5.38        8          509 📈 持有 → 繼續持有         
00878.TW     國泰永續高股息       22.27          5        70.83           5.81        4        -7533 📈 持有 → 繼續持有         
00881.TW     國泰台灣科技龍頭      36.79          6        69.23          11.73        3        -4448 📈 持有 → 繼續持有         
00882.TW     中信中國高股息       16.14          3        58.33            4.2        7         5460 📈 持有 → 繼續持有         
00885.TW     富邦越南          17.62          7        35.71          -2.31        6        -5514 📉 建議賣出              
00887.TWO    永豐中國科技50大     12.84          6        52.63           0.19        4         2837 📉 建議賣出              
00891.TW     中信關鍵半導體       24.13          6         64.0          13.34        3         9539 📈 持有 → 繼續持有         
00900.TW     富邦特選高股息30     14.25          6         65.0           2.66        4        -2453 📈 持有 → 繼續持有         
00902.TW     中信電池及儲能       14.39          5        56.52          10.68        4          323 📈 持有 → 繼續持有         
00904.TW     新光臺灣半導體30     28.52          5         68.0          16.02        2         -666 📈 持有 → 繼續持有         
00909.TW     國泰數位支付服務      38.99         18        28.57          -8.83        2         -703 📈 持有 → 繼續持有         
