
📅 投資日報表: 2026-07-29
=======================================================================================================================================
代號     | 名稱       | 開盤     | 最高     | 最低     | 最新     | 成交量         | 平均成本    | 股數     | 損益       | 報酬%
---------------------------------------------------------------------------------------------------------------------------------------
2317     | 鴻海         | 253.00   | 254.50   | 246.00   | 253.00   | 35,062,266   | 241.21      | 2000     | ▲23,580   |   +4.89%
4142     | 國光生        | 17.45    | 17.55    | 17.10    | 17.10    | 991,416      | 25.32       | 1000     | ▼8,220    |  -32.46%
0050     | 元大台灣50     | 101.30   | 101.60   | 100.05   | 101.45   | 100,975,462  | 46.60       | 16000    | ▲877,600  | +117.70%
0056     | 元大高股息      | 50.15    | 50.25    | 49.32    | 50.00    | 55,509,686   | 36.43       | 4000     | ▲54,280   |  +37.25%
00635U   | 期元大S&P黃金   | 42.73    | 42.77    | 42.54    | 42.59    | 1,540,090    | 55.25       | 3000     | ▼37,980   |  -22.91%
00738U   | 期元大道瓊白銀    | 47.96    | 48.07    | 47.60    | 47.70    | 2,440,130    | 66.26       | 1000     | ▼18,560   |  -28.01%
00929    | 復華台灣科技優息   | 28.74    | 28.74    | 28.01    | 28.54    | 32,367,250   | 19.73       | 8000     | ▲70,480   |  +44.65%
009816   | 凱基台灣TOP50  | 14.67    | 14.69    | 14.44    | 14.68    | 105,209,492  | 11.01       | 63000    | ▲231,210  |  +33.33%
00990A   | 主動元大AI新經濟  | 16.25    | 16.25    | 15.88    | 16.10    | 16,271,538   | 11.48       | 5000     | ▲23,100   |  +40.24%
2009     | 第一銅        | 37.45    | 37.85    | 37.15    | 37.30    | 507,000      | 50.56       | 4000     | ▼53,040   |  -26.23%
2337     | 旺宏         | 123.50   | 125.50   | 118.00   | 125.50   | 37,028,235   | 95.28       | 2000     | ▲60,440   |  +31.72%
2409     | 友達         | 25.55    | 25.60    | 23.35    | 23.90    | 151,445,924  | 16.21       | 2000     | ▲15,380   |  +47.44%
3481     | 群創         | 49.70    | 50.20    | 45.60    | 47.35    | 348,982,227  | 25.10       | 4000     | ▲89,000   |  +88.65%
3105     | 穩懋         | 313.50   | 368.00   | 307.50   | 355.00   | 37,181,724   | 556.47      | 300      | ▼60,441   |  -36.21%
4966     | 譜瑞-KY      | 613.00   | 619.00   | 593.00   | 615.00   | 682,153      | 1921.64     | 1000     | ▼1,306,640 |  -68.00%
2327     | 國巨*        | 650.00   | 655.00   | 590.00   | 625.00   | 55,223,376   | 1030.00     | 1        | ▼405      |  -39.32%
00403A   | 主動統一升級50   | 9.63     | 9.64     | 9.40     | 9.62     | 209,852,784  | 10.68       | 26000    | ▼27,560   |   -9.93%
00981A   | 主動統一台股增長   | 27.49    | 27.62    | 26.75    | 27.53    | 160,186,878  | 27.48       | 2000     | ▲100      |   +0.18%
2330     | 台積電        | 2330.00  | 2365.00  | 2330.00  | 2350.00  | 24,040,916   | 225.55      | 10       | ▲21,244   | +941.90%
6789     | 采鈺         | 465.50   | 474.00   | 452.00   | 461.50   | 1,039,350    | 593.50      | 400      | ▼52,800   |  -22.24%
6849     | 奇鼎科技       | 141.50   | 144.50   | 137.50   | 143.50   | 136,977      | 266.40      | 280      | ▼34,412   |  -46.13%
7853     | 政美應用       | 320.00   | 322.00   | 297.00   | 300.50   | 982,892      | 409.29      | 280      | ▼30,461   |  -26.58%
3576     | 聯合再生       | 18.00    | 18.15    | 17.60    | 17.85    | 7,522,508    | 18.15       | 5000     | ▼1,500    |   -1.65%
1721     | 三晃         | 20.35    | 21.35    | 20.35    | 21.05    | 546,000      | 27.88       | 3000     | ▼20,500   |  -24.51%
8215     | 明基材        | 24.35    | 24.35    | 23.45    | 23.80    | 670,034      | 31.60       | 200      | ▼1,560    |  -24.68%
00405A   | 主動富邦台灣龍耀   | 7.88     | 7.93     | 7.64     | 7.93     | 57,435,979   | 9.34        | 11000    | ▼15,510   |  -15.10%
5498     | 凱崴         | 46.40    | 47.90    | 45.40    | 47.25    | 1,760,107    | 69.61       | 188      | ▼4,204    |  -32.12%
1301     | 台塑         | 62.30    | 62.50    | 59.80    | 61.70    | 37,903,050   | 50.50       | 100      | ▲1,120    |  +22.18%
6498     | 久禾光        | 79.00    | 80.40    | 78.10    | 78.20    | 192,100      | 67.30       | 12       | ▲131      |  +16.20%
009821   | 野村稀土關鍵資源   | 12.97    | 13.01    | 12.89    | 12.94    | 2,715,753    | 17.30       | 12000    | ▼52,320   |  -25.20%
---------------------------------------------------------------------------------------------------------------------------------------
💰 庫存總投入:       6,426,664    📊 未實現損益:        -258,448 (  -4.02%)
