日期,代號,名稱,最新價格,成本,股數,損益,報酬率
2026-07-29,2317,鴻海,253.0,241.21,2000,23580,4.89%
2026-07-29,4142,國光生,17.1,25.32,1000,-8220,-32.46%
2026-07-29,0050,元大台灣50,101.45,46.6,16000,877600,117.70%
2026-07-29,0056,元大高股息,50.0,36.43,4000,54280,37.25%
2026-07-29,00635U,期元大S&P黃金,42.59,55.25,3000,-37980,-22.91%
2026-07-29,00738U,期元大道瓊白銀,47.7,66.26,1000,-18560,-28.01%
2026-07-29,00929,復華台灣科技優息,28.54,19.73,8000,70480,44.65%
2026-07-29,009816,凱基台灣TOP50,14.68,11.01,63000,231210,33.33%
2026-07-29,00990A,主動元大AI新經濟,16.1,11.48,5000,23100,40.24%
2026-07-29,2009,第一銅,37.3,50.56,4000,-53040,-26.23%
2026-07-29,2337,旺宏,125.5,95.28,2000,60440,31.72%
2026-07-29,2409,友達,23.9,16.21,2000,15380,47.44%
2026-07-29,3481,群創,47.35,25.1,4000,89000,88.65%
2026-07-29,3105,穩懋,355.0,556.47,300,-60441,-36.21%
2026-07-29,4966,譜瑞-KY,615.0,1921.64,1000,-1306640,-68.00%
2026-07-29,2327,國巨*,625.0,1030.0,1,-405,-39.32%
2026-07-29,00403A,主動統一升級50,9.62,10.68,26000,-27560,-9.93%
2026-07-29,00981A,主動統一台股增長,27.53,27.48,2000,100,0.18%
2026-07-29,2330,台積電,2350.0,225.55,10,21244,941.90%
2026-07-29,6789,采鈺,461.5,593.5,400,-52800,-22.24%
2026-07-29,6849,奇鼎科技,143.5,266.4,280,-34412,-46.13%
2026-07-29,7853,政美應用,300.5,409.29,280,-30461,-26.58%
2026-07-29,3576,聯合再生,17.85,18.15,5000,-1500,-1.65%
2026-07-29,1721,三晃,21.05,27.88,3000,-20500,-24.51%
2026-07-29,8215,明基材,23.8,31.6,200,-1560,-24.68%
2026-07-29,00405A,主動富邦台灣龍耀,7.93,9.34,11000,-15510,-15.10%
2026-07-29,5498,凱崴,47.25,69.61,188,-4204,-32.12%
2026-07-29,1301,台塑,61.7,50.5,100,1120,22.18%
2026-07-29,6498,久禾光,78.2,67.3,12,131,16.20%
2026-07-29,009821,野村稀土關鍵資源,12.94,17.3,12000,-52320,-25.20%
