股票代碼,股票名稱,今日狀態,今日收盤,今日RSI,戰術標籤,隔天勝率,五日勝率,五日平均收益,平均洗盤深度,歷史次數,建議買進價,raw_wr5,raw_pnl
6261.TWO,久元,🔥 訊號出現,95.0,71.24,⚪ 一般監控,10.00%,60.00%,1.68%,-3.59%,10,91.59,0.6,0.0168
3702.TW,大聯大,無,99.5,65.45,🟢 黃金標的,66.67%,100.00%,3.64%,-2.60%,6,0.0,1.0,0.0364
7792.TWO,安葆,無,347.0,50.0,🟢 黃金標的,33.33%,88.89%,8.70%,-5.89%,9,0.0,0.8889,0.087
3105.TWO,穩懋,無,499.5,58.46,🟢 黃金標的,57.14%,85.71%,5.35%,-6.96%,7,0.0,0.8571,0.0535
2367.TW,燿華,無,59.7000007629,29.38,🟢 黃金標的,33.33%,66.67%,4.93%,-4.33%,6,0.0,0.6667,0.0493
00981A.TW,主動統一台股增長,無,27.8099994659,92.18,🟢 黃金標的,66.67%,66.67%,9.07%,-0.90%,3,0.0,0.6667,0.0907
2337.TW,旺宏,無,159.5,54.22,🟢 黃金標的,80.00%,60.00%,9.66%,-2.16%,5,0.0,0.6,0.0966
3714.TW,富采,無,71.3000030518,67.2,🟢 黃金標的,22.22%,55.56%,4.90%,-6.62%,9,0.0,0.5556,0.049
4966.TWO,譜瑞-KY,無,588.0,67.08,🟡 妖股/高波動,20.00%,40.00%,3.39%,-2.89%,5,0.0,0.4,0.0339
3481.TW,群創,無,24.3500003815,39.66,⚪ 一般監控,75.00%,75.00%,1.89%,-5.96%,4,0.0,0.75,0.0189
6136.TW,富爾特,無,25.5499992371,58.67,⚪ 一般監控,66.67%,66.67%,2.47%,-2.86%,3,0.0,0.6667,0.0247
8104.TW,錸寶,無,33.75,55.49,⚪ 一般監控,40.00%,60.00%,1.27%,-7.73%,5,0.0,0.6,0.0127
0056.TW,元大高股息,無,41.1100006104,70.59,⚪ 一般監控,66.67%,50.00%,0.48%,-0.78%,6,0.0,0.5,0.0048
1721.TW,三晃,無,26.1000003815,69.48,⚪ 一般監控,62.50%,37.50%,2.54%,-6.22%,8,0.0,0.375,0.0254
2327.TW,國巨*,無,326.5,71.48,⚪ 一般監控,33.33%,33.33%,2.63%,-2.70%,3,0.0,0.3333,0.0263
009816.TW,凱基台灣TOP50,無,13.1499996185,92.86,⚪ 一般監控,0.00%,0.00%,0.00%,0.00%,0,0.0,0.0,0.0
2009.TW,第一銅,無,38.25,35.22,⚪ 一般監控,0.00%,0.00%,0.00%,0.00%,0,0.0,0.0,0.0
6806.TW,森崴能源,無,21.6499996185,38.8,⚪ 一般監控,0.00%,0.00%,0.00%,0.00%,0,0.0,0.0,0.0
4142.TW,國光生,無,18.0,45.65,🔴 空頭陷阱,0.00%,50.00%,-1.73%,-2.95%,2,0.0,0.5,-0.0173
0050.TW,元大台灣50,無,92.0,87.87,🔴 空頭陷阱,50.00%,50.00%,-0.97%,-1.98%,4,0.0,0.5,-0.0097
1802.TW,台玻,無,70.5999984741,63.88,🔴 空頭陷阱,42.86%,42.86%,-0.66%,-5.70%,7,0.0,0.4286,-0.0066
2352.TW,佳世達,無,24.2000007629,53.92,🔴 空頭陷阱,33.33%,33.33%,-3.16%,-3.05%,3,0.0,0.3333,-0.0316
2409.TW,友達,無,17.2000007629,50.84,🔴 空頭陷阱,66.67%,33.33%,-0.04%,-4.96%,6,0.0,0.3333,-0.0004
2485.TW,兆赫,無,62.2999992371,37.23,🔴 空頭陷阱,50.00%,16.67%,-4.96%,-9.08%,6,0.0,0.1667,-0.0496
2317.TW,鴻海,無,225.5,77.91,🔴 空頭陷阱,25.00%,0.00%,-5.40%,-4.56%,4,0.0,0.0,-0.054
6188.TWO,廣明,無,81.3000030518,28.11,🔴 空頭陷阱,50.00%,0.00%,-5.11%,-4.47%,2,0.0,0.0,-0.0511
