price,prev_eps,prev_rev_yoy,rev_yoy,om,prev_year,symbol,gm,eps_yoy,name,est_price,expansion,eps,status,prev_eps_yoy,date,advice,pe
20.2999992371,1.44,10.42,14.95,-0.28%,2025,2331.TW,9.91%,981.25,精英,72.0,966.3,1.41,🚀 利潤擴張,1700.0,2025-12,💎 強力關注,4.2291665077291665
39.0999984741,3.52,-4.5,-6.28,-106.23%,2025,4123.TWO,41.95%,905.92,晟德,245.39999999999998,912.1999999999999,12.33,🧐 疑業外收益,810.64,2025-12,💎 強力關注,2.389975456852078
52.7999992371,0.28,38.48,55.8,N/A,2025,8088.TWO,N/A,962.5,品安,29.4,906.7,1.7,🚀 利潤擴張,133.73,2025-12,⚠️ 追價風險,26.93877512096939
77.0999984741,1.52,23.93,17.09,N/A,2025,6166.TW,N/A,921.74,凌華,66.15,904.65,2.35,🚀 利潤擴張,357.63,2025-12,⚪ 中性觀察,17.48299285126984
22.1000003815,0.97,34.59,32.89,7.13%,2025,1529.TW,16.87%,876.92,樂事綠能,43.349999999999994,844.03,1.01,🚀 利潤擴張,977.78,2025-12,💎 強力關注,7.647058955536333
48.7000007629,1.29,-8.99,-6.92,N/A,2025,8110.TW,N/A,830.77,華東,53.1,837.6899999999999,2.48,🧐 疑業外收益,270.59,2025-12,✅ 穩健價值,13.757062362401129
932.0,1.15,18.82,24.44,N/A,2025,8046.TW,N/A,840.63,南電,67.65,816.1899999999999,3.01,🚀 利潤擴張,2775.0,2025-12,⚠️ 追價風險,206.65188470066516
40.0,-0.05,11.35,12.57,N/A,2025,6182.TWO,N/A,800.0,合晶,0.0,787.43,0.09,🔄 轉虧為盈,-350.0,2025-12,⚪ 數據不足,0.0
19.1499996185,-2.22,1.98,-0.57,-167.95%,2025,2102.TW,20.10%,721.43,泰豐,22.650000000000006,722.0,6.28,🔄 轉虧為盈,-258.33,2025-12,✅ 穩健價值,12.682118952649004
0.0,0.02,-4.36,-5.37,4.40%,2025,4414.TW,19.96%,700.0,如興,0.0,705.37,0.68,🧐 疑業外收益,107.14,2025-12,⚪ 數據不足,0.0
30.6499996185,0.12,7.39,10.91,5.00%,2025,3236.TWO,26.03%,700.0,千如,3.75,689.09,0.32,🚀 利潤擴張,250.0,2025-12,⚠️ 追價風險,122.599998474
10.25,0.37,-4.42,-3.39,-5.65%,2025,2323.TW,23.42%,685.19,中環,7.200000000000003,688.58,1.58,🧐 疑業外收益,-2.63,2025-12,⚪ 中性觀察,21.354166666666657
19.0,-0.26,140.24,114.77,6.14%,2025,4413.TWO,24.00%,783.33,飛寶企業,-9.45,668.5600000000001,0.53,🔄 轉虧為盈,-966.67,2025-12,⚪ 數據不足,0.0
