代號,名稱,前日均價,報買價,報買量,報賣價,報賣量,日最高,日最低,日均價,成交,成交量,進度日期,上市櫃進度(註)
1260,富味鄉,23.57,23.55,3000,24.65,3000,24.70,23.55,24.06,24.10,24500,-,
1269,乾杯,75.52,70.6,3000,74.2,3000,78.30,71.10,73.33,72.00,14004,-,
1271,晨暉生技,61.95,60.7,2940,61.2,3000,62.50,60.40,61.15,60.70,85417,-,
1293,利統,26.60,24.15,3000,25.3,6699,26.10,23.25,24.69,25.30,50624,-,
1343,旭東環保,24.07,22.45,2000,22.55,4000,23.65,22.45,22.74,22.55,58476,-,
1480,東盟開發,9.01,9.01,5000,9.15,5000,-,-,-,-,-,-,
1594,日高,7.86,7.8,4500,8.16,4629,8.16,7.75,7.81,8.16,68972,-,
2071,震南鐵,24.54,24.15,3000,25.0,8000,25.20,23.50,24.87,24.10,332595,-,
2237,華德動能,39.91,39.25,3000,39.9,3000,40.20,39.10,39.61,39.50,97290,115/03/09,證交所同意創新板上市契約
2245,詠勝昌*,27.65,26.45,5500,27.65,5997,27.65,26.45,26.46,27.65,503,-,
2249,湧盛,111.45,109.5,2000,110.5,1989,112.00,109.50,110.51,110.50,27579,115/05/08,送件申請上櫃
2252,為昇科,17.63,17.3,5000,17.9,10000,17.85,17.30,17.41,17.85,37360,-,
2255,凱銳光電,18.08,17.8,5000,18.5,9000,18.60,18.00,18.16,18.50,32043,-,
2256,歐特明,68.77,65.6,3000,68.8,3000,70.10,66.40,68.20,69.00,130906,-,
2644,中信造船,82.44,81.5,3000,82.6,3000,83.90,81.20,82.72,82.70,33452,-,
2733,維格餅家,10.38,10.25,5000,10.65,4999,10.65,10.10,10.25,10.65,21204,-,
2741,老四川,20.64,20.6,3000,20.9,3000,21.00,20.60,20.73,20.90,25502,-,
2758,路易莎咖啡,71.14,68.5,3000,71.8,3000,71.90,68.50,71.72,71.80,3164,-,
2760,巨宇翔,16.01,12.95,10000,13.6,8422,15.95,13.30,14.67,13.60,36731,-,
2761,橘焱胡同,15.45,15.0,5000,15.6,5000,15.55,15.45,15.50,15.45,1900,-,
2938,床的世界,26.17,25.05,3000,26.25,2923,26.25,26.25,26.25,26.25,77,115/06/22,上櫃審議會通過
2940,歐都納,24.60,24.0,3000,24.6,3000,24.10,24.00,24.08,24.10,4000,-,
2942,京站,37.50,37.75,3000,38.95,3000,38.00,37.60,37.80,37.95,10692,-,
3097,拍檔,26.48,25.65,6000,27.0,5917,27.00,25.55,25.95,27.00,13225,-,
3117,年程,26.67,26.8,3000,27.5,3000,27.50,26.00,26.91,27.20,195067,-,
3184,微邦,16.47,16.1,1151,16.5,4979,17.10,16.00,16.49,16.10,394829,-,
3473,智通聯網,89.30,89.3,3000,90.8,2999,91.90,90.00,90.30,90.80,16004,-,
3585,聯致,74.84,71.7,6000,73.3,4997,78.80,71.10,73.85,73.30,1174289,-,
3595,山太士,2311.81,2310.0,1963,2335.0,1838,2345.00,2255.00,2294.12,2335.00,119800,115/06/17,送件申請上櫃
3603,建祥國際,7.69,7.28,5000,7.63,5000,8.00,7.60,7.60,7.60,11010,-,
3633,云光,121.93,120.5,1450,122.5,2000,125.00,120.50,121.08,122.50,2719,-,
3644,凌嘉科,353.10,348.0,2000,351.5,2000,358.50,344.50,350.20,349.00,205221,-,
3659,百辰,21.32,21.1,3000,21.95,3000,22.05,21.10,21.57,22.05,2001,-,
3678,聯享,51.43,49.85,6000,50.7,3000,52.20,49.15,50.50,50.90,39357,-,
