prev_year,symbol,expansion,name,status,prev_eps_yoy,price,pe,rev_yoy,prev_eps,gm,date,eps,prev_rev_yoy,est_price,om,eps_yoy,advice
2025,3071.TWO,306.68,協禧,🚀 利潤擴張,-29.63,24.2999992371,14.046242333583814,343.32,0.57,30.11%,2026-03,0.15,-5.82,25.95,7.94%,650.0,✅ 穩健價值
2025,8299.TWO,293.43999999999994,群聯,🚀 利潤擴張,3.78,2155.0,15.4126734372765,849.86,41.98,N/A,2026-03,68.8,23.29,2097.2999999999997,N/A,1143.3,✅ 穩健價值
2025,6615.TWO,276.36999999999995,慧智,🔄 轉虧為盈,-150.59,34.4000015259,0.0,270.3,-0.43,N/A,2026-03,0.67,-14.91,-2.2499999999999996,N/A,546.67,⚪ 數據不足
2025,6282.TW,268.97,康舒,🚀 利潤擴張,550.0,45.1500015259,0.0,371.03,0.18,N/A,2026-03,0.27,0.1,-9.150000000000002,N/A,640.0,⚪ 數據不足
2025,8489.TWO,258.58,三貝德,🔄 轉虧為盈,55.83,22.5,0.0,186.87,-0.76,N/A,2026-03,0.38,5.03,-20.1,N/A,445.45,⚪ 數據不足
2025,4916.TW,228.27999999999997,事欣科,🚀 利潤擴張,8050.0,103.5,12.905236907730673,473.51,1.77,18.73%,2026-03,4.49,0.89,120.3,8.07%,701.79,✅ 穩健價值
2025,4432.TWO,226.35000000000002,銘旺實,🚀 利潤擴張,-66.67,15.6999998093,5.340135989557823,292.4,0.88,N/A,2026-03,2.97,-3.15,44.1,N/A,518.75,💎 強力關注
2025,4702.TWO,217.69,中美實,🚀 利潤擴張,51.72,9.5900001526,9.78571444142857,132.31,0.88,35.38%,2026-03,0.45,-61.59,14.700000000000001,-88.29%,350.0,💎 強力關注
2025,8478.TW,215.22999999999996,東哥遊艇,🚀 利潤擴張,33.97,144.5,4.390762686113643,297.67,13.25,N/A,2026-03,3.8,5.83,493.65000000000003,N/A,512.9,💎 強力關注
2025,1609.TW,211.49,大亞,🚀 利潤擴張,-21.15,37.75,7.387475538160469,713.51,1.65,13.61%,2026-03,0.66,3.39,76.65,8.70%,925.0,💎 強力關注
2025,3717.TW,186.79000000000002,聯嘉投控,🚀 利潤擴張,-80.0,23.0,0.0,26.54,0.08,19.34%,2026-03,0.47,3.55,0.0,7.12%,213.33,⚪ 數據不足
2025,8084.TWO,185.94,巨虹,🔄 轉虧為盈,-280.2,46.75,0.0,80.73,-1.82,N/A,2026-03,0.33,-10.9,-43.199999999999996,N/A,266.67,⚪ 數據不足
2025,3290.TWO,185.43999999999994,東浦,🚀 利潤擴張,25.64,49.0499992371,7.822966385502394,542.69,2.02,30.40%,2026-03,2.65,18.23,94.05,14.85%,728.13,💎 強力關注
2025,5460.TWO,164.05,同協,🔄 轉虧為盈,-177.27,16.1000003815,0.0,385.95,-0.17,N/A,2026-03,0.09,-15.68,-7.95,N/A,550.0,⚪ 數據不足
2025,4582.TWO,160.65000000000003,未知,🚀 利潤擴張,1640.0,0.0,0.0,116.02,1.54,N/A,2026-03,0.53,32.98,0.0,N/A,276.67,⚪ 數據不足
2025,4582.TW,160.65000000000003,聚恆-創,🚀 利潤擴張,1640.0,23.5,0.0,116.02,1.54,N/A,2026-03,0.53,32.98,0.0,N/A,276.67,⚪ 數據不足
2025,2426.TW,157.99,鼎元,🔄 轉虧為盈,-219.05,96.5999984741,0.0,542.01,-0.25,10.78%,2026-03,0.06,-2.43,-6.6,-2.91%,700.0,⚪ 數據不足
2025,2417.TW,156.05,圓剛,🔄 轉虧為盈,54.55,44.7999992371,0.0,108.24,-0.19,56.31%,2026-03,0.28,2.69,-25.049999999999997,8.42%,264.29,⚪ 數據不足
