date,eps_yoy,gm,rev_yoy,advice,expansion,eps,prev_eps,prev_eps_yoy,prev_rev_yoy,om,name,prev_year,pe,symbol,status,price,est_price
2025-12,830.77,N/A,-6.92,✅ 穩健價值,837.6899999999999,2.48,1.29,270.59,-8.99,N/A,華東,2025,13.71468905002825,8110.TW,🧐 疑業外收益,48.5499992371,53.1
2025-12,840.63,N/A,24.44,⚠️ 追價風險,816.1899999999999,3.01,1.15,2775.0,18.82,N/A,南電,2025,189.35698447893566,8046.TW,🚀 利潤擴張,854.0,67.65
2025-12,800.0,N/A,12.57,⚪ 數據不足,787.43,0.09,-0.05,-350.0,11.35,N/A,合晶,2025,0.0,6182.TWO,🔄 轉虧為盈,56.9000015259,0.0
2025-12,721.43,20.10%,-0.57,✅ 穩健價值,722.0,6.28,-2.22,-258.33,1.98,-167.95%,泰豐,2025,12.450330620596022,2102.TW,🔄 轉虧為盈,18.7999992371,22.650000000000006
2025-12,700.0,19.96%,-5.37,⚪ 數據不足,705.37,0.68,0.02,107.14,-4.36,4.40%,如興,2025,0.0,4414.TW,🧐 疑業外收益,0.0,0.0
2025-12,700.0,26.03%,10.91,⚠️ 追價風險,689.09,0.32,0.12,250.0,7.39,5.00%,千如,2025,136.0,3236.TWO,🚀 利潤擴張,34.0,3.75
2025-12,685.19,23.42%,-3.39,⚪ 中性觀察,688.58,1.58,0.37,-2.63,-4.42,-5.65%,中環,2025,21.979167063958325,2323.TW,🧐 疑業外收益,10.5500001907,7.200000000000003
2025-12,783.33,24.00%,114.77,⚪ 數據不足,668.5600000000001,0.53,-0.26,-966.67,140.24,6.14%,飛寶企業,2025,0.0,4413.TWO,🔄 轉虧為盈,18.6000003815,-9.45
2025-12,660.0,27.32%,3.99,⚪ 中性觀察,656.01,0.38,0.28,460.0,22.5,0.43%,欣厚-KY,2025,21.354166666666664,4924.TWO,🚀 利潤擴張,10.25,7.2
2025-12,620.0,17.03%,16.76,✅ 穩健價值,603.24,0.36,0.48,422.22,14.66,-11.28%,歐格,2025,15.614034418508773,3002.TW,🚀 利潤擴張,17.7999992371,17.099999999999998
2025-12,576.92,41.86%,9.55,⚠️ 追價風險,567.37,0.88,0.12,-57.14,-0.22,15.37%,華邦電,2025,465.21739130434787,2344.TW,🚀 利潤擴張,107.0,3.4499999999999997
2025-12,590.0,62.07%,26.61,⚠️ 追價風險,563.39,1.96,0.66,288.57,24.16,-188.65%,立萬利,2025,27.07692366380769,3054.TW,🏰 高護城河,70.4000015259,39.0
2025-12,544.54,N/A,-17.0,⚪ 數據不足,561.54,5.29,5.5,1270.21,-19.03,N/A,琉園,2025,0.0,9949.TWO,🧐 疑業外收益,0.0,0.0
2025-12,550.0,N/A,0.1,⚪ 數據不足,549.9,0.18,-0.38,-90.0,-4.33,N/A,康舒,2025,0.0,6282.TW,🔄 轉虧為盈,50.4000015259,-13.950000000000003
2025-12,457.5,43.42%,-10.43,⚠️ 追價風險,467.93,1.43,0.49,179.03,-12.66,-66.51%,吉祥全,2025,124.11764930294106,2491.TW,🧐 疑業外收益,21.1000003815,2.5500000000000025
2025-12,461.54,30.70%,20.59,⚠️ 追價風險,440.95000000000005,0.47,0.54,2600.0,18.74,-18.51%,杭特,2025,26.280991105041323,3297.TWO,🚀 利潤擴張,31.7999992371,18.15
2025-12,752.94,18.45%,334.57,⚪ 數據不足,418.37000000000006,1.28,-0.58,7.84,310.97,4.44%,博士旺,2025,0.0,3555.TWO,🔄 轉虧為盈,224.5,-9.599999999999998
2025-12,408.33,22.27%,-9.02,⚠️ 追價風險,417.34999999999997,1.22,-0.11,38.89,-10.45,15.14%,宏旭-KY,2025,27.045453678522733,2243.TW,🔄 轉虧為盈,23.7999992371,13.199999999999998
2025-12,474.47,42.12%,95.35,⚠️ 追價風險,379.12,8.13,5.45,790.16,119.15,18.24%,大量,2025,38.84156729131175,3167.TW,🚀 利潤擴張,684.0,264.15000000000003
2025-12,364.71,2.52%,-9.55,💎 強力關注,374.26,0.45,0.43,326.32,-6.34,0.23%,宏洲,2025,8.772726925909092,1413.TW,🧐 疑業外收益,9.6499996185,16.499999999999996
2025-12,377.27,23.49%,5.46,⚠️ 追價風險,371.81,1.22,0.62,187.32,6.23,7.74%,雙鍵,2025,131.2741312741313,4764.TW,🚀 利潤擴張,340.0,38.849999999999994
2025-12,382.35,N/A,12.01,💎 強力關注,370.34000000000003,1.69,1.26,916.67,13.03,N/A,同亨,2025,6.162280785416666,5490.TWO,🚀 利潤擴張,28.1000003815,68.4
2025-12,358.33,N/A,-6.42,💎 強力關注,364.75,0.55,0.02,103.23,-10.3,N/A,新天地,2025,6.535714013250001,8940.TW,🧐 疑業外收益,18.2999992371,42.0
2025-12,406.67,69.49%,49.68,⚪ 中性觀察,356.99,1.52,1.65,179.66,43.11,-15.39%,倚強科,2025,17.2613057658794,3219.TWO,🏰 高護城河,68.6999969482,59.699999999999996
2025-12,327.5,10.73%,0.41,💎 強力關注,327.09,0.9,0.52,185.25,-0.15,-2.70%,友達,2025,7.02755920531496,2409.TW,🚀 利潤擴張,17.8500003815,38.1
2025-12,346.24,15.60%,29.26,💎 強力關注,316.98,7.73,7.71,114.76,30.37,0.97%,冠星-KY,2025,4.613233923578751,4439.TW,🚀 利潤擴張,99.0,321.90000000000003
2025-12,275.0,8.40%,-14.09,⚪ 數據不足,289.09,0.15,-0.11,-222.22,-14.04,-12.67%,映泰,2025,0.0,2399.TW,🔄 轉虧為盈,42.2999992371,-2.7000000000000006
2025-12,275.85,34.44%,-5.85,💎 強力關注,281.70000000000005,7.21,7.88,352.24,-0.73,-79.17%,宏達電,2025,1.643006199336117,2498.TW,🧐 疑業外收益,39.3499984741,359.25
2025-12,271.37,N/A,-9.71,💎 強力關注,281.08,4.01,4.81,-18.34,-8.55,N/A,美利達,2025,4.3044822846136,9914.TW,🧐 疑業外收益,55.7000007629,194.10000000000002
