Stock_ID,Stock_Name,Date,Type,Price_Entry,Stop_Loss,Take_Profit,Status,Action,Vol_Spike,RSI,Validation_Date,Priority,Is_New
00980D.TWO,主動聯博投等入息,2026-04-27,看跌 FVG,20.4,20.52,19.38,❌ 已失效,實體過中線,1,45.31,-,1,False
1271.TWO,晨暉生技,2026-04-30,看漲 FVG,63.6,60.89,66.78,❌ 已失效,實體破中線,1,58.44,-,1,False
3576.TW,聯合再生,2026-05-07,看漲 FVG,16.8,16.52,17.64,⏳ 待回測,💎鑽石結構,0,41.29,-,1,False
5243.TW,乙盛-KY,2026-04-27,看跌 FVG,107.0,114.57,101.65,💰 已達標,獲利點,0,60.09,2026-04-29,1,False
6208.TWO,日揚,2026-05-06,看跌 FVG,77.5,81.2,73.62,💰 已達標,獲利點,1,57.21,-,1,False
6230.TW,尼得科超眾,2026-04-15,看漲 FVG,154.5,152.73,162.22,💰 已達標,獲利點,0,60.0,-,1,False
6650.TWO,帝圖,2026-05-07,看跌 FVG,32.0,34.37,30.4,⏳ 待回測,💎鑽石結構,1,58.79,-,1,False
6864.TWO,元樟生技,2026-04-22,看漲 FVG,59.8,57.71,62.79,❌ 已失效,實體破中線,0,44.53,2026-05-04,1,False
6912.TWO,益鈞環科*,2026-03-03,看漲 FVG,19.0,18.81,19.95,💰 已達標,獲利點,1,71.43,-,1,False
7427.TWO,華上生醫,2026-05-07,看跌 FVG,39.9,41.05,37.9,⏳ 待回測,💎鑽石結構,0,67.44,-,1,False
8444.TWO,綠河-KY,2026-04-30,看漲 FVG,6.0,5.66,6.3,💰 已達標,獲利點,1,49.24,2026-05-05,1,False
0050.TW,元大台灣50,2026-05-06,看漲 FVG,97.4,94.28,102.27,✅ 已站穩,🟢 買進,0,81.69,2026-05-08,2,True
0052.TW,富邦科技,2026-05-06,看漲 FVG,57.15,55.27,60.01,✅ 已站穩,🟢 買進,0,77.81,2026-05-08,2,True
0056.TW,元大高股息,2026-05-07,看漲 FVG,44.29,43.68,46.5,⏳ 待回測,⚡結構突破,0,76.75,-,2,False
006203.TW,元大MSCI台灣,2026-05-07,看漲 FVG,176.35,174.97,185.17,⏳ 待回測,⚡結構突破,0,82.54,-,2,False
006208.TW,富邦台50,2026-05-06,看漲 FVG,225.5,218.5,236.78,✅ 已站穩,🟢 買進,1,91.48,2026-05-08,2,True
00632R.TW,元大台灣50反1,2026-05-06,看跌 FVG,11.19,11.5,10.63,⚠️ 壓力確認,🔴 放空,0,19.83,2026-05-08,2,True
00633L.TW,富邦上証正2,2026-05-06,看漲 FVG,52.5,52.09,55.12,❌ 已失效,實體破中線,1,79.81,-,2,False
00634R.TW,富邦上証反1,2026-05-06,看跌 FVG,3.05,3.1,2.9,❌ 已失效,實體過中線,1,27.27,-,2,False
00638R.TW,元大滬深300反1,2026-05-06,看跌 FVG,6.52,6.64,6.19,❌ 已失效,實體過中線,1,22.22,-,2,False
00640L.TW,富邦日本正2,2026-05-06,看漲 FVG,95.65,89.05,100.43,✅ 已站穩,🟢 買進,1,50.26,2026-05-08,2,True
00641R.TW,富邦日本反1,2026-05-06,看跌 FVG,3.97,4.12,3.77,⚠️ 壓力確認,🔴 放空,1,47.62,2026-05-08,2,True
00646.TW,元大S&P500,2026-05-07,看漲 FVG,72.5,71.94,76.12,⏳ 待回測,⚡結構突破,1,85.87,-,2,False
00648R.TW,元大S&P500反1,2026-05-07,看跌 FVG,4.07,4.11,3.87,⏳ 待回測,⚡結構突破,1,26.19,-,2,False
00650L.TW,復華香港正2,2026-05-07,看漲 FVG,17.9,17.77,18.79,⏳ 待回測,⚡結構突破,0,52.94,-,2,False
00651R.TW,復華香港反1,2026-05-07,看跌 FVG,5.12,5.16,4.86,⏳ 待回測,⚡結構突破,0,44.83,-,2,False
00655L.TW,國泰中國A50正2,2026-05-06,看漲 FVG,36.57,36.32,38.4,❌ 已失效,實體破中線,1,78.36,-,2,False
00656R.TW,國泰中國A50反1,2026-05-06,看跌 FVG,5.76,5.85,5.47,❌ 已失效,實體過中線,0,23.68,-,2,False
00662.TW,富邦NASDAQ,2026-05-07,看漲 FVG,115.55,113.78,121.33,⏳ 待回測,⚡結構突破,0,90.05,-,2,False
00664R.TW,國泰臺灣加權反1,2026-05-06,看跌 FVG,1.81,1.86,1.72,⚠️ 壓力確認,🔴 放空,0,23.81,2026-05-08,2,True
00665L.TW,富邦�琤肭磪囓�2,2026-05-07,看漲 FVG,10.21,10.11,10.72,⏳ 待回測,⚡結構突破,0,51.25,-,2,False
00666R.TW,富邦�琤肭磪齯�1,2026-05-07,看跌 FVG,8.81,8.9,8.37,⏳ 待回測,⚡結構突破,0,46.71,-,2,False
00669R.TW,國泰美國道瓊反1,2026-05-07,看跌 FVG,5.54,5.58,5.26,⏳ 待回測,⚡結構突破,0,36.51,-,2,False
00671R.TW,富邦NASDAQ反1,2026-05-07,看跌 FVG,2.53,2.56,2.4,⏳ 待回測,⚡結構突破,1,15.62,-,2,False
00676R.TW,富邦臺灣加權反1,2026-05-06,看跌 FVG,6.17,6.33,5.86,⚠️ 壓力確認,🔴 放空,0,18.6,2026-05-08,2,True
00686R.TW,群益臺灣加權反1,2026-05-06,看跌 FVG,1.11,1.14,1.05,❌ 已失效,實體過中線,0,20.83,-,2,False
00700.TW,富邦�琤肭磪�,2026-05-07,看漲 FVG,17.7,17.55,18.59,⏳ 待回測,⚡結構突破,0,47.92,-,2,False
00703.TW,台新MSCI中國,2026-05-07,看漲 FVG,20.57,20.3,21.6,⏳ 待回測,⚡結構突破,1,44.4,-,2,False
00713.TW,元大台灣高息低波,2026-05-07,看漲 FVG,54.35,53.53,57.07,⏳ 待回測,⚡結構突破,0,59.21,-,2,False
00726B.TWO,國泰新興投等債,2026-04-23,看跌 FVG,33.06,33.57,31.41,⚠️ 壓力確認,🔴 放空,0,40.69,2026-04-27,2,False
00733.TW,富邦臺灣中小,2026-05-04,看漲 FVG,64.95,64.43,68.2,✅ 已站穩,🟢 買進,0,68.62,2026-05-06,2,False
00757.TW,統一FANG+,2026-05-07,看漲 FVG,124.6,123.58,130.83,⏳ 待回測,⚡結構突破,0,73.84,-,2,False
00770.TW,國泰北美科技,2026-05-07,看漲 FVG,62.15,61.74,65.26,⏳ 待回測,⚡結構突破,0,91.56,-,2,False
00851.TW,台新全球AI,2026-05-07,看漲 FVG,63.15,62.24,66.31,⏳ 待回測,⚡結構突破,1,71.72,-,2,False
00852L.TW,國泰美國道瓊正2,2026-05-07,看漲 FVG,31.35,31.04,32.92,⏳ 待回測,⚡結構突破,0,64.13,-,2,False
00875.TW,國泰網路資安,2026-05-06,看漲 FVG,42.04,41.38,44.14,⏳ 待回測,⚡結構突破,1,80.54,-,2,False
00877.TWO,復華中國5G,2026-05-07,看漲 FVG,36.57,36.04,38.4,⏳ 待回測,⚡結構突破,0,79.53,-,2,False
00882.TW,中信中國高股息,2026-05-07,看漲 FVG,15.91,15.76,16.71,⏳ 待回測,⚡結構突破,0,56.74,-,2,False
00885.TW,富邦越南,2026-05-07,看漲 FVG,19.29,18.95,20.25,⏳ 待回測,⚡結構突破,1,66.09,-,2,False
00886.TWO,永豐美國科技,2026-05-07,看漲 FVG,41.46,40.93,43.53,⏳ 待回測,⚡結構突破,0,92.1,-,2,False
00887.TWO,永豐中國科技50大,2026-05-06,看漲 FVG,15.36,14.84,16.13,✅ 已站穩,🟢 買進,1,88.89,2026-05-08,2,True
00888.TWO,永豐台灣ESG,2026-05-06,看漲 FVG,29.54,27.92,31.02,✅ 已站穩,🟢 買進,0,80.67,2026-05-08,2,True
00896.TW,中信綠能及電動車,2026-05-06,看漲 FVG,26.6,25.68,27.93,✅ 已站穩,🟢 買進,0,92.73,2026-05-08,2,True
00900.TW,富邦特選高股息30,2026-05-07,看漲 FVG,16.65,16.34,17.48,⏳ 待回測,⚡結構突破,0,86.47,-,2,False
00902.TW,中信電池及儲能,2026-05-06,看漲 FVG,17.44,17.12,18.31,❌ 已失效,實體破中線,0,83.38,-,2,False
00903.TW,富邦元宇宙,2026-05-07,看漲 FVG,20.0,19.68,21.0,⏳ 待回測,⚡結構突破,0,94.49,-,2,False
00905.TW,FT臺灣SMART,2026-05-06,看漲 FVG,24.74,24.12,25.98,✅ 已站穩,🟢 買進,1,89.54,2026-05-08,2,True
00908.TW,富邦入息REITs+,2026-05-07,看漲 FVG,14.28,14.12,14.99,⏳ 待回測,⚡結構突破,0,63.09,-,2,False
00912.TW,中信臺灣智慧50,2026-05-06,看漲 FVG,30.58,29.77,32.11,✅ 已站穩,🟢 買進,0,84.95,2026-05-08,2,True
00915.TW,凱基優選高股息30,2026-05-07,看漲 FVG,26.31,25.69,27.63,⏳ 待回測,⚡結構突破,0,74.13,-,2,False
