Stock_ID,Stock_Name,Date,Type,Price_Entry,Stop_Loss,Take_Profit,Status,Action,Vol_Spike,RSI,Validation_Date,Priority,Is_New
8044.TWO,網家,2026-04-30,看跌 FVG,22.75,22.91,21.61,❌ 已失效,實體過中線,0,53.66,-,2,False
2069.TW,運錩,2026-05-07,看漲 FVG,19.4,18.95,20.37,⏳ 待回測,監控中 🧹,0,57.69,-,3,False
2485.TW,兆赫,2026-05-05,看漲 FVG,64.7,64.18,67.94,💰 已達標,獲利點,1,37.69,-,3,False
3049.TW,精金,2026-05-04,看漲 FVG,13.05,12.79,13.7,❌ 已失效,實體破中線,0,58.82,-,3,False
3702.TW,大聯大,2026-05-07,看漲 FVG,105.5,103.98,110.78,⏳ 待回測,監控中,0,59.5,-,3,False
6849.TWO,奇鼎科技,2026-05-07,看跌 FVG,245.0,248.23,232.75,⏳ 待回測,監控中,0,62.58,-,3,False
2367.TW,燿華,2026-04-24,看跌 FVG,60.8,61.41,57.76,💰 已達標,獲利點,0,30.25,-,4,False
4956.TW,光鋐,2026-04-28,看漲 FVG,46.5,45.77,48.83,💰 已達標,獲利點,0,67.82,-,4,False
6407.TWO,相互,2026-05-07,看跌 FVG,37.65,40.35,35.77,⏳ 待回測,⚡結構突破 ⚠️過熱,0,45.76,-,4,False
7853.TWO,政美應用,2026-05-07,看跌 FVG,345.0,375.87,327.75,⏳ 待回測,監控中 ⚠️過熱,0,45.86,-,4,False
