====================================================================================================
📊 全市場量子掃描明日盲測大盤觀測總表 (20260730 盤後計算適用)
====================================================================================================
股號          | 名稱          | 收盤       | 今日訊號       |      累積收益 |    次數 |       勝率 | 今日最佳特徵數值理由
----------------------------------------------------------------------------------------------------
00400A.TW    | 主動國泰動能高息   | 11.83      | 🟢 持股           |      +11.17% |     15 |    53.45% | [P:0.62] RSI:29.07|MACD:-0.53|KD_Diff:-11.17|BIAS_20:-13.35
00401A.TW    | 主動摩根台灣鑫收   | 11.58      | 🟢 持股           |      +11.09% |      9 |    52.63% | [P:0.52] RSI:28.47|MACD:-0.36|KD_Diff:-10.84|BIAS_20:-10.59
00402A.TW    | 主動安聯美國科技   | 8.90       | 🟢 持股           |       +0.00% |      1 |    42.11% | [P:0.74] [⚠️降級預設] RSI:29.86|MACD:-0.17|KD_Diff:-10.58|D_Value:23.08
00403A.TW    | 主動統一升級50   | 8.47       | 🟢 持股           |       +6.59% |      3 |    51.11% | [P:0.74] [⚠️降級預設] RSI:25.19|MACD:-0.46|KD_Diff:-8.25|D_Value:24.03
00404A.TW    | 主動聯博動能50   | 8.50       | 🟢 持股           |       -0.10% |      3 |    47.37% | [P:0.71] [⚠️降級預設] RSI:26.91|MACD:-0.31|KD_Diff:-8.65|D_Value:30.74
00405A.TW    | 主動富邦台灣龍耀   | 6.68       | 🟢 持股           |       +0.00% |      1 |    26.32% | [P:0.74] [⚠️降級預設] RSI:25.87|MACD:-0.54|KD_Diff:-8.94|D_Value:25.73
00406A.TW    | 主動中信台灣收益   | 8.06       | 🟢 持股           |       +0.00% |      1 |    35.71% | [P:0.72] [⚠️降級預設] RSI:28.05|MACD:-0.39|KD_Diff:-9.46|D_Value:29.00
0050.TW      | 元大台灣50     | 93.50      | 🟢 持股           |      +34.74% |     35 |    48.74% | [P:0.58] Vol_Ratio:1.08|BIAS_20:-9.17|MA_Slope:-0.74|BB_Upper:19.52
0052.TW      | 富邦科技       | 54.30      | 💥 賣出           |      +32.87% |     19 |    50.98% | [P:0.48] MACD:-1.37|D_Value:29.73|Vol_Ratio:0.99|BB_Upper:21.08
0056.TW      | 元大高股息      | 46.29      | 💥 賣出           |      +19.16% |     27 |    51.31% | [P:0.50] KD_Diff:-9.06|Vol_Ratio:0.95|BB_Upper:18.64|MA_Bull:0.00
0061.TW      | 元大寶滬深      | 24.19      | 🚀 買進           |       +9.53% |     10 |    51.76% | [P:0.52] [⚠️降級預設] RSI:41.84|MACD:-0.14|KD_Diff:-10.07|D_Value:47.95
006201.TWO   | 元大富櫃50     | 34.95      | 🟢 持股           |      +66.83% |     43 |    50.12% | [P:0.53] Vol_Ratio:1.47|MA_Slope:-1.54|BB_Upper:46.66|MA_Bull:0.00
006203.TW    | 元大MSCI台灣   | 170.15     | ❄️ 空倉          |      +24.15% |     46 |    51.13% | [P:0.46] KD_Diff:-10.14|D_Value:29.54|Vol_Ratio:1.61|MA_Bull:0.00
006205.TW    | 富邦上証       | 40.73      | ❄️ 空倉          |       +2.87% |     12 |    51.96% | [P:0.49] [⚠️降級預設] RSI:47.54|MACD:-0.06|KD_Diff:-3.31|D_Value:56.31
006208.TW    | 富邦台50      | 214.40     | 🚀 買進           |      +34.16% |     18 |    50.15% | [P:0.52] MACD:-5.53|D_Value:29.86|Vol_Ratio:1.02|BIAS_20:-9.37
00631L.TW    | 元大台灣50正2   | 28.38      | 🟢 持股           |      +10.59% |     19 |    50.14% | [P:0.52] KD_Diff:-6.82|BIAS_20:-18.38|MA_Slope:-1.49|BB_Upper:44.38
00632R.TW    | 元大台灣50反1   | 11.49      | ❄️ 空倉          |       +4.64% |     10 |    57.06% | [P:0.39] MACD:0.21|D_Value:68.92|BIAS_20:9.68|MA_Slope:0.76
00633L.TW    | 富邦上証正2     | 47.60      | ❄️ 空倉          |       -0.75% |     24 |    49.33% | [P:0.48] MACD:-0.61|KD_Diff:-10.95|MA_Slope:-0.13|BB_Upper:9.55
00634R.TW    | 富邦上証反1     | 3.16       | ❄️ 空倉          |      -10.97% |     22 |    52.65% | [P:0.28] KD_Diff:10.23|D_Value:43.87|Vol_Ratio:2.30|MA_Slope:0.05
00635U.TW    | 期元大S&P黃金   | 42.03      | ❄️ 空倉          |      +31.60% |     28 |    51.73% | [P:0.44] MACD:-0.46|D_Value:46.45|Vol_Ratio:0.90|MA_Bull:0.00
00637L.TW    | 元大滬深300正2  | 19.81      | ❄️ 空倉          |       -0.72% |     20 |    49.94% | [P:0.44] MACD:-0.21|KD_Diff:-11.15|BIAS_20:-3.97|BB_Upper:9.61
00638R.TW    | 元大滬深300反1  | 6.80       | ❄️ 空倉          |       -3.54% |      8 |    53.06% | [P:0.40] RSI:55.30|MACD:0.03|KD_Diff:11.72|D_Value:39.90
00639.TW     | 富邦深100     | 16.36      | 🟢 持股           |      +12.79% |     13 |    50.00% | [P:0.64] [⚠️降級預設] RSI:34.14|MACD:-0.35|KD_Diff:-4.13|D_Value:27.30
00640L.TW    | 富邦日本正2     | 101.10     | ❄️ 空倉          |       +1.46% |     34 |    50.13% | [P:0.48] RSI:45.44|D_Value:55.93|Vol_Ratio:0.32|BIAS_20:-3.25
00641R.TW    | 富邦日本反1     | 3.83       | ❄️ 空倉          |       +2.21% |     32 |    56.20% | [P:0.48] RSI:53.03|KD_Diff:9.43|BIAS_20:1.18|MA_Slope:0.09
00642U.TW    | 期元大S&P石油   | 27.81      | 🟢 持股           |     +141.39% |     45 |    52.90% | [P:0.61] RSI:65.61|D_Value:59.74|Vol_Ratio:0.41|MA_Slope:1.09
00643.TW     | 群益深証中小     | 18.00      | 🟢 持股           |       +9.04% |      7 |    49.44% | [P:0.68] [⚠️降級預設] RSI:29.08|MACD:-0.43|KD_Diff:-4.58|D_Value:28.48
00646.TW     | 元大S&P500   | 74.80      | 🟢 持股           |      +13.04% |     37 |    49.82% | [P:0.56] KD_Diff:-10.99|D_Value:34.41|BIAS_20:-1.43|MA_Bull:0.00
00648R.TW    | 元大S&P500反1 | 4.13       | 🟢 持股           |       -0.69% |     13 |    57.86% | [P:0.57] MACD:0.02|D_Value:82.85|BIAS_20:2.23|MA_Slope:0.15
00650L.TW    | 復華香港正2     | 17.80      | ❄️ 空倉          |       +5.62% |     34 |    49.80% | [P:0.28] RSI:71.23|MACD:0.53|MA_Slope:1.13|MA_Bull:10.00
00651R.TW    | 復華香港反1     | 5.14       | 🟢 持股           |      +11.71% |     19 |    52.99% | [P:0.63] RSI:30.53|D_Value:16.46|BIAS_20:-4.67|MA_Slope:-0.53
00653L.TW    | 富邦印度正2     | 47.38      | 🚀 買進           |       +7.91% |     42 |    48.82% | [P:0.53] RSI:57.76|KD_Diff:16.51|Vol_Ratio:0.83|BB_Upper:2.07
00654R.TW    | 富邦印度反1     | 6.72       | ❄️ 空倉          |       +7.26% |     32 |    53.10% | [P:0.42] RSI:40.82|D_Value:59.86|BIAS_20:-0.52|MA_Slope:-0.03
00655L.TW    | 國泰中國A50正2  | 33.39      | 💥 賣出           |      +19.92% |     39 |    50.94% | [P:0.47] RSI:44.00|Vol_Ratio:0.93|MA_Slope:-0.07|MA_Bull:0.00
00656R.TW    | 國泰中國A50反1  | 5.99       | ❄️ 空倉          |       +3.33% |     12 |    53.93% | [P:0.40] RSI:52.68|D_Value:39.35|MA_Slope:0.03|BB_Upper:1.34
00657K.TW    | 國泰日經225+U  | 22.48      | 🟢 持股           |      +38.64% |     41 |    49.65% | [P:0.69] RSI:33.38|KD_Diff:-3.43|BIAS_20:-6.66|MA_Bull:0.00
00660.TW     | 元大歐洲50     | 45.61      | ❄️ 空倉          |      +22.03% |     36 |    52.76% | [P:0.43] RSI:48.28|MACD:0.13|D_Value:59.12|MA_Bull:0.00
00662.TW     | 富邦NASDAQ   | 113.90     | 🟢 持股           |      +16.31% |     39 |    50.39% | [P:0.69] RSI:28.40|KD_Diff:-7.63|MA_Slope:-0.35|MA_Bull:0.00
00663L.TW    | 國泰臺灣加權正2   | 80.20      | 🚀 買進           |      +63.37% |     32 |    49.38% | [P:0.54] RSI:25.43|D_Value:25.07|Vol_Ratio:1.37|MA_Slope:-1.59
00664R.TW    | 國泰臺灣加權反1   | 1.85       | ❄️ 空倉          |       +0.00% |      2 |    59.16% | [P:0.26] RSI:70.83|MACD:0.03|D_Value:70.18|Vol_Ratio:1.30
00665L.TW    | 富邦�琤肭磪囓�2  | 9.90       | ❄️ 空倉          |       +3.99% |     28 |    53.33% | [P:0.47] RSI:68.82|MACD:0.28|Vol_Ratio:1.06|MA_Slope:1.22
00666R.TW    | 富邦�琤肭磪齯�1  | 8.91       | ❄️ 空倉          |       +9.14% |     18 |    53.58% | [P:0.33] RSI:31.12|D_Value:17.67|MA_Slope:-0.64|BB_Upper:12.45
00669R.TW    | 國泰美國道瓊反1   | 5.41       | ❄️ 空倉          |       -6.32% |     16 |    56.12% | [P:0.36] RSI:63.04|KD_Diff:1.32|MA_Slope:0.13|BB_Upper:-0.14
00670L.TW    | 富邦NASDAQ正2 | 174.25     | 🟢 持股           |      +29.87% |     21 |    49.85% | [P:0.65] RSI:23.44|MACD:-6.80|KD_Diff:-5.43|MA_Slope:-0.91
00671R.TW    | 富邦NASDAQ反1 | 2.63       | ❄️ 空倉          |      -11.97% |     12 |    52.48% | [P:0.32] RSI:70.73|D_Value:81.85|BIAS_20:5.64|MA_Slope:0.46
00673R.TW    | 期元大S&P原油反1 | 12.62      | ❄️ 空倉          |      -50.62% |     34 |    50.91% | [P:0.43] KD_Diff:14.25|Vol_Ratio:0.63|MA_Slope:-1.31|MA_Bull:0.00
00674R.TW    | 期元大S&P黃金反1 | 30.42      | ❄️ 空倉          |     +363.51% |     14 |    53.90% | [P:0.45] RSI:52.96|KD_Diff:5.31|D_Value:49.73|Vol_Ratio:1.06
00675L.TW    | 富邦臺灣加權正2   | 242.25     | 🚀 買進           |      +46.61% |     30 |    50.29% | [P:0.53] RSI:25.60|D_Value:24.78|Vol_Ratio:1.41|MA_Slope:-1.61
00676R.TW    | 富邦臺灣加權反1   | 6.36       | 🚀 買進           |       -7.53% |     16 |    57.54% | [P:0.57] MACD:0.12|KD_Diff:9.55|Vol_Ratio:1.36|MA_Bull:10.00
