股票代碼         名稱              收盤價       最佳均線          勝率%            報酬%       次數        外資5日買 目前狀態                
----------------------------------------------------------------------------------------------------------------------------------
0050.TW      元大台灣50         74.4          6         70.0           9.94        2      -125854 📉 觀望/賣出             
0052.TW      富邦科技          44.13          6        65.22           8.68        3        -2233 📉 觀望/賣出             
0056.TW      元大高股息         38.04          3         75.0           6.28        4       -14241 📉 觀望/賣出             
00631L.TW    元大台灣50正2     443.15          3        71.43           1.82        3         -301 📉 觀望/賣出             
00632R.TW    元大台灣50反1      14.51          6        36.36          -2.28        3         -112 📈 持有                
00633L.TW    富邦上証正2        43.78          9        42.86          -3.95        4         -184 📉 觀望/賣出             
00634R.TW    富邦上証反1          3.4          5        56.25           0.62        4            0 📈 持有                
00635U.TW    期元大S&P黃金      45.99          5        77.78          14.59        3        -2582 📉 觀望/賣出             
00637L.TW    元大滬深300正2     18.17         11        46.15           -5.1        3        -5362 📉 觀望/賣出             
00638R.TW    元大滬深300反1       7.3          7         50.0          -2.26        4            0 📈 持有                
00640L.TW    富邦日本正2        81.45          6        63.16           8.74        3           -4 📉 觀望/賣出             
00641R.TW    富邦日本反1         4.39         11        42.11           0.76        3            0 📈 持有                
00642U.TW    期元大S&P石油      24.98         11        58.97          60.95        0        -4650 📉 觀望/賣出             
00646.TW     元大S&P500       65.8         16          0.0          -2.73        3         2334 📉 觀望/賣出             
00648R.TW    元大S&P500反1     4.61         15        47.62           1.44        3           -7 📈 持有                
00650L.TW    復華香港正2        16.12          3         50.0           1.57        5          424 📉 觀望/賣出             
00651R.TW    復華香港反1         5.52         19        45.45            4.9        2            0 📈 持有                
00654R.TW    富邦印度反1         7.28         11        57.69          11.19        2            0 📈 持有                
00655L.TW    未知            30.48         11        42.86          -3.49        2          120 📉 觀望/賣出             
00656R.TW    國泰中國A50反1      6.47          6        52.38          -3.05        5            0 📈 持有                
00662.TW     富邦NASDAQ       98.6         16        33.33          -7.15        5        -1770 📉 觀望/賣出             
