📅 統計區間: 20260101 | T+1 + MACD + BIAS<5.0%

💎 1419.TW    新紡         | 股價:    62.4 | 買超:       13張 | 勝率:  50.0% | 乖離: 1.66%
💎 6863.TW    永道-KY      | 股價:    90.8 | 買超:       13張 | 勝率: 55.56% | 乖離: 0.2%
💎 6735.TWO   美達科技       | 股價:    58.3 | 買超:       13張 | 勝率: 43.75% | 乖離: 3.06%
💎 6922.TWO   宸曜         | 股價:   165.0 | 買超:       11張 | 勝率:  60.0% | 乖離: 0.66%
💎 910322.TW  康師傅-DR     | 股價:    26.3 | 買超:       10張 | 勝率:  65.0% | 乖離: 2.43%
💎 1453.TW    大將         | 股價:    12.4 | 買超:        4張 | 勝率: 33.33% | 乖離: 0.27%
💎 7709.TWO   榮田         | 股價:    56.4 | 買超:        4張 | 勝率: 60.87% | 乖離: 0.62%
💎 6730.TWO   常廣         | 股價:    36.5 | 買超:        4張 | 勝率: 55.56% | 乖離: 1.2%
💎 7777.TWO   能率亞洲       | 股價:    27.2 | 買超:        3張 | 勝率: 63.64% | 乖離: -0.91%
💎 8477.TWO   創業家        | 股價:    13.9 | 買超:        2張 | 勝率: 55.56% | 乖離: 0.12%
💎 6612.TWO   奈米醫材       | 股價:    70.3 | 買超:        1張 | 勝率:  40.0% | 乖離: 0.48%
💎 8416.TWO   實威         | 股價:   168.5 | 買超:        1張 | 勝率:  50.0% | 乖離: -0.2%
