expansion,eps_yoy,est_price,date,prev_rev_yoy,prev_eps,prev_eps_yoy,symbol,rev_yoy,price,advice,eps,pe,name,om,gm,prev_year,status
1063.6100000000001,1600.0,11.1,2026-03,9.81,0.31,-17.95,5291.TWO,536.39,55.9000015259,⚠️ 追價風險,0.17,75.54054260256757,邑昇,N/A,N/A,2025,🚀 利潤擴張
982.33,1100.0,78.44999999999999,2026-03,4.27,3.45,-6.25,3025.TW,117.67,67.0999984741,✅ 穩健價值,0.6,12.829827624110901,星通,43.45%,68.55%,2025,🏰 高護城河
807.1099999999999,2600.0,669.75,2026-03,2.46,13.06,110.31,4967.TW,1792.89,265.0,💎 強力關注,27.0,5.93505039193729,十銓,N/A,N/A,2025,🚀 利潤擴張
733.74,1014.29,17.699999999999996,2026-03,21.27,1.23,46.43,2359.TW,280.55,126.5,⚠️ 追價風險,0.78,107.2033898305085,所羅門,2.82%,24.10%,2025,🚀 利潤擴張
714.3499999999999,1211.11,-85.05,2026-03,-40.26,-4.39,-566.18,1762.TW,496.76,36.25,⚪ 數據不足,1.64,0.0,中化生,-143.69%,-78.82%,2025,🔄 轉虧為盈
648.6500000000001,2666.67,36.29999999999999,2026-03,8.08,0.87,-51.41,3006.TW,2018.02,227.0,⚠️ 追價風險,7.22,93.801652892562,晶豪科,20.25%,32.33%,2025,🚀 利潤擴張
589.77,1100.0,-26.55,2026-03,-10.95,-0.84,-266.0,2464.TW,510.23,155.5,⚪ 數據不足,0.24,0.0,盟立,-3.37%,17.62%,2025,🔄 轉虧為盈
583.2200000000003,2067.82,586.95,2026-03,69.84,12.98,140.33,2451.TW,1484.6,278.5,💎 強力關注,18.93,7.117301303347815,創見,55.59%,61.62%,2025,🏰 高護城河
582.14,806.67,29.400000000000006,2026-03,58.31,-0.07,89.09,3521.TWO,224.53,12.0500001907,💎 強力關注,2.12,6.147959280969387,台鋼建設,-147.39%,-40.24%,2025,🔄 轉虧為盈
579.1500000000001,1763.64,30.6,2026-03,-44.61,1.01,-68.84,2101.TW,1184.49,31.1499996185,✅ 穩健價值,1.86,15.269607656127452,南港,4.39%,20.96%,2025,🚀 利潤擴張
