日期,代號,名稱,最新價格,成本,股數,損益,報酬率
2026-06-26,2317,鴻海,248.5,241.21,2000,14580,3.02%
2026-06-26,4142,國光生,16.8,25.32,1000,-8520,-33.65%
2026-06-26,0050,元大台灣50,103.1,46.6,16000,904000,121.24%
2026-06-26,0056,元大高股息,51.45,36.43,4000,60080,41.23%
2026-06-26,00635U,期元大S&P黃金,41.9,55.25,3000,-40050,-24.16%
2026-06-26,00738U,期元大道瓊白銀,45.52,66.26,1000,-20740,-31.30%
2026-06-26,00929,復華台灣科技優息,29.96,19.73,8000,81840,51.85%
2026-06-26,009816,凱基台灣TOP50,15.0,11.01,63000,251370,36.24%
2026-06-26,00990A,主動元大AI新經濟,20.23,11.48,5000,43750,76.22%
2026-06-26,2009,第一銅,38.05,50.56,4000,-50040,-24.74%
2026-06-26,2337,旺宏,162.5,95.28,2000,134440,70.55%
2026-06-26,2409,友達,27.95,16.21,2000,23480,72.42%
2026-06-26,3481,群創,65.0,25.1,4000,159600,158.96%
2026-06-26,6806,森崴能源,3.51,45.39,5000,-209400,-92.27%
2026-06-26,3105,穩懋,424.0,556.47,300,-39741,-23.81%
2026-06-26,4966,譜瑞-KY,608.0,1921.64,1000,-1313640,-68.36%
2026-06-26,2327,國巨*,1015.0,1030.0,1,-15,-1.46%
2026-06-26,00403A,主動統一升級50,10.56,10.68,26000,-3120,-1.12%
2026-06-26,00981A,主動統一台股增長,29.91,27.48,2000,4860,8.84%
2026-06-26,2330,台積電,2340.0,225.55,10,21144,937.46%
2026-06-26,6789,采鈺,492.0,593.5,400,-40600,-17.10%
2026-06-26,6849,奇鼎科技,141.5,266.4,280,-34972,-46.88%
2026-06-26,7853,政美應用,323.5,409.29,280,-24021,-20.96%
2026-06-26,3576,聯合再生,16.5,18.15,5000,-8250,-9.09%
2026-06-26,1721,三晃,22.9,27.88,3000,-14950,-17.87%
2026-06-26,8215,明基材,28.15,31.6,200,-690,-10.92%
2026-06-26,00405A,主動富邦台灣龍耀,9.0,9.34,11000,-3740,-3.64%
2026-06-26,5498,凱崴,58.0,69.61,188,-2183,-16.68%
2026-06-26,1301,台塑,52.2,50.5,100,170,3.37%
2026-06-26,6498,久禾光,95.0,67.3,12,332,41.16%
2026-06-26,009821,野村稀土關鍵資源,14.23,17.3,12000,-36840,-17.75%
