
📅 投資日報表: 2026-08-04
=======================================================================================================================================
代號     | 名稱       | 開盤     | 最高     | 最低     | 最新     | 成交量         | 平均成本    | 股數     | 損益       | 報酬%
---------------------------------------------------------------------------------------------------------------------------------------
2317     | 鴻海         | 245.00   | 252.00   | 242.50   | 250.50   | 96,232,985   | 241.21      | 2000     | ▲18,580   |   +3.85%
4142     | 國光生        | 16.85    | 16.95    | 16.55    | 16.55    | 1,053,200    | 25.32       | 1000     | ▼8,770    |  -34.64%
0050     | 元大台灣50     | 102.00   | 102.70   | 101.00   | 102.00   | 162,020,882  | 46.60       | 16000    | ▲886,400  | +118.88%
0056     | 元大高股息      | 48.70    | 49.79    | 48.70    | 49.48    | 90,889,539   | 36.43       | 4000     | ▲52,200   |  +35.82%
00635U   | 期元大S&P黃金   | 42.21    | 42.36    | 42.06    | 42.26    | 1,067,000    | 55.25       | 3000     | ▼38,970   |  -23.51%
00738U   | 期元大道瓊白銀    | 46.73    | 47.01    | 46.50    | 46.76    | 1,759,019    | 66.26       | 1000     | ▼19,500   |  -29.43%
00929    | 復華台灣科技優息   | 27.42    | 27.59    | 27.11    | 27.47    | 34,344,101   | 19.73       | 8000     | ▲61,920   |  +39.23%
009816   | 凱基台灣TOP50  | 14.31    | 14.73    | 14.31    | 14.65    | 282,824,844  | 11.01       | 63000    | ▲229,320  |  +33.06%
00990A   | 主動元大AI新經濟  | 15.31    | 15.45    | 15.14    | 15.34    | 12,755,463   | 11.48       | 5000     | ▲19,300   |  +33.62%
2009     | 第一銅        | 36.00    | 36.35    | 35.00    | 35.10    | 1,032,098    | 50.56       | 4000     | ▼61,840   |  -30.58%
2337     | 旺宏         | 100.50   | 100.50   | 100.50   | 100.50   | 11,352,531   | 95.28       | 2000     | ▲10,440   |   +5.48%
2409     | 友達         | 24.40    | 24.40    | 23.55    | 24.20    | 196,525,417  | 16.21       | 2000     | ▲15,980   |  +49.29%
3481     | 群創         | 45.35    | 45.50    | 44.10    | 45.50    | 363,361,964  | 25.10       | 4000     | ▲81,600   |  +81.27%
3105     | 穩懋         | 294.00   | 294.50   | 280.00   | 294.50   | 14,817,619   | 556.47      | 300      | ▼78,591   |  -47.08%
4966     | 譜瑞-KY      | 573.00   | 580.00   | 550.00   | 562.00   | 797,240      | 1921.64     | 1000     | ▼1,359,640 |  -70.75%
2327     | 國巨*        | 502.00   | 502.00   | 502.00   | 502.00   | 5,993,259    | 1030.00     | 1        | ▼528      |  -51.26%
00403A   | 主動統一升級50   | 9.12     | 9.29     | 9.06     | 9.25     | 546,365,773  | 10.68       | 26000    | ▼37,180   |  -13.39%
00981A   | 主動統一台股增長   | 26.06    | 26.13    | 25.86    | 26.13    | 871,839,023  | 27.48       | 2000     | ▼2,700    |   -4.91%
2330     | 台積電        | 2350.00  | 2425.00  | 2345.00  | 2425.00  | 57,145,894   | 225.55      | 10       | ▲21,994   | +975.15%
6789     | 采鈺         | 421.00   | 423.50   | 414.50   | 423.50   | 1,383,517    | 593.50      | 400      | ▼68,000   |  -28.64%
6849     | 奇鼎科技       | 133.50   | 141.50   | 129.50   | 136.50   | 135,122      | 266.40      | 280      | ▼36,372   |  -48.76%
7853     | 政美應用       | 298.00   | 313.00   | 288.00   | 309.00   | 277,101      | 409.29      | 280      | ▼28,081   |  -24.50%
3576     | 聯合再生       | 16.50    | 16.80    | 16.30    | 16.30    | 9,803,134    | 18.15       | 5000     | ▼9,250    |  -10.19%
1721     | 三晃         | 18.95    | 19.50    | 18.95    | 19.20    | 466,140      | 27.88       | 3000     | ▼26,050   |  -31.14%
8215     | 明基材        | 22.80    | 22.95    | 22.45    | 22.70    | 642,005      | 31.60       | 200      | ▼1,780    |  -28.16%
00405A   | 主動富邦台灣龍耀   | 7.30     | 7.77     | 7.30     | 7.66     | 178,849,567  | 9.34        | 11000    | ▼18,480   |  -17.99%
5498     | 凱崴         | 41.40    | 41.95    | 41.10    | 41.95    | 1,002,366    | 69.61       | 188      | ▼5,200    |  -39.74%
1301     | 台塑         | 57.00    | 57.80    | 54.40    | 55.00    | 48,892,511   | 50.50       | 100      | ▲450      |   +8.91%
6498     | 久禾光        | 71.30    | 71.50    | 68.70    | 69.10    | 301,001      | 67.30       | 12       | ▲22       |   +2.67%
009821   | 野村稀土關鍵資源   | 12.83    | 13.02    | 12.83    | 13.02    | 5,635,498    | 17.30       | 12000    | ▼51,360   |  -24.74%
---------------------------------------------------------------------------------------------------------------------------------------
💰 庫存總投入:       6,426,664    📊 未實現損益:        -454,086 (  -7.07%)
