代號,名稱,現價,當日外資(張),當日投信(張),當日自營(張),Date,上週估買(張),這週估買(張),淨增進貨(張),增長倍數,5D股價漲跌,狀態
8279.TWO,生展,89.9,11,0,0,20260803,0,1,1,新進貨,-0.11%,★ 壓低偷買
2455.TW,全新,353.0,-612,124,107,20260804,7965,0,0,N/A,16.69%,🚨 外資提款
4714.TWO,永捷,10.35,322,0,-49,20260804,279,0,0,N/A,0.49%,🚨 外資提款
00663L.TW,國泰臺灣加權正2,92.05,-981,0,4562,20260804,1200,0,0,N/A,5.99%,🚨 外資提款
8182.TWO,加高,38.8,-258,0,-1,20260804,-111,0,0,N/A,4.44%,🚨 外資提款
3131.TWO,弘塑,2540.0,48,-83,6,20260804,262,0,0,N/A,1.44%,🚨 外資提款
1236.TW,宏亞,24.85,22,0,0,20260804,0,0,0,N/A,5.74%,🚨 外資提款
7811.TWO,民盛,71.0,4,0,0,20260804,0,0,0,N/A,-0.70%,🚨 外資提款
4771.TW,望隼,187.5,74,0,-2,20260804,-157,0,0,N/A,3.02%,🚨 外資提款
4943.TW,康控-KY,8.32,0,0,0,20260804,0,0,0,N/A,-5.67%,🚨 外資提款
2010.TW,春源,20.9,313,2,13,20260804,30,0,0,N/A,-0.95%,🚨 外資提款
7722.TW,LINEPAY,273.0,-5,0,-2,20260804,13,0,0,N/A,1.49%,🚨 外資提款
00746B.TWO,富邦A級公司債,35.11,0,0,7,20260804,-3,0,0,N/A,-0.31%,🚨 外資提款
3040.TW,遠見,35.8,-16,0,1,20260804,18,0,0,N/A,1.13%,🚨 外資提款
9908.TW,大台北,29.1,-60,0,-26,20260804,59,0,0,N/A,-1.02%,🚨 外資提款
3563.TW,牧德,648.0,-46,0,16,20260804,-98,0,0,N/A,2.05%,🚨 外資提款
3645.TW,達邁,69.1,-202,0,-10,20260804,1322,0,0,N/A,7.80%,🚨 外資提款
2249.TWO,湧盛,101.5,0,0,0,20260804,0,0,0,N/A,0.58%,🚨 外資提款
2399.TW,映泰,39.85,229,0,-3,20260804,433,0,0,N/A,16.18%,🚨 外資提款
8277.TWO,商丞,8.19,49,0,0,20260804,9,0,0,N/A,2.89%,🚨 外資提款
7516.TWO,清淨海,8.7,0,0,0,20260804,0,0,0,N/A,1.16%,🚨 外資提款
8066.TWO,來思達,14.75,0,0,0,20260804,0,0,0,N/A,-1.01%,🚨 外資提款
4431.TWO,敏成健康,17.85,0,0,0,20260804,0,0,0,N/A,4.69%,🚨 外資提款
2023.TW,燁輝,13.65,-660,13,29,20260804,63,0,0,N/A,-1.44%,🚨 外資提款
6748.TWO,亞果生醫,217.5,0,0,0,20260804,0,0,0,N/A,16.62%,🚨 外資提款
00660.TW,元大歐洲50,47.11,0,0,-10,20260804,0,0,0,N/A,2.41%,🚨 外資提款
6222.TWO,立軒,20.95,1,0,0,20260804,0,0,0,N/A,3.97%,🚨 外資提款
1711.TW,永光,34.25,808,0,-6,20260804,3526,0,0,N/A,4.90%,🚨 外資提款
00940.TW,元大台灣價值高息,12.23,-4092,0,18185,20260804,-1442,0,0,N/A,3.82%,🚨 外資提款
5203.TW,訊連,65.7,-36,0,1,20260804,39,0,0,N/A,-0.90%,🚨 外資提款
3531.TWO,先益,22.25,0,0,0,20260803,0,0,0,N/A,-2.41%,🚨 外資提款
4148.TW,全宇生技-KY,30.9,4,0,-2,20260804,2,0,0,N/A,-0.48%,🚨 外資提款
1213.TW,大飲,7.5,0,0,0,20260804,0,0,0,N/A,3.59%,🚨 外資提款
