gm,advice,pe,eps_yoy,eps,prev_eps,est_price,prev_rev_yoy,om,prev_eps_yoy,symbol,name,rev_yoy,status,price,date,prev_year,expansion
27.15%,💎 強力關注,3.6124794745484397,2733.33,9.37,4.11,274.05000000000007,12.31,10.89%,41.38,1419.TW,新紡,395.99,🚀 利潤擴張,66.0,2026-03,2025,2337.34
15.86%,⚠️ 追價風險,383.6065573770491,2900.0,0.29,0.22,9.150000000000002,10.09,1.35%,175.0,2486.TW,一詮,726.37,🚀 利潤擴張,234.0,2026-03,2025,2173.63
24.41%,💎 強力關注,8.125000164439653,1900.0,0.4,0.72,34.800000000000004,13.61,0.24%,110.31,2380.TW,虹光,205.99,🚀 利潤擴張,18.8500003815,2026-03,2025,1694.01
11.81%,⚠️ 追價風險,652.6315789473686,3400.0,0.35,0.07,2.849999999999999,-5.25,4.89%,-92.39,3016.TW,嘉晶,1769.87,🚀 利潤擴張,124.0,2026-03,2025,1630.13
9.25%,⚠️ 追價風險,112.90322580645159,2900.0,1.8,0.57,27.900000000000006,0.12,2.06%,35.71,1303.TW,南亞,1383.79,🚀 利潤擴張,210.0,2026-03,2025,1516.21
8.40%,⚠️ 追價風險,33.3064509976613,2366.67,1.48,0.15,18.599999999999998,-14.09,-12.67%,275.0,2399.TW,映泰,1031.36,🚀 利潤擴張,41.2999992371,2026-03,2025,1335.3100000000002
14.61%,⚠️ 追價風險,32.35294117647059,2200.0,0.23,0.15,7.65,-4.5,2.47%,50.0,4711.TWO,永純,974.97,🚀 利潤擴張,16.5,2026-03,2025,1225.03
41.46%,⚠️ 追價風險,33.90243809390244,1300.0,0.17,0.09,6.15,-0.24,18.72%,250.0,1718.TW,中纖,142.36,🚀 利潤擴張,13.8999996185,2026-03,2025,1157.6399999999999
69.49%,⚪ 中性觀察,16.3777770996,1275.0,0.48,1.52,67.5,49.68,-15.39%,406.67,3219.TWO,倚強科,120.91,🏰 高護城河,73.6999969482,2026-03,2025,1154.09
N/A,⚠️ 追價風險,72.4324303704054,1600.0,0.17,0.31,11.1,9.81,N/A,-17.95,5291.TWO,邑昇,536.39,🚀 利潤擴張,53.5999984741,2026-03,2025,1063.6100000000001
68.55%,💎 強力關注,10.975143695200765,1100.0,0.6,3.45,78.44999999999999,4.27,43.45%,-6.25,3025.TW,星通,117.67,🏰 高護城河,57.4000015259,2026-03,2025,982.33
N/A,💎 強力關注,5.0279955207166855,2600.0,27.0,13.06,669.75,2.46,N/A,110.31,4967.TW,十銓,1792.89,🚀 利潤擴張,224.5,2026-03,2025,807.1099999999999
24.10%,⚠️ 追價風險,120.76271186440681,1014.29,0.78,1.23,17.699999999999996,21.27,2.82%,46.43,2359.TW,所羅門,280.55,🚀 利潤擴張,142.5,2026-03,2025,733.74
-78.82%,⚪ 數據不足,0.0,1211.11,1.64,-4.39,-85.05,-40.26,-143.69%,-566.18,1762.TW,中化生,496.76,🔄 轉虧為盈,37.3499984741,2026-03,2025,714.3499999999999
32.33%,⚠️ 追價風險,89.87603305785126,2666.67,7.22,0.87,36.29999999999999,8.08,20.25%,-51.41,3006.TW,晶豪科,2018.02,🚀 利潤擴張,217.5,2026-03,2025,648.6500000000001
17.62%,⚪ 數據不足,0.0,1100.0,0.24,-0.84,-26.55,-10.95,-3.37%,-266.0,2464.TW,盟立,510.23,🔄 轉虧為盈,159.0,2026-03,2025,589.77
61.62%,💎 強力關注,6.107845642729363,2067.82,18.93,12.98,586.95,69.84,55.59%,140.33,2451.TW,創見,1484.6,🏰 高護城河,239.0,2026-03,2025,583.2200000000003
-40.24%,💎 強力關注,6.27551030137755,806.67,2.12,-0.07,29.400000000000006,58.31,-147.39%,89.09,3521.TWO,台鋼建設,224.53,🔄 轉虧為盈,12.3000001907,2026-03,2025,582.14
20.96%,⚪ 中性觀察,16.764706256323528,1763.64,1.86,1.01,30.6,-44.61,4.39%,-68.84,2101.TW,南港,1184.49,🚀 利潤擴張,34.2000007629,2026-03,2025,579.1500000000001
14.87%,⚪ 數據不足,0.0,1100.0,0.2,-1.02,-36.6,-2.21,-1.97%,-197.14,4510.TWO,高鋒,543.13,🔄 轉虧為盈,41.7999992371,2026-03,2025,556.87
