gm,advice,pe,eps_yoy,eps,prev_eps,est_price,prev_rev_yoy,om,prev_eps_yoy,symbol,name,rev_yoy,status,price,date,prev_year,expansion
N/A,⚪ 中性觀察,9.498607242339833,-14.89,1.6,7.34,269.25,-2.32,N/A,2.89,6761.TWO,穩得,140.64,📉 獲利侵蝕,170.5,2026-03,2025,-155.52999999999997
40.97%,❌ 暫避觀望,17.290970154816055,-81.4,0.08,1.22,44.849999999999994,38.76,11.18%,15.09,3093.TWO,港建*,74.54,📉 獲利侵蝕,51.7000007629,2026-03,2025,-155.94
N/A,⚪ 中性觀察,12.318255250403878,-41.18,0.6,5.49,185.7,22.92,N/A,-22.13,5474.TWO,聰泰,115.66,📉 獲利侵蝕,152.5,2026-03,2025,-156.84
N/A,⚪ 中性觀察,5.62296131429876,16.67,1.75,6.51,229.95000000000002,19.77,N/A,11.33,6498.TWO,久禾光,173.58,⚠️ 獲利稀釋,86.1999969482,2026-03,2025,-156.91000000000003
N/A,⚪ 中性觀察,10.080275404334861,16.98,0.63,1.61,65.4,2.96,N/A,-28.18,9918.TW,欣天然,174.38,⚠️ 獲利稀釋,43.9500007629,2026-03,2025,-157.4
N/A,⚪ 數據不足,0.0,-100.0,-0.62,-0.59,-29.85,-2.17,N/A,16.9,8067.TWO,志旭,57.79,📉 獲利侵蝕,13.1000003815,2026-03,2025,-157.79
N/A,⚪ 數據不足,0.0,-90.0,-0.57,-1.33,-50.4,2.86,N/A,-1377.78,5272.TWO,笙科,68.27,📉 獲利侵蝕,19.8500003815,2026-03,2025,-158.26999999999998
24.73%,⚪ 中性觀察,13.695652588586954,-90.0,0.02,0.28,13.800000000000002,-31.39,-2.71%,-57.58,3024.TW,憶聲,68.51,📉 獲利侵蝕,12.6000003815,2026-03,2025,-158.51
N/A,❌ 暫避觀望,45.33333460483333,-81.82,0.02,0.12,9.0,22.38,N/A,139.29,8080.TWO,泰霖,76.73,📉 獲利侵蝕,27.2000007629,2026-03,2025,-158.55
N/A,⚪ 中性觀察,9.02215018908698,-68.65,1.0,8.29,277.65,2.98,N/A,-19.59,6862.TW,三集瑞-KY,90.37,📉 獲利侵蝕,167.0,2026-03,2025,-159.02
42.56%,⚪ 數據不足,0.0,26.19,-0.31,-1.29,-58.650000000000006,9.94,-18.87%,31.02,4128.TWO,中天,185.58,⚠️ 獲利稀釋,15.6999998093,2026-03,2025,-159.39000000000001
N/A,⚪ 中性觀察,6.323687031082529,36.13,3.27,12.15,419.85,-9.4,N/A,-14.17,6996.TWO,力領科技,195.54,⚠️ 獲利稀釋,177.0,2026-03,2025,-159.41
34.44%,⚪ 中性觀察,9.452887653951368,-3.77,0.51,1.36,49.35,0.3,17.09%,-13.92,1568.TW,倉佑,155.84,📉 獲利侵蝕,31.1000003815,2026-03,2025,-159.61
N/A,⚪ 數據不足,0.0,52.94,-0.24,-1.52,-67.2,11.69,N/A,-462.96,6237.TWO,驊訊,214.29,⚠️ 獲利稀釋,39.0,2026-03,2025,-161.35
N/A,⚪ 中性觀察,13.981131787566042,-61.9,0.4,2.25,79.49999999999999,-23.31,N/A,-62.55,8102.TWO,傑霖科技,100.37,📉 獲利侵蝕,74.0999984741,2026-03,2025,-162.27
N/A,⚪ 中性觀察,5.969062645505005,-25.14,1.37,5.51,164.85,37.15,N/A,57.43,6203.TWO,海韻電,137.15,📉 獲利侵蝕,65.5999984741,2026-03,2025,-162.29000000000002
N/A,⚪ 中性觀察,8.75,22.89,2.47,6.32,234.00000000000003,3.91,N/A,-22.95,6651.TWO,全宇昕,186.39,⚠️ 獲利稀釋,136.5,2026-03,2025,-163.5
25.33%,⚪ 中性觀察,6.490507952796305,-8.48,2.59,7.4,292.35,1.19,7.00%,-12.32,3213.TWO,茂訊,155.73,📉 獲利侵蝕,126.5,2026-03,2025,-164.20999999999998
27.86%,⚪ 數據不足,0.0,-114.81,-0.58,-1.34,-58.8,34.04,-40.94%,59.69,2424.TW,隴華,50.4,📉 獲利侵蝕,9.1899995804,2026-03,2025,-165.21
44.64%,⚪ 中性觀察,5.216049461203703,-26.32,0.84,3.81,145.8,-11.82,12.42%,-32.69,4138.TWO,曜亞,139.24,📉 獲利侵蝕,50.7000007629,2026-03,2025,-165.56
35.36%,⚪ 中性觀察,6.73491379310345,333.33,1.17,4.31,139.19999999999996,-4.75,30.49%,-22.2,2606.TW,裕民,499.13,⚠️ 獲利稀釋,62.5,2026-03,2025,-165.8
43.11%,❌ 暫避觀望,102.35293893235296,12.5,0.09,0.13,2.55,-3.71,22.84%,141.94,3252.TWO,海灣,179.42,⚠️ 獲利稀釋,17.3999996185,2026-03,2025,-166.92
N/A,⚪ 中性觀察,14.737827143857677,197.5,1.19,1.91,80.1,-0.48,N/A,240.74,4949.TW,有成精密,364.73,⚠️ 獲利稀釋,78.6999969482,2026-03,2025,-167.23000000000002
N/A,⚪ 中性觀察,14.838709677419358,96.93,3.21,8.67,325.49999999999994,12.03,N/A,-0.23,6197.TW,佳必琪,264.19,⚠️ 獲利稀釋,322.0,2026-03,2025,-167.26
N/A,⚪ 數據不足,0.0,25.58,-0.64,-5.1,-160.04999999999998,-62.05,N/A,-40.62,6550.TW,北極星藥業-KY,192.98,⚠️ 獲利稀釋,12.25,2026-03,2025,-167.39999999999998
35.81%,⚪ 數據不足,0.0,-4.55,-0.23,-1.09,-45.3,-16.89,-38.32%,-234.57,2482.TW,連宇,162.93,📉 獲利侵蝕,18.2000007629,2026-03,2025,-167.48000000000002
N/A,⚪ 數據不足,0.0,-11.11,-0.4,-1.29,-46.050000000000004,-31.28,N/A,-516.13,8437.TWO,大地-KY,157.19,📉 獲利侵蝕,9.8400001526,2026-03,2025,-168.3
39.78%,❌ 暫避觀望,17.493386243386244,21.52,3.85,12.25,453.6,18.56,15.69%,17.26,2395.TW,研華,190.06,⚠️ 獲利稀釋,529.0,2026-03,2025,-168.54
N/A,❌ 暫避觀望,20.79872155722045,46.51,0.64,0.67,46.949999999999996,-2.5,N/A,-69.96,6224.TW,聚鼎,215.08,⚠️ 獲利稀釋,65.0999984741,2026-03,2025,-168.57000000000002
44.02%,❌ 暫避觀望,28.675450762829403,63.39,3.66,11.33,432.6,28.3,23.34%,32.78,4749.TWO,新應材,232.49,⚠️ 獲利稀釋,827.0,2026-03,2025,-169.10000000000002
N/A,❌ 暫避觀望,36.52173913043479,31.51,0.96,3.01,103.49999999999999,-13.26,N/A,-50.25,6937.TW,天虹,201.37,⚠️ 獲利稀釋,252.0,2026-03,2025,-169.86
N/A,⚪ 中性觀察,6.79063936481404,21.39,2.27,10.22,358.95000000000005,13.3,N/A,36.27,6690.TWO,安�硌穈T,191.57,⚠️ 獲利稀釋,162.5,2026-03,2025,-170.18
N/A,❌ 暫避觀望,103.28571864542859,-100.0,0.0,0.71,10.5,16.84,N/A,152.21,6485.TWO,點序,70.28,📉 獲利侵蝕,72.3000030518,2026-03,2025,-170.28
N/A,⚪ 數據不足,0.0,25.0,-0.21,-1.63,-49.05,-1.45,N/A,-54.29,6929.TWO,佑全,195.61,⚠️ 獲利稀釋,22.2999992371,2026-03,2025,-170.61
N/A,⚪ 中性觀察,9.749303621169915,18.71,1.65,4.58,161.55,-12.32,N/A,-22.77,5299.TWO,杰力,189.52,⚠️ 獲利稀釋,105.0,2026-03,2025,-170.81
15.09%,❌ 暫避觀望,29.338236416029414,620.0,0.36,0.26,10.2,-23.91,1.25%,-89.88,1323.TW,永裕,792.05,⚠️ 獲利稀釋,19.9500007629,2026-03,2025,-172.04999999999995
45.13%,⚪ 中性觀察,12.741935308087559,-43.18,0.28,2.3,65.1,-2.97,17.87%,-22.56,2070.TWO,精湛,129.05,📉 獲利侵蝕,55.2999992371,2026-03,2025,-172.23000000000002
N/A,⚪ 中性觀察,3.3480175091116005,-55.88,0.75,5.37,204.29999999999998,38.81,N/A,60.88,6591.TW,動力-KY,116.4,📉 獲利侵蝕,45.5999984741,2026-03,2025,-172.28
40.82%,❌ 暫避觀望,25.0,6.25,0.17,0.54,19.2,1.84,-1.48%,100.0,2926.TWO,誠品生活,178.72,⚠️ 獲利稀釋,32.0,2026-03,2025,-172.47
30.70%,❌ 暫避觀望,24.22764165617886,28.57,-0.05,0.47,18.45,20.59,-18.51%,461.54,3297.TWO,杭特,201.59,⚠️ 獲利稀釋,29.7999992371,2026-03,2025,-173.02
N/A,⚪ 中性觀察,11.326530612244898,42.86,0.7,2.07,73.49999999999999,-11.73,N/A,-22.56,7704.TWO,明遠精密,216.12,⚠️ 獲利稀釋,55.5,2026-03,2025,-173.26
N/A,⚪ 中性觀察,9.643410970992248,18.94,1.57,2.35,96.74999999999999,1.36,N/A,-21.14,6844.TWO,諾貝兒,192.24,⚠️ 獲利稀釋,62.2000007629,2026-03,2025,-173.3
N/A,❌ 暫避觀望,28.14906067138897,218.52,5.19,12.75,487.05000000000007,10.19,N/A,-14.04,6640.TWO,均華,392.93,⚠️ 獲利稀釋,914.0,2026-03,2025,-174.41
33.63%,⚪ 中性觀察,10.513833992094861,3.17,1.3,4.99,189.75,2.67,17.33%,3.96,2412.TW,中華電,177.66,⚠️ 獲利稀釋,133.0,2026-03,2025,-174.49
N/A,⚪ 中性觀察,8.716931418756612,29.27,0.53,1.75,56.7,-3.52,N/A,-13.79,9960.TWO,邁達康,203.95,⚠️ 獲利稀釋,32.9500007629,2026-03,2025,-174.67999999999998
N/A,❌ 暫避觀望,23.921568253431374,416.67,0.19,0.33,15.3,-3.87,N/A,-43.1,3021.TW,鴻名,592.65,⚠️ 獲利稀釋,24.3999996185,2026-03,2025,-175.97999999999996
36.51%,❌ 暫避觀望,53.63489499192246,11.85,1.51,2.67,92.85,-9.88,9.03%,-66.46,3675.TWO,德微,188.41,⚠️ 獲利稀釋,332.0,2026-03,2025,-176.56
N/A,⚪ 中性觀察,10.731211916046039,84.31,3.81,5.62,221.54999999999998,20.03,N/A,-27.15,6579.TW,研揚,261.06,⚠️ 獲利稀釋,158.5,2026-03,2025,-176.75
21.75%,❌ 暫避觀望,18.49999957611111,-30.0,0.14,0.2,8.100000000000001,-54.43,10.56%,-93.38,1805.TW,寶徠,147.2,📉 獲利侵蝕,9.9899997711,2026-03,2025,-177.2
31.63%,❌ 暫避觀望,40.19607843137255,42.31,0.37,0.5,22.95,-7.24,-1.96%,-73.51,3588.TW,通嘉,219.88,⚠️ 獲利稀釋,61.5,2026-03,2025,-177.57
30.02%,❌ 暫避觀望,18.046132971506104,196.0,2.24,6.1,221.1,8.51,10.45%,-40.84,3587.TWO,閎康,373.81,⚠️ 獲利稀釋,266.0,2026-03,2025,-177.81
37.27%,❌ 暫避觀望,44.92857142857143,24.71,1.06,2.97,105.0,4.29,21.78%,-18.46,2455.TW,全新,202.94,⚠️ 獲利稀釋,314.5,2026-03,2025,-178.23
25.16%,⚪ 中性觀察,5.461373554270387,-10.71,0.5,2.31,69.89999999999999,-17.82,13.35%,-12.16,3284.TWO,太普高,167.71,📉 獲利侵蝕,25.4500007629,2026-03,2025,-178.42000000000002
N/A,⚪ 中性觀察,4.379487257733333,-9.84,0.55,4.21,146.25,8.73,N/A,117.01,6763.TWO,綠界科技*,168.81,📉 獲利侵蝕,42.7000007629,2026-03,2025,-178.65
N/A,⚪ 數據不足,0.0,-16.67,0.1,0.03,-4.35,10.32,N/A,-50.0,5251.TWO,天鉞電,162.23,📉 獲利侵蝕,28.2000007629,2026-03,2025,-178.89999999999998
N/A,⚪ 中性觀察,4.78437356934551,-26.34,1.42,8.57,295.65000000000003,7.88,N/A,-0.37,5403.TWO,中菲,152.96,📉 獲利侵蝕,94.3000030518,2026-03,2025,-179.3
N/A,❌ 暫避觀望,18.392857142857142,-81.89,0.48,0.01,21.0,-24.49,N/A,-99.85,3557.TW,嘉威,97.83,📉 獲利侵蝕,25.75,2026-03,2025,-179.72
26.67%,❌ 暫避觀望,39.502074688796675,-70.51,0.69,5.01,180.75,13.44,15.62%,31.15,3450.TW,聯鈞,109.26,📉 獲利侵蝕,476.0,2026-03,2025,-179.77
N/A,⚪ 中性觀察,5.246800870740403,-23.33,0.92,4.57,164.1,0.49,N/A,16.97,3303.TWO,岱稜,156.53,📉 獲利侵蝕,57.4000015259,2026-03,2025,-179.86
37.93%,❌ 暫避觀望,52.50000158958333,8.33,0.13,0.03,3.6,-8.17,11.05%,-94.0,1611.TW,中電,188.41,⚠️ 獲利稀釋,12.6000003815,2026-03,2025,-180.07999999999998
N/A,⚪ 中性觀察,6.1625706000189036,-48.65,0.57,3.27,79.35,-4.28,N/A,-56.63,8410.TWO,森田,131.75,📉 獲利侵蝕,32.5999984741,2026-03,2025,-180.4
N/A,⚪ 中性觀察,6.111111243567708,-24.52,1.18,5.04,172.79999999999998,22.39,N/A,-31.43,7736.TW,虎山,156.16,📉 獲利侵蝕,70.4000015259,2026-03,2025,-180.68
N/A,⚪ 中性觀察,3.996983408748114,-67.69,0.83,10.03,397.80000000000007,-1.52,N/A,-10.98,8467.TW,波力-KY,113.25,📉 獲利侵蝕,106.0,2026-03,2025,-180.94
N/A,⚪ 中性觀察,1.5994236860878963,152.58,2.45,3.44,208.2,55.14,N/A,66.99,5206.TWO,坤悅,334.61,⚠️ 獲利稀釋,22.2000007629,2026-03,2025,-182.03
N/A,❌ 暫避觀望,2685.0000381499976,100.0,0.02,0.05,0.15000000000000013,5.6,N/A,66.67,6168.TW,宏齊,282.06,⚠️ 獲利稀釋,26.8500003815,2026-03,2025,-182.06
29.80%,⚪ 數據不足,0.0,45.45,-0.12,-0.76,-23.549999999999997,16.01,-5.26%,18.37,2321.TW,東訊,228.74,⚠️ 獲利稀釋,15.5500001907,2026-03,2025,-183.29000000000002
39.87%,⚪ 中性觀察,6.962663975782038,-42.76,0.83,4.2,148.65,20.5,7.82%,2.69,2364.TW,倫飛,140.62,📉 獲利侵蝕,69.0,2026-03,2025,-183.38
N/A,⚪ 數據不足,0.0,-34.88,-1.18,-3.97,-152.85,4.22,N/A,-85.58,6496.TWO,科懋,148.52,📉 獲利侵蝕,25.1000003815,2026-03,2025,-183.4
N/A,⚪ 中性觀察,9.657236126224158,2.36,2.6,6.9,275.7,13.67,N/A,-8.99,6922.TWO,宸曜,186.36,⚠️ 獲利稀釋,177.5,2026-03,2025,-184.0
33.58%,⚪ 數據不足,0.0,8.33,-0.11,-0.36,-13.799999999999999,-1.34,-3.01%,-5.88,4121.TWO,優盛,192.47,⚠️ 獲利稀釋,13.1999998093,2026-03,2025,-184.14
N/A,⚪ 中性觀察,6.000000090284024,-99.76,0.01,1.57,126.74999999999999,-15.36,N/A,137.2,6684.TWO,安格,84.83,📉 獲利侵蝕,50.7000007629,2026-03,2025,-184.59
33.38%,⚪ 中性觀察,12.558795860771403,92.31,2.25,4.68,159.45,1.82,10.77%,-37.99,3088.TWO,艾訊,277.35,⚠️ 獲利稀釋,133.5,2026-03,2025,-185.04000000000002
N/A,⚪ 中性觀察,3.426656211589117,-45.58,1.23,10.02,380.4,6.1,N/A,13.09,8279.TWO,生展,139.57,📉 獲利侵蝕,86.9000015259,2026-03,2025,-185.14999999999998
31.73%,⚪ 中性觀察,8.342189160467587,26.37,1.15,3.45,141.15,2.32,2.59%,-5.22,1216.TW,統一,211.77,⚠️ 獲利稀釋,78.5,2026-03,2025,-185.4
N/A,⚪ 中性觀察,8.790322580645162,-2.33,0.42,2.65,92.99999999999999,5.66,N/A,22.61,7547.TWO,碩網,183.17,📉 獲利侵蝕,54.5,2026-03,2025,-185.5
N/A,❌ 暫避觀望,15.54597657301724,19.05,0.5,1.03,52.2,-13.56,N/A,-54.63,4952.TW,凌通,204.61,⚠️ 獲利稀釋,54.0999984741,2026-03,2025,-185.56
N/A,❌ 暫避觀望,16.84901531728665,6.4,1.34,4.0,137.10000000000002,6.74,N/A,4.76,6568.TWO,宏觀,192.19,⚠️ 獲利稀釋,154.0,2026-03,2025,-185.79
N/A,⚪ 中性觀察,3.9296636085626906,-12.5,4.41,13.97,490.50000000000006,-3.69,N/A,-26.4,6605.TW,帝寶,173.42,📉 獲利侵蝕,128.5,2026-03,2025,-185.92
38.51%,⚪ 中性觀察,10.353679406731318,-3.23,1.8,7.39,262.95,19.07,18.05%,4.56,3416.TW,融程電,182.83,📉 獲利侵蝕,181.5,2026-03,2025,-186.06
N/A,❌ 暫避觀望,71.6374269005848,46.38,1.02,1.8,76.95,-25.1,N/A,-65.38,6715.TW,嘉基,232.47,⚠️ 獲利稀釋,367.5,2026-03,2025,-186.09
33.00%,⚪ 中性觀察,7.791940789473684,-38.46,2.63,11.33,364.8,3.18,13.69%,-37.78,2474.TW,可成,147.7,📉 獲利侵蝕,189.5,2026-03,2025,-186.16
N/A,❌ 暫避觀望,22.791388270230136,9.03,1.57,5.73,202.05000000000004,6.37,N/A,19.71,8261.TW,富鼎,195.24,⚠️ 獲利稀釋,307.0,2026-03,2025,-186.21
N/A,⚪ 中性觀察,10.642377756471717,40.71,3.68,13.04,469.34999999999997,22.89,N/A,31.94,6138.TWO,茂達,226.99,⚠️ 獲利稀釋,333.0,2026-03,2025,-186.28
13.84%,⚪ 中性觀察,5.898550835217391,560.0,0.33,1.8,51.74999999999999,11.98,7.24%,25.87,3703.TW,欣陸,746.29,⚠️ 獲利稀釋,20.3500003815,2026-03,2025,-186.28999999999996
N/A,⚪ 數據不足,0.0,18.42,-0.31,-1.72,-57.3,-20.79,N/A,-129.33,6130.TWO,上亞科技,205.02,⚠️ 獲利稀釋,28.6000003815,2026-03,2025,-186.60000000000002
30.67%,❌ 暫避觀望,17.743830787309047,108.06,1.29,3.34,127.64999999999999,2.26,19.78%,-11.97,2303.TW,聯電,295.15,⚠️ 獲利稀釋,151.0,2026-03,2025,-187.08999999999997
18.12%,⚪ 數據不足,0.0,-34.62,0.17,0.21,-0.5999999999999996,-23.26,2.42%,-77.66,1468.TW,昶和,152.59,📉 獲利侵蝕,13.3500003815,2026-03,2025,-187.21
-8.98%,⚪ 數據不足,0.0,62.2,-0.31,-1.11,-46.50000000000001,-72.48,-223.66%,58.98,3466.TWO,德晉,249.55,⚠️ 獲利稀釋,31.3999996185,2026-03,2025,-187.35000000000002
41.27%,⚪ 數據不足,0.0,66.67,-0.07,0.49,-0.5999999999999996,29.3,10.21%,-63.43,3594.TWO,磐儀,254.52,⚠️ 獲利稀釋,52.9000015259,2026-03,2025,-187.85000000000002
38.42%,❌ 暫避觀望,41.41104294478528,118.18,0.96,2.01,73.35,20.44,13.23%,294.12,4576.TW,大銀微系統,306.09,⚠️ 獲利稀釋,202.5,2026-03,2025,-187.90999999999997
25.60%,⚪ 中性觀察,11.009817671809259,18.82,2.05,4.81,213.89999999999998,11.44,4.49%,-34.26,3289.TWO,宜特,207.08,⚠️ 獲利稀釋,157.0,2026-03,2025,-188.26000000000002
30.15%,⚪ 中性觀察,6.830357228013393,30.65,0.81,1.63,67.19999999999999,5.0,7.57%,27.34,1733.TW,五鼎,219.52,⚠️ 獲利稀釋,30.6000003815,2026-03,2025,-188.87
N/A,⚪ 數據不足,0.0,-41.67,0.28,-9.56,-268.8,-4.71,N/A,-431.94,6128.TW,上福,147.3,🔄 轉虧為盈,20.1000003815,2026-03,2025,-188.97000000000003
N/A,⚪ 中性觀察,4.312796208530806,-43.51,0.87,4.1,158.25,2.05,N/A,-13.68,9938.TW,百和,145.78,📉 獲利侵蝕,45.5,2026-03,2025,-189.29
33.75%,⚪ 中性觀察,4.520917678812416,-17.39,0.76,3.02,111.15,6.92,16.61%,48.04,4560.TW,強信-KY,171.96,📉 獲利侵蝕,33.5,2026-03,2025,-189.35000000000002
29.12%,⚪ 中性觀察,12.18981836786902,-81.73,1.54,15.5,586.35,-11.96,0.48%,-38.69,3693.TWO,營邦,107.78,📉 獲利侵蝕,476.5,2026-03,2025,-189.51
36.55%,⚪ 中性觀察,9.814197236779417,15.17,2.46,8.36,314.85,16.17,18.42%,17.2,3551.TWO,世禾,205.07,⚠️ 獲利稀釋,206.0,2026-03,2025,-189.9
42.20%,❌ 暫避觀望,22.18659826867586,9.67,3.29,13.99,467.85,20.89,19.22%,-6.3,1519.TW,華城,200.1,⚠️ 獲利稀釋,692.0,2026-03,2025,-190.43
43.31%,❌ 暫避觀望,27.795031055900623,3.13,0.33,1.13,24.15,-10.89,9.76%,-49.1,2495.TW,普安,194.32,⚠️ 獲利稀釋,44.75,2026-03,2025,-191.19
28.71%,⚪ 中性觀察,4.647560030983733,-17.11,1.9,5.77,193.65,2.41,12.48%,-18.35,4933.TWO,友輝,174.54,📉 獲利侵蝕,60.0,2026-03,2025,-191.64999999999998
N/A,⚪ 中性觀察,8.294478340380369,177.08,1.33,3.77,122.25,11.78,N/A,-7.65,6117.TW,迎廣,369.13,⚠️ 獲利稀釋,67.5999984741,2026-03,2025,-192.04999999999998
N/A,⚪ 數據不足,0.0,94.64,-0.03,-0.92,-30.450000000000003,-52.73,N/A,53.77,8477.TWO,創業家,286.81,⚠️ 獲利稀釋,16.0,2026-03,2025,-192.17000000000002
N/A,⚪ 中性觀察,6.616313892064451,39.39,1.38,3.53,148.95,19.44,N/A,61.93,3332.TWO,幸康,231.62,⚠️ 獲利稀釋,65.6999969482,2026-03,2025,-192.23000000000002
N/A,❌ 暫避觀望,21.20843471208435,64.76,1.73,4.85,184.95,0.88,N/A,-2.81,6672.TW,騰輝電子-KY,257.27,⚠️ 獲利稀釋,261.5,2026-03,2025,-192.51
N/A,⚪ 數據不足,0.0,-103.03,-0.67,-0.06,-22.8,12.63,N/A,-102.22,5201.TWO,凱衛,89.63,📉 獲利侵蝕,27.3500003815,2026-03,2025,-192.66
5.61%,⚪ 數據不足,0.0,-20.0,-0.48,-3.43,-106.95,-29.93,-198.78%,-35.42,3041.TW,揚智,172.74,📉 獲利侵蝕,25.6499996185,2026-03,2025,-192.74
19.80%,⚪ 中性觀察,12.442747509198472,-3.47,1.96,1.34,78.60000000000001,-9.64,-4.97%,-77.5,2066.TWO,世德,190.77,📉 獲利侵蝕,65.1999969482,2026-03,2025,-194.24
N/A,⚪ 數據不足,0.0,201.59,0.67,-2.87,-137.10000000000002,-3.81,N/A,-356.73,5263.TWO,智崴,396.14,🔄 轉虧為盈,100.0,2026-03,2025,-194.54999999999998
N/A,⚪ 中性觀察,5.831374853113983,24.03,3.82,14.08,510.59999999999997,15.02,N/A,39.41,6782.TW,視陽,219.37,⚠️ 獲利稀釋,198.5,2026-03,2025,-195.34
N/A,⚪ 中性觀察,12.427745664739884,22.93,2.52,7.1,285.45000000000005,19.26,N/A,19.42,7556.TWO,意德士,218.89,⚠️ 獲利稀釋,236.5,2026-03,2025,-195.95999999999998
N/A,⚪ 中性觀察,6.238095419738095,-4.35,0.44,1.72,63.0,-0.92,N/A,-31.2,8049.TWO,晶采,192.14,📉 獲利侵蝕,26.2000007629,2026-03,2025,-196.48999999999998
N/A,⚪ 中性觀察,6.514140451223388,10.24,3.66,12.71,472.04999999999995,16.17,N/A,10.57,4771.TW,望隼,206.96,⚠️ 獲利稀釋,205.0,2026-03,2025,-196.72
19.82%,⚪ 數據不足,0.0,-70.0,-0.51,-2.15,-69.45,-51.34,-262.93%,-73.98,2258.TW,鴻華先進-創,126.74,📉 獲利侵蝕,32.0999984741,2026-03,2025,-196.74
23.99%,⚪ 中性觀察,3.510498687664042,-61.08,0.72,6.07,228.6,16.17,12.10%,8.01,3078.TWO,僑威,135.88,📉 獲利侵蝕,53.5,2026-03,2025,-196.95999999999998
33.74%,⚪ 中性觀察,6.3442684766214175,8.26,6.55,20.25,795.6,0.95,16.17%,-9.03,4766.TW,南寶,205.28,⚠️ 獲利稀釋,336.5,2026-03,2025,-197.02
N/A,❌ 暫避觀望,16.295427901524032,28.57,0.9,3.08,127.95000000000002,29.59,N/A,62.03,8147.TWO,正淩,226.47,⚠️ 獲利稀釋,139.0,2026-03,2025,-197.9
58.07%,❌ 暫避觀望,35.37735849056604,-91.84,0.04,0.32,15.9,-4.54,-3.25%,-57.53,3040.TW,遠見,106.5,🏰 高護城河,37.5,2026-03,2025,-198.34
24.61%,⚪ 中性觀察,6.623931623931624,350.0,3.24,11.19,421.2,2.94,6.32%,24.88,1256.TW,鮮活果汁-KY,548.43,⚠️ 獲利稀釋,186.0,2026-03,2025,-198.42999999999995
33.35%,⚪ 中性觀察,6.550580431177446,-19.45,2.41,9.61,361.8,0.1,18.52%,4.45,4571.TW,鈞興-KY,179.22,📉 獲利侵蝕,158.0,2026-03,2025,-198.67
N/A,⚪ 中性觀察,8.128179198972532,-29.91,0.75,4.38,147.45,-3.53,N/A,-28.08,6245.TWO,立端,168.9,📉 獲利侵蝕,79.9000015259,2026-03,2025,-198.81
N/A,⚪ 中性觀察,6.407942238267149,0.64,1.6,6.77,249.29999999999995,6.29,N/A,5.71,9917.TW,中保科,199.94,⚠️ 獲利稀釋,106.5,2026-03,2025,-199.3
30.14%,⚪ 中性觀察,10.794573791279069,-17.07,0.35,0.93,38.7,-15.65,7.44%,-75.14,2201.TW,裕隆,182.28,📉 獲利侵蝕,27.8500003815,2026-03,2025,-199.35
37.83%,⚪ 中性觀察,14.897260273972602,53.66,1.95,5.99,219.00000000000003,7.08,26.59%,34.97,3264.TWO,欣銓,253.02,⚠️ 獲利稀釋,217.5,2026-03,2025,-199.36
N/A,⚪ 中性觀察,8.389830723983051,23.53,0.21,1.66,53.1,-10.2,N/A,-3.49,6662.TWO,樂斯科,223.18,⚠️ 獲利稀釋,29.7000007629,2026-03,2025,-199.65
N/A,⚪ 中性觀察,2.7237653732253087,-92.57,0.13,0.51,97.2,39.1,N/A,-76.4,7780.TW,大研生醫*,107.98,📉 獲利侵蝕,17.6499996185,2026-03,2025,-200.55
34.07%,⚪ 中性觀察,8.636688079942896,6.45,2.97,10.78,420.30000000000007,3.79,2.95%,-2.88,2912.TW,統一超,208.08,⚠️ 獲利稀釋,242.0,2026-03,2025,-201.63000000000002
48.58%,⚪ 中性觀察,9.291395516992047,-91.21,0.08,9.06,207.45,13.69,9.78%,13.11,1736.TW,喬山,110.9,📉 獲利侵蝕,128.5,2026-03,2025,-202.11
N/A,⚪ 中性觀察,9.61009209309633,58.9,1.17,3.92,130.8,5.25,N/A,17.71,8103.TW,瀚荃,261.03,⚠️ 獲利稀釋,83.8000030518,2026-03,2025,-202.12999999999997
39.10%,⚪ 中性觀察,10.532030401737243,-25.59,2.21,11.76,414.45,6.85,22.33%,-2.81,2428.TW,興勤,176.57,📉 獲利侵蝕,291.0,2026-03,2025,-202.16
N/A,⚪ 中性觀察,6.1310451227847125,17.61,1.67,5.64,192.29999999999998,-7.81,N/A,-14.93,6577.TWO,勁豐,219.85,⚠️ 獲利稀釋,78.5999984741,2026-03,2025,-202.24
N/A,⚪ 中性觀察,7.638888888888889,-1.22,0.82,1.73,70.19999999999999,0.66,N/A,-37.18,7732.TW,金興精密,201.11,📉 獲利侵蝕,35.75,2026-03,2025,-202.33
N/A,⚪ 中性觀察,7.56010699251113,-43.27,0.59,5.78,168.45000000000002,6.12,N/A,2.66,6486.TWO,互動,159.18,📉 獲利侵蝕,84.9000015259,2026-03,2025,-202.45000000000002
N/A,⚪ 中性觀察,3.621997423331226,41.46,2.91,5.37,237.30000000000004,2.9,N/A,-10.95,6757.TW,台灣虎航,244.12,⚠️ 獲利稀釋,57.2999992371,2026-03,2025,-202.66
32.18%,⚪ 中性觀察,14.219830899308223,-5.07,1.32,5.28,195.15000000000003,5.34,14.07%,-15.57,3042.TW,晶技,198.02,📉 獲利侵蝕,185.0,2026-03,2025,-203.09
N/A,❌ 暫避觀望,26.57247037374658,19.4,1.61,4.37,164.55,26.97,N/A,51.58,8028.TW,昇陽半導體,222.57,⚠️ 獲利稀釋,291.5,2026-03,2025,-203.17
