
📅 投資日報表: 2026-07-14
=======================================================================================================================================
代號     | 名稱       | 開盤     | 最高     | 最低     | 最新     | 成交量         | 平均成本    | 股數     | 損益       | 報酬%
---------------------------------------------------------------------------------------------------------------------------------------
2317     | 鴻海         | 237.50   | 237.50   | 237.50   | 237.50   | 0            | 241.21      | 2000     | ▼7,420    |   -1.54%
4142     | 國光生        | 17.65    | 17.65    | 17.65    | 17.65    | 0            | 25.32       | 1000     | ▼7,670    |  -30.29%
0050     | 元大台灣50     | 107.00   | 107.55   | 105.70   | 106.00   | 65,558,453   | 46.60       | 16000    | ▲950,400  | +127.47%
0056     | 元大高股息      | 52.65    | 52.65    | 52.65    | 52.65    | 0            | 36.43       | 4000     | ▲64,880   |  +44.52%
00635U   | 期元大S&P黃金   | 42.42    | 42.42    | 42.42    | 42.42    | 0            | 55.25       | 3000     | ▼38,490   |  -23.22%
00738U   | 期元大道瓊白銀    | 47.10    | 47.57    | 46.75    | 46.83    | 2,072,330    | 66.26       | 1000     | ▼19,430   |  -29.32%
00929    | 復華台灣科技優息   | 30.19    | 30.19    | 30.19    | 30.19    | 0            | 19.73       | 8000     | ▲83,680   |  +53.02%
009816   | 凱基台灣TOP50  | 15.23    | 15.23    | 15.23    | 15.23    | 0            | 11.01       | 63000    | ▲265,860  |  +38.33%
00990A   | 主動元大AI新經濟  | 18.16    | 18.30    | 17.60    | 17.60    | 27,963,593   | 11.48       | 5000     | ▲30,600   |  +53.31%
2009     | 第一銅        | 38.10    | 38.10    | 38.10    | 38.10    | 0            | 50.56       | 4000     | ▼49,840   |  -24.64%
2337     | 旺宏         | 143.50   | 143.50   | 143.50   | 143.50   | 0            | 95.28       | 2000     | ▲96,440   |  +50.61%
2409     | 友達         | 31.45    | 31.45    | 31.45    | 31.45    | 0            | 16.21       | 2000     | ▲30,480   |  +94.02%
3481     | 群創         | 65.30    | 65.30    | 65.30    | 65.30    | 0            | 25.10       | 4000     | ▲160,800  | +160.16%
3105     | 穩懋         | 406.00   | 406.00   | 406.00   | 406.00   | 0            | 556.47      | 300      | ▼45,141   |  -27.04%
4966     | 譜瑞-KY      | 655.00   | 655.00   | 655.00   | 655.00   | 0            | 1921.64     | 1000     | ▼1,266,640 |  -65.91%
2327     | 國巨*        | 900.00   | 900.00   | 900.00   | 900.00   | 0            | 1030.00     | 1        | ▼130      |  -12.62%
00403A   | 主動統一升級50   | 10.48    | 10.48    | 10.48    | 10.48    | 0            | 10.68       | 26000    | ▼5,200    |   -1.87%
00981A   | 主動統一台股增長   | 29.95    | 29.95    | 29.95    | 29.95    | 0            | 27.48       | 2000     | ▲4,940    |   +8.99%
2330     | 台積電        | 2415.00  | 2415.00  | 2415.00  | 2415.00  | 0            | 225.55      | 10       | ▲21,894   | +970.72%
6789     | 采鈺         | 515.00   | 515.00   | 515.00   | 515.00   | 0            | 593.50      | 400      | ▼31,400   |  -13.23%
6849     | 奇鼎科技       | 151.00   | 171.00   | 151.00   | 156.50   | 203,320      | 266.40      | 280      | ▼30,772   |  -41.25%
7853     | 政美應用       | 378.00   | 378.00   | 338.50   | 343.00   | 1,534,908    | 409.29      | 280      | ▼18,561   |  -16.20%
3576     | 聯合再生       | 16.40    | 16.40    | 16.40    | 16.40    | 0            | 18.15       | 5000     | ▼8,750    |   -9.64%
1721     | 三晃         | 23.85    | 23.85    | 23.85    | 23.85    | 0            | 27.88       | 3000     | ▼12,100   |  -14.47%
8215     | 明基材        | 28.30    | 28.30    | 28.30    | 28.30    | 0            | 31.60       | 200      | ▼660      |  -10.44%
00405A   | 主動富邦台灣龍耀   | 8.94     | 8.98     | 8.58     | 8.61     | 66,454,551   | 9.34        | 11000    | ▼8,030    |   -7.82%
5498     | 凱崴         | 59.70    | 59.70    | 59.70    | 59.70    | 0            | 69.61       | 188      | ▼1,863    |  -14.24%
1301     | 台塑         | 54.80    | 54.80    | 54.80    | 54.80    | 0            | 50.50       | 100      | ▲430      |   +8.51%
6498     | 久禾光        | 91.80    | 91.80    | 91.80    | 91.80    | 0            | 67.30       | 12       | ▲294      |  +36.40%
009821   | 野村稀土關鍵資源   | 13.35    | 13.35    | 13.35    | 13.35    | 0            | 17.30       | 12000    | ▼47,400   |  -22.83%
---------------------------------------------------------------------------------------------------------------------------------------
💰 庫存總投入:       6,426,664    📊 未實現損益:        +111,201 (  +1.73%)
