代號,名稱,現價,當日外資(張),當日投信(張),當日自營(張),Date,上週估買(張),這週估買(張),淨增進貨(張),增長倍數,5D股價漲跌,狀態
00941.TW,中信上游半導體,24.98,0,0,0,20260522,-740,596,1337,-0.8x,-0.48%,★ 壓低偷買
1304.TW,台聚,12.3,0,0,0,20260522,-195,1133,1329,-5.8x,0.41%,★ 壓低偷買
3596.TW,智易,189.0,0,0,0,20260522,-272,1046,1319,-3.8x,3.00%,▲ 順勢追意
3081.TWO,聯亞,2710.0,0,0,0,20260522,946,2258,1312,2.4x,2.07%,▲ 順勢追意
2491.TW,吉祥全,22.15,0,0,0,20260522,-735,576,1311,-0.8x,11.87%,▲ 順勢追意
4968.TW,立積,119.5,0,0,0,20260522,-291,1007,1299,-3.5x,7.17%,▲ 順勢追意
1436.TW,華友聯,45.45,0,0,0,20260522,-61,1195,1256,-19.4x,-1.62%,★ 壓低偷買
6449.TW,鈺邦,305.5,0,0,0,20260522,6196,7443,1247,1.2x,16.16%,▲ 順勢追意
3169.TWO,亞信,122.0,0,0,0,20260522,-457,770,1228,-1.7x,10.41%,▲ 順勢追意
00923.TW,群益台ESG低碳50,38.87,0,0,0,20260522,-678,546,1225,-0.8x,3.16%,▲ 順勢追意
6643.TWO,M31,601.0,0,0,0,20260522,-869,353,1223,-0.4x,-2.91%,★ 壓低偷買
6126.TWO,信音,36.0,0,0,0,20260522,812,2025,1212,2.5x,10.09%,▲ 順勢追意
2646.TW,星宇航空,20.45,0,0,0,20260522,-340,861,1201,-2.5x,1.74%,▲ 順勢追意
6533.TW,晶心科,240.0,0,0,0,20260522,-10,1180,1190,-116.8x,5.73%,▲ 順勢追意
00887.TWO,永豐中國科技50大,16.79,0,0,0,20260522,1804,2977,1172,1.6x,4.42%,▲ 順勢追意
6188.TWO,廣明,86.4,0,0,0,20260522,2616,3784,1168,1.4x,2.49%,▲ 順勢追意
7711.TW,永擎,389.0,0,0,0,20260522,-1020,141,1162,-0.1x,1.57%,▲ 順勢追意
4923.TWO,力士,40.2,0,0,0,20260522,-53,1097,1150,-20.5x,9.69%,▲ 順勢追意
4566.TW,時碩工業,63.2,0,0,0,20260522,-866,269,1136,-0.3x,0.80%,▲ 順勢追意
1905.TW,華紙,12.1,0,0,0,20260522,-1066,56,1123,-0.1x,0.83%,▲ 順勢追意
2420.TW,新巨,62.7,0,0,0,20260522,46,1159,1113,25.1x,10.58%,▲ 順勢追意
8104.TW,錸寶,35.4,0,0,0,20260522,-334,777,1112,-2.3x,4.42%,▲ 順勢追意
2066.TWO,世德,57.9,0,0,0,20260522,-1094,8,1103,-0.0x,-4.61%,★ 壓低偷買
6231.TWO,系微,293.5,0,0,0,20260522,-847,251,1098,-0.3x,3.89%,▲ 順勢追意
7750.TW,新代,2390.0,0,0,0,20260522,572,1652,1080,2.9x,-6.46%,★ 壓低偷買
6117.TW,迎廣,88.5,0,0,0,20260522,-65,1011,1076,-15.5x,7.80%,▲ 順勢追意
6150.TWO,撼訊,70.1,0,0,0,20260522,-568,478,1047,-0.8x,2.49%,▲ 順勢追意
1533.TW,車王電,38.85,0,0,0,20260522,87,1135,1047,12.9x,12.94%,▲ 順勢追意
6761.TWO,穩得,201.5,0,0,0,20260522,-809,233,1042,-0.3x,11.33%,▲ 順勢追意
1762.TW,中化生,37.95,0,0,0,20260522,-870,166,1037,-0.2x,5.86%,▲ 順勢追意
006208.TW,富邦台50,225.05,0,0,0,20260522,-312,712,1025,-2.3x,2.11%,▲ 順勢追意
1449.TW,佳和,12.65,0,0,0,20260522,-744,254,999,-0.3x,2.02%,▲ 順勢追意
9941.TW,裕融,73.5,0,0,0,20260522,-956,41,998,-0.0x,0.55%,▲ 順勢追意
4771.TW,望隼,192.5,0,0,0,20260522,-148,847,995,-5.7x,4.05%,▲ 順勢追意
4933.TWO,友輝,73.9,0,0,0,20260522,-835,159,994,-0.2x,9.64%,▲ 順勢追意
4127.TWO,天良,62.9,0,0,0,20260522,54,1031,976,18.8x,60.87%,▲ 順勢追意
2887I.TW,台新新光辛特,9.4,0,0,0,20260522,-545,427,972,-0.8x,0.11%,★ 壓低偷買
2887I.TW,台新新光辛特,9.4,0,0,0,20260522,-545,427,972,-0.8x,0.11%,★ 壓低偷買
3444.TWO,利機,97.0,0,0,0,20260522,-216,755,971,-3.5x,4.86%,▲ 順勢追意
1784.TWO,訊聯,71.3,0,0,0,20260522,-967,0,968,-0.0x,-2.33%,★ 壓低偷買
4513.TWO,福裕,15.05,0,0,0,20260522,-793,170,963,-0.2x,4.51%,▲ 順勢追意
3594.TWO,磐儀,52.0,0,0,0,20260522,-552,399,951,-0.7x,4.63%,▲ 順勢追意
1603.TW,華電,30.7,0,0,0,20260522,-909,20,929,-0.0x,2.33%,▲ 順勢追意
