eps_yoy,advice,gm,om,rev_yoy,prev_rev_yoy,prev_year,name,price,pe,prev_eps_yoy,est_price,expansion,status,prev_eps,eps,symbol,date
544.54,⚪ 數據不足,N/A,N/A,-17.0,-19.03,2025,琉園,0.0,0.0,1270.21,0.0,561.54,🧐 疑業外收益,5.5,5.29,9949.TWO,2025-12
550.0,⚪ 數據不足,N/A,N/A,0.1,-4.33,2025,康舒,57.4000015259,0.0,-90.0,-13.950000000000003,549.9,🔄 轉虧為盈,-0.38,0.18,6282.TW,2025-12
457.5,⚠️ 追價風險,43.42%,-66.51%,-10.43,-12.66,2025,吉祥全,22.1499996185,130.29411540294106,179.03,2.5500000000000025,467.93,🧐 疑業外收益,0.49,1.43,2491.TW,2025-12
461.54,⚠️ 追價風險,30.70%,-18.51%,20.59,18.74,2025,杭特,30.75,25.41322314049587,2600.0,18.15,440.95000000000005,🚀 利潤擴張,0.54,0.47,3297.TWO,2025-12
752.94,⚪ 數據不足,18.45%,4.44%,334.57,310.97,2025,博士旺,235.5,0.0,7.84,-9.599999999999998,418.37000000000006,🔄 轉虧為盈,-0.58,1.28,3555.TWO,2025-12
408.33,⚠️ 追價風險,22.27%,15.14%,-9.02,-10.45,2025,宏旭-KY,22.7999992371,25.909090042159097,38.89,13.199999999999998,417.34999999999997,🔄 轉虧為盈,-0.11,1.22,2243.TW,2025-12
474.47,⚠️ 追價風險,42.12%,18.24%,95.35,119.15,2025,大量,831.0,47.18909710391822,790.16,264.15000000000003,379.12,🚀 利潤擴張,5.45,8.13,3167.TW,2025-12
364.71,💎 強力關注,2.52%,0.23%,-9.55,-6.34,2025,宏洲,9.4200000763,8.563636433000001,326.32,16.499999999999996,374.26,🧐 疑業外收益,0.43,0.45,1413.TW,2025-12
377.27,⚠️ 追價風險,23.49%,7.74%,5.46,6.23,2025,雙鍵,320.0,123.55212355212356,187.32,38.849999999999994,371.81,🚀 利潤擴張,0.62,1.22,4764.TW,2025-12
382.35,💎 強力關注,N/A,N/A,12.01,13.03,2025,同亨,29.75,6.524122807017543,916.67,68.4,370.34000000000003,🚀 利潤擴張,1.26,1.69,5490.TWO,2025-12
358.33,💎 強力關注,N/A,N/A,-6.42,-10.3,2025,新天地,17.0,6.071428571428572,103.23,42.0,364.75,🧐 疑業外收益,0.02,0.55,8940.TW,2025-12
406.67,⚠️ 追價風險,69.49%,-15.39%,49.68,43.11,2025,倚強科,92.9000015259,23.34170892610553,179.66,59.699999999999996,356.99,🏰 高護城河,1.65,1.52,3219.TWO,2025-12
327.5,💎 強力關注,10.73%,-2.70%,0.41,-0.15,2025,友達,22.2000007629,8.740157780669291,185.25,38.1,327.09,🚀 利潤擴張,0.52,0.9,2409.TW,2025-12
346.24,💎 強力關注,15.60%,0.97%,29.26,30.37,2025,冠星-KY,92.0,4.287045666356011,114.76,321.90000000000003,316.98,🚀 利潤擴張,7.71,7.73,4439.TW,2025-12
