Stock_ID,Stock_Name,Date,Type,Price_Entry,Stop_Loss,Take_Profit,Status,Action,Vol_Spike,RSI,Validation_Date,Priority,Is_New
2103.TW,台橡,2026-04-20,看跌 FVG,18.85,19.09,17.91,❌ 已失效,實體過中線,0,41.12,2026-04-22,2,False
2369.TW,菱生,2026-04-23,看跌 FVG,29.8,31.41,28.31,❌ 已失效,實體過中線,0,46.28,-,2,False
4906.TW,正文,2026-04-23,看跌 FVG,35.9,38.69,34.1,💰 已達標,獲利點,0,38.46,2026-04-27,2,False
4927.TW,泰鼎-KY,2026-04-13,看漲 FVG,48.2,46.52,50.61,💰 已達標,獲利點,1,55.02,2026-04-15,2,False
4967.TW,十銓,2026-04-21,看漲 FVG,235.0,219.4,246.75,💰 已達標,獲利點,1,59.0,-,2,False
2344.TW,華邦電,2026-04-21,看漲 FVG,88.9,87.96,93.35,❌ 已失效,實體破中線,0,47.48,-,3,False
2408.TW,南亞科,2026-04-23,看跌 FVG,210.5,215.07,199.97,❌ 已失效,實體過中線,1,48.74,-,3,False
3006.TW,晶豪科,2026-04-21,看漲 FVG,158.0,154.22,165.9,❌ 已失效,實體破中線,0,46.21,-,3,False
3260.TWO,威剛,2026-04-21,看漲 FVG,386.5,366.16,405.83,💰 已達標,獲利點,0,55.38,2026-04-23,3,False
5351.TWO,鈺創,2026-04-23,看跌 FVG,65.9,67.94,62.61,💰 已達標,獲利點,1,43.58,-,3,False
5483.TWO,中美晶,2026-04-24,看漲 FVG,139.0,135.32,145.95,⏳ 待回測,監控中,0,76.09,-,3,False
8112.TW,至上,2026-04-23,看跌 FVG,84.2,86.93,79.99,❌ 已失效,實體過中線,0,63.74,-,3,False
2313.TW,華通,2026-04-23,看跌 FVG,224.0,245.22,212.8,❌ 已失效,實體過中線,0,31.8,-,4,False
2464.TW,盟立,2026-04-20,看漲 FVG,84.0,79.6,88.2,💰 已達標,獲利點,1,73.01,-,4,False
3031.TW,佰鴻,2026-04-20,看跌 FVG,31.95,32.21,30.35,💰 已達標,獲利點,0,70.75,2026-04-22,4,False
6488.TWO,環球晶,2026-04-21,看漲 FVG,583.0,552.23,612.15,💰 已達標,獲利點,1,78.07,2026-04-23,4,False
