     Stock       Name  Score    Close                          BuyReason
  4908.TWO         前鼎    4.0    95.80             ADX轉強 | 【營收爆發(66.88%)】
  5475.TWO         德宏    4.0   212.00            ADX轉強 | 【營收爆發(101.73%)】
   3535.TW        晶彩科    4.0   140.00           ADX轉強 | 【營收爆發(9477.22%)】
  6217.TWO        中探針    4.0   103.00             ADX轉強 | 【營收爆發(55.74%)】
  4123.TWO         晟德    4.0    45.00             ADX轉強 | 【營收爆發(56.42%)】
   2884.TW        玉山金    4.0    34.90             ADX轉強 | 【營收爆發(40.52%)】
  8431.TWO        匯鑽科    4.0    70.10              ADX轉強 | 【營收爆發(32.1%)】
  5516.TWO         雙喜    4.0    14.00             ADX轉強 | 【營收爆發(45.64%)】
   1714.TW         和桐    4.0     9.83             ADX轉強 | 【營收爆發(57.95%)】
   6861.TW       睿生光電    4.0   125.00             ADX轉強 | 【營收爆發(45.48%)】
  3709.TWO      鑫聯大投控    4.0    76.20            ADX轉強 | 【營收爆發(132.66%)】
  3508.TWO         位速    4.0    40.00             ADX轉強 | 【營收爆發(30.65%)】
  4903.TWO        聯光通    4.0    43.80            ADX轉強 | 【營收爆發(166.92%)】
   5471.TW         松翰    4.0    46.75              ADX轉強 | 【營收爆發(56.5%)】
  8087.TWO       麗升能源    4.0    35.20             ADX轉強 | 【營收爆發(883.4%)】
   2890.TW        永豐金    4.0    32.85             ADX轉強 | 【營收爆發(55.15%)】
   3030.TW         德律    4.0   245.50             ADX轉強 | 【營收爆發(38.53%)】
   3033.TW         威健    4.0    31.60             ADX轉強 | 【營收爆發(59.01%)】
   2406.TW         國碩    4.0    36.35            ADX轉強 | 【營收爆發(188.65%)】
  7583.TWO       國際海洋    4.0    67.80             ADX轉強 | 【營收爆發(64.81%)】
  6124.TWO         業強    4.0    34.50             ADX轉強 | 【營收爆發(50.45%)】
   6415.TW     矽力*-KY    3.5   273.00           【EPS連2成長 | 營收爆發(46.42%)】
   8046.TW         南電    3.5   541.00           【EPS連2成長 | 營收爆發(44.98%)】
   8462.TW         柏文    3.5   141.50           【EPS連2成長 | 營收爆發(30.55%)】
  5289.TWO         宜鼎    3.5   856.00          【EPS連2成長 | 營收爆發(307.11%)】
   2535.TW        達欣工    3.5    73.80           【EPS連2成長 | 營收爆發(188.6%)】
  2948.TWO         寶陞    3.5    39.85                  ADX轉強 | 【EPS連2成長】
   3443.TW         創意    3.5  2645.00          【EPS連2成長 | 營收爆發(107.78%)】
   8028.TW      昇陽半導體    3.5   183.00                  ADX轉強 | 【EPS連2成長】
   8150.TW         南茂    3.5    67.90           【EPS連2成長 | 營收爆發(31.23%)】
   2885.TW        元大金    3.5    47.25           【EPS連2成長 | 營收爆發(36.23%)】
   2356.TW        英業達    3.5    44.75           【EPS連2成長 | 營收爆發(34.84%)】
   5484.TW         慧友    3.5    39.00          【EPS連2成長 | 營收爆發(137.98%)】
  5498.TWO         凱崴    3.5    64.90           【EPS連2成長 | 營收爆發(54.92%)】
  6884.TWO        海柏特    3.5    36.90           【EPS連2成長 | 營收爆發(51.33%)】
   6830.TW         汎銓    3.5   313.50                  ADX轉強 | 【EPS連2成長】
   3454.TW         晶睿    3.5    99.50                  ADX轉強 | 【EPS連2成長】
   6202.TW         盛群    3.5    62.60                  ADX轉強 | 【EPS連2成長】
   2059.TW         川湖    3.5  3420.00            【EPS連2成長 | 營收爆發(43.9%)】
   2374.TW         佳能    3.5    79.00           【EPS連2成長 | 營收爆發(109.5%)】
   1597.TW         直得    3.5    81.20           【EPS連2成長 | 營收爆發(39.89%)】
  4556.TWO         旭然    3.5    27.65           【EPS連2成長 | 營收爆發(31.02%)】
   2423.TW         固緯    3.5    48.90           【EPS連2成長 | 營收爆發(46.67%)】
   2605.TW         新興    3.5    37.10                  ADX轉強 | 【EPS連2成長】
   6579.TW         研揚    3.5   114.00            【EPS連2成長 | 營收爆發(35.2%)】
  5223.TWO      安力-KY    3.5    30.10                  ADX轉強 | 【EPS連2成長】
  5864.TWO        致和證    3.5    26.55         【EPS連2成長 | 營收爆發(8548.66%)】
  3374.TWO         精材    3.5   190.50            【EPS連2成長 | 營收爆發(45.8%)】
   7786.TW       東方風能    3.5   158.00            【EPS連2成長 | 營收爆發(62.9%)】
  6275.TWO         元山    3.5    52.40           【EPS連2成長 | 營收爆發(40.35%)】
   3092.TW         鴻碩    3.5    35.35                  ADX轉強 | 【EPS連2成長】
  8069.TWO         元太    3.5   184.00                  ADX轉強 | 【EPS連2成長】
   2606.TW         裕民    3.5    67.70                  ADX轉強 | 【EPS連2成長】
   2317.TW         鴻海    3.5   239.00           【EPS連2成長 | 營收爆發(35.53%)】
   7610.TW     聯友金屬-創    3.5   327.00          【EPS連2成長 | 營收爆發(422.68%)】
