代號,名稱,前日均價,報買價,報買量,報賣價,報賣量,日最高,日最低,日均價,成交,成交量,進度日期,上市櫃進度(註)
1260,富味鄉,23.75,22.85,3000,24.0,6000,23.75,22.50,23.35,23.50,113895,-,
1269,乾杯,68.79,66.3,3000,69.5,2982,69.50,69.50,69.50,69.50,18,-,
1271,晨暉生技,63.90,62.0,5000,63.0,3000,64.00,62.00,62.99,62.10,83946,-,
1293,利統,26.75,26.7,6000,27.7,3000,27.85,26.70,26.87,27.85,6752,-,
1343,旭東環保,19.14,20.3,1550,21.0,2994,21.25,19.25,19.69,21.00,110450,-,
1480,東盟開發,9.10,9.08,5000,9.15,5000,9.10,9.10,9.10,9.10,5000,-,
1594,日高,8.29,7.85,5000,8.21,4803,8.21,7.62,7.91,8.21,85998,-,
2071,震南鐵,21.91,24.5,2790,25.15,4000,25.15,21.40,23.16,25.15,209478,-,
2237,華德動能,38.81,38.05,3000,39.95,3000,39.50,38.50,39.05,39.20,118120,115/03/09,證交所同意創新板上市契約
2245,詠勝昌*,26.75,26.65,3000,28.0,4000,28.00,26.65,27.91,27.95,12622,-,
2249,湧盛,111.73,110.0,2000,112.0,1990,112.50,109.50,111.07,112.00,55852,115/05/08,送件申請上櫃
2252,為昇科,15.98,15.55,5000,15.85,4950,15.95,15.70,15.77,15.85,76632,-,
2255,凱銳光電,17.58,16.85,5000,17.6,2000,17.60,16.40,17.05,17.60,86076,-,
2256,歐特明,69.99,69.1,3000,72.5,2999,73.50,69.90,71.40,72.50,102351,-,
2644,中信造船,80.43,80.0,3000,80.3,3000,80.90,79.00,79.68,80.30,768159,-,
2733,維格餅家,10.80,10.7,10000,11.25,10000,11.25,11.25,11.25,11.25,1,-,
2741,老四川,20.98,20.4,3000,21.05,2976,21.10,20.50,20.65,21.05,27043,-,
2758,路易莎咖啡,67.98,66.8,3000,68.9,2990,68.90,66.80,67.94,68.90,10033,-,
2760,巨宇翔,16.56,16.45,10000,17.3,9000,17.30,17.30,17.30,17.30,1000,-,
2761,橘焱胡同,15.17,14.75,6000,15.35,5000,15.30,14.75,14.95,14.80,15015,-,
2938,床的世界,23.10,22.4,3000,23.1,1457,23.10,22.95,23.02,23.10,3543,115/04/29,送件申請上櫃
2940,歐都納,24.53,24.4,3000,24.75,3000,24.75,24.70,24.73,24.75,3000,-,
2942,京站,37.82,37.4,3000,38.15,6000,37.80,37.40,37.44,37.40,5100,-,
3097,拍檔,25.16,25.0,2900,26.0,2898,26.00,25.00,25.17,26.00,5311,-,
3117,年程,24.74,26.5,1000,27.45,1900,27.50,25.25,26.23,26.50,329400,-,
3184,微邦,16.58,17.2,5000,17.6,6997,17.60,15.90,16.75,17.60,636748,-,
3473,智通聯網,90.02,89.9,3000,92.0,2998,92.00,89.00,89.85,92.00,6013,-,
3585,聯致,67.13,67.3,6000,68.3,8000,71.00,65.70,67.71,68.30,1601033,-,
3595,山太士,2626.22,2505.0,2000,2570.0,1840,2665.00,2485.00,2573.80,2570.00,422849,115/06/17,送件申請上櫃
3603,建祥國際,7.80,7.8,10000,8.2,4990,8.20,8.20,8.20,8.20,10,-,
3633,云光,120.36,121.5,2000,122.5,4949,123.00,120.00,121.77,122.50,11866,-,
3644,凌嘉科,286.71,327.5,2000,329.5,1800,331.50,292.00,312.97,329.50,725125,-,
3659,百辰,22.14,22.5,3000,23.6,3000,23.10,22.20,22.55,23.10,11000,-,
3678,聯享,47.11,47.0,3000,48.25,3000,48.10,44.90,46.42,48.10,152964,-,
4115,善德生技,7.47,7.4,10000,7.7,9999,7.76,7.40,7.47,7.70,55435,-,
4117,普生,12.28,12.7,4998,13.25,3998,14.05,12.35,12.93,12.70,609004,-,
4150,優你康,5.09,5.0,5000,5.09,5000,5.14,5.00,5.06,5.09,283580,-,
4170,鑫品生醫,12.57,12.1,5000,12.6,8900,12.65,12.10,12.47,12.60,31448,-,
