om,name,prev_rev_yoy,price,eps_yoy,rev_yoy,date,gm,prev_eps_yoy,status,prev_year,advice,pe,prev_eps,est_price,symbol,expansion,eps
35.36%,威剛,22.8,445.5,144.7,32.13,2025-12,48.37%,19.56,🚀 利潤擴張,2025,💎 強力關注,11.287053458322777,10.08,592.05,3260.TWO,112.57,23.18
14.50%,千興,-15.81,12.0,87.32,-22.64,2025-12,-19.82%,28.07,🧐 疑業外收益,2025,⚪ 數據不足,0.0,-0.41,-17.700000000000003,2025.TW,109.96,-0.18
N/A,大拓-KY,-7.04,28.0499992371,102.7,-6.4,2025-12,N/A,104.35,🧐 疑業外收益,2025,⚪ 數據不足,0.0,0.02,-4.95,8455.TWO,109.10000000000001,0.02
N/A,佳龍,17.8,29.3500003815,134.62,26.06,2025-12,N/A,50.67,🔄 轉虧為盈,2025,⚪ 數據不足,0.0,-0.37,-5.399999999999999,9955.TW,108.56,0.54
N/A,十銓,-15.55,285.5,110.31,2.46,2025-12,N/A,-46.86,🚀 利潤擴張,2025,✅ 穩健價值,15.308310991957104,3.47,279.75000000000006,4967.TW,107.85000000000001,13.06
N/A,創業家,-51.54,16.5,53.77,-52.73,2025-12,N/A,80.0,🧐 疑業外收益,2025,⚪ 數據不足,0.0,-0.62,-38.4,8477.TWO,106.5,-0.92
17.13%,國建,7.39,22.3999996185,108.09,1.8,2025-12,26.51%,127.38,🚀 利潤擴張,2025,💎 強力關注,3.561208206438792,1.91,94.35,2501.TW,106.29,2.83
N/A,威潤,5.09,44.2000007629,168.25,63.6,2025-12,N/A,29.25,🔄 轉虧為盈,2025,⚪ 數據不足,0.0,-0.75,-14.549999999999999,6465.TWO,104.65,0.86
16.62%,凌航,34.74,213.5,143.64,39.88,2025-12,19.12%,-29.03,🚀 利潤擴張,2025,⚠️ 追價風險,24.427917620137304,1.5,131.09999999999997,3135.TW,103.75999999999999,6.33
N/A,撼訊,77.79,66.5,164.15,61.2,2025-12,N/A,156.36,🚀 利潤擴張,2025,✅ 穩健價值,12.500000000000002,1.55,79.8,6150.TWO,102.95,2.63
2.26%,麗臺,32.51,85.4000015259,107.41,5.42,2025-12,10.44%,102.43,🚀 利潤擴張,2025,⚠️ 追價風險,66.71875119210937,0.09,19.2,2465.TW,101.99,0.43
-1.48%,誠品生活,2.58,36.2999992371,100.0,1.84,2025-12,40.82%,241.67,🚀 利潤擴張,2025,⚠️ 追價風險,28.58267656464567,0.34,19.05,2926.TWO,98.16,0.54
7.07%,錩泰,28.08,22.2000007629,118.87,21.45,2025-12,19.55%,41.94,🚀 利潤擴張,2025,💎 強力關注,5.068493324863014,1.32,65.7,1541.TW,97.42,2.32
0.24%,虹光,9.38,5.8099999428,110.31,13.61,2025-12,24.41%,133.57,🚀 利潤擴張,2025,💎 強力關注,2.9948453313402066,0.47,29.099999999999998,2380.TW,96.7,0.72
N/A,IET-KY,54.63,795.0,146.97,50.49,2025-12,N/A,103.17,🚀 利潤擴張,2025,⚪ 數據不足,0.0,0.09,-7.0500000000000025,4971.TWO,96.47999999999999,1.65
N/A,雙喜,7.31,10.8000001907,104.43,8.41,2025-12,N/A,116.43,🚀 利潤擴張,2025,⚪ 數據不足,0.0,0.34,-7.35,5516.TWO,96.02000000000001,0.16
-9.15%,上詮,49.52,920.0,134.04,38.72,2025-12,12.43%,317.65,🚀 利潤擴張,2025,⚠️ 追價風險,1295.774647887324,0.37,10.65,3363.TWO,95.32,0.16
N/A,竹陞科技,94.38,1345.0,191.99,96.69,2025-12,N/A,167.2,🚀 利潤擴張,2025,⚠️ 追價風險,38.771980397809166,10.13,520.3499999999999,6739.TWO,95.30000000000001,16.13
