代號,名稱,Date,現價,上週估買(張),這週估買(張),淨增進貨(張),增長倍數,5D股價漲跌,狀態
6770.TW,力積電,20260520,57.8,-396849,467103,863952,-1.2x,-4.46%,★ 壓低偷買
5425.TWO,台半,20260520,86.9,-308106,195280,503387,-0.6x,14.04%,▲ 順勢追意
2313.TW,華通,20260520,255.0,-132424,210137,342562,-1.6x,7.59%,▲ 順勢追意
00999A.TW,主動野村臺灣高息,20260520,9.99,-304665,21766,326432,-0.1x,-5.58%,★ 壓低偷買
00991A.TW,主動復華未來50,20260520,16.93,-89483,229282,318765,-2.6x,-6.57%,★ 壓低偷買
6116.TW,彩晶,20260520,9.85,-254420,36914,291334,-0.1x,-12.44%,★ 壓低偷買
8096.TWO,擎亞,20260520,107.5,-63347,211935,275282,-3.3x,13.64%,▲ 順勢追意
4916.TW,事欣科,20260520,89.9,6983,225383,218399,32.3x,37.88%,▲ 順勢追意
5439.TWO,高技,20260520,364.5,-167935,17219,185155,-0.1x,-2.54%,★ 壓低偷買
1785.TWO,光洋科,20260520,138.0,-162096,9323,171420,-0.1x,-10.39%,★ 壓低偷買
6127.TWO,九豪,20260520,52.1,375,156870,156495,417.7x,9.68%,▲ 順勢追意
8028.TW,昇陽半導體,20260520,258.5,-10047,144857,154905,-14.4x,8.61%,▲ 順勢追意
2027.TW,大成鋼,20260520,41.15,25814,174872,149057,6.8x,8.01%,▲ 順勢追意
00400A.TW,主動國泰動能高息,20260520,12.72,-21938,115760,137699,-5.3x,-8.82%,★ 壓低偷買
2484.TW,希華,20260520,44.3,-58911,61975,120886,-1.1x,16.89%,▲ 順勢追意
1582.TW,信錦,20260520,107.0,586,120195,119608,204.9x,16.30%,▲ 順勢追意
00997A.TW,主動群益美國增長,20260520,11.81,-68151,49834,117985,-0.7x,-7.23%,★ 壓低偷買
8358.TWO,金居,20260520,460.0,-98726,16460,115187,-0.2x,0.88%,▲ 順勢追意
3707.TWO,漢磊,20260520,72.8,688,114942,114253,166.9x,0.00%,★ 壓低偷買
6209.TW,今國光,20260520,78.9,-6929,104539,111468,-15.1x,27.05%,▲ 順勢追意
6239.TW,力成,20260520,234.5,-28982,76303,105285,-2.6x,1.08%,▲ 順勢追意
00982A.TW,主動群益台灣強棒,20260520,21.06,-14442,84800,99242,-5.9x,-6.28%,★ 壓低偷買
8261.TW,富鼎,20260520,149.0,-23949,73372,97322,-3.1x,12.88%,▲ 順勢追意
1711.TW,永光,20260520,46.8,-91888,4924,96813,-0.1x,-8.77%,★ 壓低偷買
009820.TW,元大納斯達克精選,20260520,10.04,208592,304132,95539,1.5x,0.20%,★ 壓低偷買
4960.TW,誠美材,20260520,33.15,-77664,4596,82261,-0.1x,-3.49%,★ 壓低偷買
3048.TW,益登,20260520,61.7,53906,134415,80508,2.5x,32.83%,▲ 順勢追意
6175.TWO,立敦,20260520,81.5,-27933,37972,65906,-1.4x,18.80%,▲ 順勢追意
5309.TWO,系統電,20260520,67.7,6660,69617,62956,10.5x,5.95%,▲ 順勢追意
2388.TW,威盛,20260520,81.7,-14664,47862,62527,-3.3x,9.22%,▲ 順勢追意
2489.TW,瑞軒,20260520,42.55,-28395,32072,60468,-1.1x,3.03%,▲ 順勢追意
4956.TW,光鋐,20260520,43.0,-47696,7551,55247,-0.2x,-0.58%,★ 壓低偷買
