股號,名稱,開盤,最高,最低,現價,漲跌,狀態
2317,鴻海,195.0,195.5,189.5,192.0,-1.00 (-0.52%),進入盤整 -> 趨勢運行
3702,大聯大,90.0,90.8,88.4,89.1,+1.10 (+1.25%),進入盤整 -> 趨勢運行
2485,兆赫,80.7,84.3,72.5,73.1,-5.40 (-6.88%),進入盤整 -> 趨勢運行
2367,燿華,73.5,75.0,71.3,71.7,+0.20 (+0.28%),均線糾撐
4142,國光生,18.7,18.8,18.1,18.2,-0.70 (-3.70%),均線糾撐
0050,元大台灣50,75.15,75.45,74.65,75.3,+1.35 (+1.83%),均線糾撐
0056,元大高股息,38.08,38.18,37.92,38.07,+0.25 (+0.66%),均線糾撐
00635U,期元大S&P黃金,49.33,49.33,48.78,48.98,-0.36 (-0.73%),趨勢運行
00738U,期元大道瓊白銀,58.85,59.85,58.65,58.85,+0.30 (+0.51%),趨勢運行
00929,復華台灣科技優息,18.97,19.07,18.92,18.96,+0.23 (+1.23%),均線糾撐
009816,凱基台灣TOP50,10.65,10.72,10.6,10.68,+0.19 (+1.81%),均線糾撐
00990A,主動元大AI新經濟,12.24,12.35,12.22,12.33,+0.47 (+3.96%),均線糾撐
2009,第一銅,40.5,40.5,39.7,39.7,-0.25 (-0.63%),均線糾撐
2337,旺宏,135.5,137.5,134.0,136.5,+7.50 (+5.81%),進入盤整 -> 趨勢運行
2352,佳世達,23.35,23.5,23.1,23.2,-0.10 (-0.43%),均線糾撐
2409,友達,17.5,17.65,16.05,16.25,-0.60 (-3.56%),均線糾撐
3481,群創,25.3,25.5,24.0,24.05,-0.60 (-2.43%),趨勢運行
6136,富爾特,24.45,24.5,24.15,24.2,-0.10 (-0.41%),均線糾撐
6806,森崴能源,31.3,31.3,31.3,31.3,-3.45 (-9.93%),進入盤整 -> 離開盤整 (向下)
3105,穩懋,396.5,413.0,391.0,407.0,+31.00 (+8.24%),進入盤整 -> 趨勢運行
4966,譜瑞-KY,468.0,477.0,464.0,475.0,+11.50 (+2.48%),趨勢運行
6188,廣明,86.5,86.9,85.8,86.9,+1.40 (+1.64%),趨勢運行
7792,安葆,315.0,316.5,310.0,315.5,+6.50 (+2.10%),均線糾撐
2327,國巨*,250.0,257.0,249.5,256.0,+10.00 (+4.07%),均線糾撐
