股號,名稱,現價,漲跌幅,建議
2317,鴻海,193.0,0.00%,賣出
3702,大聯大,88.0,0.00%,賣出
2485,兆赫,78.5,0.00%,賣出
2367,燿華,71.5,0.00%,賣出
4142,國光生,18.9,0.00%,續抱/觀望
0050,元大台灣50,73.95,0.00%,賣出
0056,元大高股息,38.04,0.58%,賣出
00635U,期元大S&P黃金,49.34,0.00%,賣出
00738U,期元大道瓊白銀,58.55,0.00%,賣出
00929,復華台灣科技優息,18.73,0.00%,賣出
009816,凱基台灣TOP50,10.49,0.00%,賣出
00990A,主動元大AI新經濟,11.86,0.00%,賣出
2009,第一銅,39.95,0.00%,賣出
2337,旺宏,136.0,5.43%,續抱/觀望
2352,佳世達,23.3,0.00%,賣出
2409,友達,16.25,-3.56%,續抱/觀望
3481,群創,24.25,-1.62%,賣出
6136,富爾特,24.3,0.00%,續抱/觀望
6806,森崴能源,34.75,0.00%,賣出
3105,穩懋,376.0,0.00%,賣出
4966,譜瑞-KY,463.5,0.00%,賣出
6188,廣明,85.5,0.00%,賣出
7792,安葆,309.0,0.00%,賣出
2327,國巨*,246.0,0.00%,賣出
