代碼,名稱,現價,狀態
2317,鴻海,192.0,WAIT
3702,大聯大,89.1,WAIT
2485,兆赫,73.1,WAIT
2367,燿華,71.7,WAIT
4142,國光生,18.2,WAIT
0050,元大台灣50,75.3,WAIT
0056,元大高股息,38.07,WAIT
00635U,期元大S&P黃金,48.98,WAIT
00738U,期元大道瓊白銀,58.85,WAIT
00929,復華台灣科技優息,18.96,WAIT
009816,凱基台灣TOP50,10.68,WAIT
00990A,主動元大AI新經濟,12.33,WAIT
2009,第一銅,39.7,WAIT
2337,旺宏,136.5,WAIT
2352,佳世達,23.2,WAIT
2409,友達,16.25,WAIT
3481,群創,24.05,WAIT
6136,富爾特,24.2,WAIT
6806,森崴能源,31.3,WAIT
3105,穩懋,407.0,WAIT
4966,譜瑞-KY,475.0,WAIT
6188,廣明,86.9,WAIT
7792,安葆,315.5,WAIT
2327,國巨*,256.0,WAIT
