📊 量化獲利品質診斷報告 - 基準日: 20260407 (生成時間: 2026-04-18 19:28)
代號       名稱           價格         PE       15X推估        空間%        狀態
----------------------------------------------------------------------------------------------------
4916.TW    事欣科        54.30      13.15      61.95           8049.11%    🚀 利潤擴張
3062.TW    建漢         28.85      4.60       94.05           6583.45%    🚀 利潤擴張
2547.TW    日勝生        10.70      0.95       169.50          3625.39%    🧐 疑業外收益
6649.TWO   台生材        43.91      10.63      61.95           3471.78%    🚀 利潤擴張
3189.TW    景碩         358.50     47.36      113.55          3043.86%    🚀 利潤擴張
5521.TW    工信         12.65      12.52      15.15           2472.68%    🚀 利潤擴張
4523.TWO   永彰         29.75      0.78       573.75          1569.15%    🧐 疑業外收益
1432.TW    大魯閣        17.40      3.14       83.10           1497.70%    🔄 轉虧為盈
4542.TWO   科嶠         155.65     49.57      47.10           1462.34%    🚀 利潤擴張
3708.TW    上緯投控       113.00     3.08       550.65          1307.40%    🧐 疑業外收益
4903.TWO   聯光通        44.95      27.08      24.90           1292.63%    🚀 利潤擴張
1815.TWO   富喬         102.00     33.44      45.75           1075.98%    🚀 利潤擴張
5284.TW    jpp-KY     282.50     9.97       424.95          1048.91%    🚀 利潤擴張
5488.TWO   松普         10.00      27.03      5.55            1008.11%    🧐 疑業外收益
2331.TW    精英         20.90      4.35       72.00            966.30%    🚀 利潤擴張
4123.TWO   晟德         40.95      2.50       245.40           912.20%    🧐 疑業外收益
6166.TW    凌華         57.60      13.06      66.15            904.65%    🚀 利潤擴張
1529.TW    樂事綠能       23.25      8.04       43.35            844.03%    🚀 利潤擴張
3081.TWO   聯亞         2005.00    217.46     138.30           802.46%    🚀 利潤擴張
6182.TWO   合晶         30.70      0.00       0.00             787.43%    🔄 轉虧為盈
2102.TW    泰豐         20.10      13.31      22.65            722.00%    🔄 轉虧為盈
4414.TW    如興         0.00       0.00       0.00             705.37%    🧐 疑業外收益
3236.TWO   千如         29.60      118.40     3.75             689.09%    🚀 利潤擴張
2323.TW    中環         10.75      22.40      7.20             688.58%    🧐 疑業外收益
4413.TWO   飛寶企業       17.50      0.00       -9.45            668.56%    🔄 轉虧為盈
4924.TWO   欣厚-KY      10.05      20.94      7.20             656.01%    🚀 利潤擴張
3002.TW    歐格         18.25      16.01      17.10            603.24%    🚀 利潤擴張
2344.TW    華邦電        89.40      388.70     3.45             567.37%    🚀 利潤擴張
3054.TW    立萬利        60.70      23.35      39.00            563.39%    🚀 利潤擴張
6282.TW    康舒         42.70      0.00       -13.95           549.90%    🔄 轉虧為盈
2491.TW    吉祥全        14.55      85.59      2.55             467.93%    🧐 疑業外收益
3297.TWO   杭特         32.65      26.98      18.15            440.95%    🚀 利潤擴張
3555.TWO   博士旺        165.00     0.00       -9.60            418.37%    🔄 轉虧為盈
2243.TW    宏旭-KY      20.90      23.75      13.20            417.35%    🔄 轉虧為盈
3167.TW    大量         490.00     27.83      264.15           379.12%    🚀 利潤擴張
1413.TW    宏洲         9.93       9.03       16.50            374.26%    🧐 疑業外收益
4764.TW    雙鍵         124.00     47.88      38.85            371.81%    🚀 利潤擴張
5490.TWO   同亨         26.45      5.80       68.40            370.34%    🚀 利潤擴張
3219.TWO   倚強科        61.40      15.43      59.70            356.99%    🚀 利潤擴張
2409.TW    友達         16.25      6.40       38.10            327.09%    🚀 利潤擴張
4439.TW    冠星-KY      86.00      4.01       321.90           316.98%    🚀 利潤擴張
2399.TW    映泰         34.50      0.00       -2.70            289.09%    🔄 轉虧為盈
2498.TW    宏達電        39.25      1.64       359.25           281.70%    🧐 疑業外收益
6165.TW    浪凡         0.00       0.00       0.00             275.27%    🚀 利潤擴張
