advice,est_price,rev_yoy,eps,om,prev_eps,prev_year,date,prev_eps_yoy,prev_rev_yoy,status,gm,symbol,price,eps_yoy,expansion,pe,name
⚠️ 追價風險,52.05,43.25,1.64,N/A,1.58,2025,2026-03,222.58,20.92,🚀 利潤擴張,N/A,6902.TW,134.0,530.77,487.52,38.616714697406344,GOGOLOOK
⚪ 數據不足,-7.499999999999999,335.75,0.46,N/A,-0.16,2025,2026-03,74.6,5.06,🔄 轉虧為盈,N/A,6241.TWO,15.25,820.0,484.25,0.0,鑫永洋
⚠️ 追價風險,8.850000000000001,727.58,0.22,N/A,0.31,2025,2026-03,-42.59,-6.1,🚀 利潤擴張,N/A,8440.TWO,21.8500003815,1200.0,472.41999999999996,37.03389895169491,綠電
⚪ 數據不足,0.0,-25.82,1.21,-0.34%,2.72,2025,2026-03,-1.45,-41.11,🧐 疑業外收益,30.54%,4590.TW,96.0,418.92,444.74,0.0,富田-創
⚠️ 追價風險,17.400000000000002,187.7,0.25,11.05%,0.49,2025,2026-03,-34.67,11.66,🚀 利潤擴張,36.04%,2302.TW,52.0,600.0,412.3,44.82758620689655,麗正
⚠️ 追價風險,40.8,646.87,2.25,15.37%,0.88,2025,2026-03,576.92,9.55,🚀 利潤擴張,41.86%,2344.TW,184.5,1037.5,390.63,67.83088235294119,華邦電
⚪ 數據不足,0.0,6.45,0.41,N/A,1.44,2025,2026-03,5.88,28.36,🚀 利潤擴張,N/A,6908.TW,38.0,387.5,381.05,0.0,宏�砦C戲-創
⚪ 中性觀察,81.60000000000001,359.78,1.59,N/A,2.19,2025,2026-03,-49.65,-15.3,🚀 利潤擴張,N/A,6716.TWO,99.5,715.79,356.01,18.290441176470587,應廣
⚠️ 追價風險,19.499999999999996,37.41,0.24,N/A,0.73,2025,2026-03,207.35,9.95,🚀 利潤擴張,N/A,5210.TWO,30.25,380.0,342.59000000000003,23.269230769230774,寶碩
⚪ 數據不足,-8.4,750.53,0.99,N/A,-0.2,2025,2026-03,90.52,25.85,🔄 轉虧為盈,N/A,5228.TWO,66.5,1090.0,339.47,0.0,鈺鎧
💎 強力關注,92.55,179.43,1.42,N/A,2.35,2025,2026-03,1.73,5.96,🚀 利潤擴張,N/A,2754.TWO,68.4000015259,517.65,338.21999999999997,11.0858997610859,亞洲藏壽司
⚠️ 追價風險,26.4,237.41,0.13,14.30%,0.92,2025,2026-03,170.59,-3.75,🚀 利潤擴張,42.07%,4556.TWO,88.5999984741,550.0,312.59000000000003,50.34090822392046,旭然
⚪ 中性觀察,25.95,343.32,0.15,7.94%,0.57,2025,2026-03,-29.63,-5.82,🚀 利潤擴張,30.11%,3071.TWO,32.8499984741,650.0,306.68,18.98843842433526,協禧
⚪ 中性觀察,2097.2999999999997,849.86,68.8,N/A,41.98,2025,2026-03,3.78,23.29,🚀 利潤擴張,N/A,8299.TWO,2295.0,1143.3,293.43999999999994,16.41396080675154,群聯
⚪ 數據不足,-2.2499999999999996,270.3,0.67,N/A,-0.43,2025,2026-03,-150.59,-14.91,🔄 轉虧為盈,N/A,6615.TWO,37.0999984741,546.67,276.36999999999995,0.0,慧智
⚪ 數據不足,-9.150000000000002,371.03,0.27,N/A,0.18,2025,2026-03,550.0,0.1,🚀 利潤擴張,N/A,6282.TW,58.2999992371,640.0,268.97,0.0,康舒
⚪ 數據不足,-20.1,186.87,0.38,N/A,-0.76,2025,2026-03,55.83,5.03,🔄 轉虧為盈,N/A,8489.TWO,22.1000003815,445.45,258.58,0.0,三貝德
✅ 穩健價值,120.3,473.51,4.49,8.07%,1.77,2025,2026-03,8050.0,0.89,🚀 利潤擴張,18.73%,4916.TW,115.0,701.79,228.27999999999997,14.33915211970075,事欣科
💎 強力關注,44.1,292.4,2.97,N/A,0.88,2025,2026-03,-66.67,-3.15,🚀 利潤擴張,N/A,4432.TWO,16.7000007629,518.75,226.35000000000002,5.680272368333333,銘旺實
💎 強力關注,14.700000000000001,132.31,0.45,-88.29%,0.88,2025,2026-03,51.72,-61.59,🚀 利潤擴張,35.38%,4702.TWO,10.25,350.0,217.69,10.459183673469386,中美實
