symbol,expansion,advice,price,status,rev_yoy,eps,prev_eps_yoy,date,gm,prev_year,prev_eps,est_price,eps_yoy,name,pe,prev_rev_yoy,om
7730.TW,108.44,⚠️ 追價風險,175.0,🚀 利潤擴張,161.56,0.37,-45.51,2026-03,N/A,2025,1.73,50.699999999999996,270.0,暉盛-創,51.77514792899409,-5.33,N/A
2911.TW,96.19000000000001,⚪ 數據不足,6.4099998474,🚀 利潤擴張,67.27,0.66,152.83,2026-03,N/A,2025,2.15,-40.05,163.46,麗嬰房,0.0,-16.81,N/A
3083.TWO,92.64,⚠️ 追價風險,22.8500003815,🏰 高護城河,57.36,0.3,-46.91,2026-03,87.57%,2025,0.43,13.05,150.0,網龍,26.2643682545977,-7.4,12.73%
6931.TW,89.48000000000002,✅ 穩健價值,40.2999992371,🚀 利潤擴張,990.52,0.49,104.41,2026-03,N/A,2025,1.39,44.550000000000004,1080.0,青松健康,13.569023312154883,14.16,N/A
1599.TWO,88.79000000000002,⚪ 數據不足,23.0,🔄 轉虧為盈,486.21,0.28,-169.49,2026-03,16.92%,2025,-0.84,-24.299999999999994,575.0,宏佳騰,0.0,-18.58,-21.33%
4147.TWO,84.69999999999999,⚪ 數據不足,62.7999992371,🔄 轉虧為盈,81.97,0.06,17.57,2026-03,28.91%,2025,-0.61,-18.3,166.67,中裕,0.0,0.19,-58.34%
1339.TW,83.63,💎 強力關注,43.0,🚀 利潤擴張,102.97,2.78,-51.9,2026-03,33.66%,2025,2.41,97.8,186.6,昭輝,6.595092024539878,-14.02,13.17%
2436.TW,83.04000000000002,✅ 穩健價值,69.0,🚀 利潤擴張,309.82,0.7,78.06,2026-03,30.84%,2025,3.02,81.9,392.86,偉詮電,12.637362637362637,15.32,3.76%
6756.TW,81.14999999999999,⚠️ 追價風險,99.3000030518,🚀 利潤擴張,97.11,0.64,-50.67,2026-03,N/A,2025,1.11,45.449999999999996,178.26,威鋒電子,32.77227823491749,-8.83,N/A
3546.TWO,74.29000000000002,✅ 穩健價值,73.8000030518,🏰 高護城河,62.07,2.34,-64.44,2026-03,89.44%,2025,1.97,77.99999999999999,136.36,宇峻,14.19230827919231,2.09,20.17%
7823.TW,73.29,⚪ 數據不足,80.0999984741,🚀 利潤擴張,26.64,-0.15,96.29,2026-03,N/A,2025,-1.49,0.0,99.93,奧義賽博-KY創,0.0,22.72,N/A
6169.TWO,71.78,⚪ 數據不足,12.3000001907,🌑 雙重衰退,-97.71,-0.68,-99.18,2026-03,N/A,2025,-2.43,-96.44999999999999,-25.93,昱泉,0.0,19.25,N/A
8354.TWO,71.62,⚪ 數據不足,17.3500003815,🚀 利潤擴張,578.38,0.3,-91.14,2026-03,N/A,2025,0.14,-17.549999999999997,650.0,冠好,0.0,0.63,N/A
4905.TWO,70.21000000000004,⚪ 中性觀察,85.0,🚀 利潤擴張,315.9,1.75,-5.15,2026-03,25.49%,2025,2.76,71.25,386.11,台聯電,17.894736842105264,22.56,0.20%
7828.TWO,69.89999999999999,⚪ 數據不足,2080.0,🚀 利潤擴張,51.84,1.02,44.08,2026-03,N/A,2025,6.33,0.0,121.74,創新服務,0.0,76.4,N/A
2889.TW,68.69,💎 強力關注,16.7000007629,🏰 高護城河,58.58,0.25,3.28,2026-03,90.85%,2025,0.63,22.95,127.27,國票金,10.915033178366013,4.6,38.94%
4137.TW,67.19999999999999,💎 強力關注,77.0,🏰 高護城河,40.15,1.41,24.43,2026-03,82.18%,2025,7.13,257.1,107.35,麗豐-KY,4.492415402567095,-4.63,20.98%
3632.TWO,64.48,⚪ 數據不足,7.1100001335,🔄 轉虧為盈,110.52,0.06,-31.03,2026-03,54.59%,2025,-0.38,-15.3,175.0,研勤,0.0,-28.72,3.73%
6986.TWO,63.99000000000001,⚪ 數據不足,40.75,🚀 利潤擴張,42.91,0.6,-24.06,2026-03,N/A,2025,2.43,0.0,106.9,和迅,0.0,2.38,N/A
4562.TW,63.97,⚪ 數據不足,30.0,🔄 轉虧為盈,111.03,0.11,-184.44,2026-03,31.44%,2025,-1.28,-38.1,175.0,穎漢,0.0,-7.78,-45.46%
