eps_yoy,prev_rev_yoy,pe,symbol,date,est_price,prev_year,rev_yoy,advice,om,status,price,prev_eps,prev_eps_yoy,eps,gm,name,expansion
205.88,5.51,20.879764500938418,6840.TWO,2025-12,51.15,2025,8.46,⚪ 中性觀察,N/A,🚀 利潤擴張,71.1999969482,1.18,76.12,1.58,N/A,東研信超,197.42
189.47,-1.51,28.750000397291664,3191.TWO,2025-12,7.2,2025,-7.75,⚠️ 追價風險,-10.81%,🧐 疑業外收益,13.8000001907,0.55,219.57,0.51,29.43%,雲嘉南,197.22
195.71,5.31,9.282178217821784,3048.TW,2025-12,60.59999999999999,2025,2.05,💎 強力關注,1.71%,🚀 利潤擴張,37.5,1.14,153.27,2.01,3.50%,益登,193.66
213.64,31.27,25.350876858377198,6202.TW,2025-12,34.199999999999996,2025,22.23,⚠️ 追價風險,N/A,🚀 利潤擴張,57.7999992371,0.62,191.04,0.76,N/A,盛群,191.41
193.18,8.02,0.0,2413.TW,2025-12,-9.6,2025,3.52,⚪ 數據不足,3.38%,🔄 轉虧為盈,43.5499992371,-0.25,62.12,0.41,17.05%,環科,189.66
100.65,-90.58,1017.500019074999,1516.TW,2025-12,0.30000000000000027,2025,-87.0,⚠️ 追價風險,-14.33%,🧐 疑業外收益,20.3500003815,0.1,-70.59,0.04,5.36%,川飛,187.65
203.33,20.56,12.040000406906668,6112.TW,2025-12,56.25,2025,18.84,✅ 穩健價值,N/A,🚀 利潤擴張,45.1500015259,1.2,-3.23,1.82,N/A,邁達特,184.49
186.36,11.15,21.14864813310811,6246.TWO,2025-12,11.099999999999998,2025,6.56,⚪ 中性觀察,N/A,🔄 轉虧為盈,15.6499996185,-0.04,97.79,1.14,N/A,臺龍,179.8
180.15,4.96,0.0,4746.TW,2025-12,0.0,2025,2.54,⚪ 數據不足,21.37%,🚀 利潤擴張,0.0,2.44,39.43,3.67,41.59%,台耀,177.61
248.27,27.17,2.1743119965963302,3609.TWO,2025-12,163.5,2025,70.72,💎 強力關注,-11.23%,🚀 利潤擴張,23.7000007629,7.31,314.37,6.42,8.05%,三一東林,177.55
163.4,-11.95,9.311594479347827,6573.TW,2025-12,20.7,2025,-13.43,💎 強力關注,N/A,🧐 疑業外收益,12.8500003815,1.61,228.8,1.23,N/A,虹揚-KY,176.83
198.64,22.77,12.78169014084507,6719.TW,2025-12,213.00000000000003,2025,23.89,✅ 穩健價值,N/A,🚀 利潤擴張,181.5,4.25,89.73,6.58,N/A,力智,174.75
173.44,-0.97,22.325000762950005,6127.TWO,2025-12,29.999999999999996,2025,-1.13,⚠️ 追價風險,N/A,🧐 疑業外收益,44.6500015259,0.91,275.0,0.47,N/A,九豪,174.57
170.59,-8.55,23.939393939393938,4556.TWO,2025-12,24.750000000000004,2025,-3.75,⚠️ 追價風險,14.30%,🧐 疑業外收益,39.5,0.49,172.22,0.92,42.07%,旭然,174.34
178.95,4.04,0.0,5703.TWO,2025-12,0.0,2025,5.62,⚪ 數據不足,N/A,🚀 利潤擴張,0.0,0.09,175.0,0.53,N/A,亞都,173.32999999999998
222.67,39.08,40.065790477565784,6209.TW,2025-12,22.800000000000004,2025,50.65,⚠️ 追價風險,N/A,🚀 利潤擴張,60.9000015259,0.49,190.57,0.92,N/A,今國光,172.01999999999998
183.87,2.1,26.470588235294112,6841.TWO,2025-12,33.150000000000006,2025,12.23,⚠️ 追價風險,N/A,🚀 利潤擴張,58.5,0.81,1700.0,0.89,N/A,長佳智能,171.64000000000001
194.08,-4.54,0.0,7610.TW,2025-12,0.0,2025,27.9,⚪ 數據不足,N/A,🚀 利潤擴張,0.0,1.75,3.33,5.45,N/A,聯友金屬-創,166.18
188.1,19.92,49.05796880304348,1587.TW,2025-12,10.35,2025,23.11,⚠️ 追價風險,2.96%,🚀 利潤擴張,33.8499984741,0.24,155.81,0.37,18.05%,吉茂,164.99
175.0,13.26,722.5806451612904,2486.TW,2025-12,4.65,2025,10.09,⚠️ 追價風險,1.35%,🚀 利潤擴張,224.0,0.16,300.0,0.22,15.86%,一詮,164.91
328.87,21.0,0.0,6994.TW,2025-12,0.0,2025,164.5,⚪ 數據不足,N/A,🚀 利潤擴張,0.0,1.13,47.95,6.34,N/A,富威電力,164.37
242.99,97.52,2.1833117163856466,6596.TWO,2025-12,693.9,2025,78.68,💎 強力關注,N/A,🚀 利潤擴張,101.0,17.41,241.37,18.83,N/A,寬宏藝術,164.31
223.81,25.19,0.0,6265.TWO,2025-12,-11.25,2025,62.85,⚪ 數據不足,N/A,🔄 轉虧為盈,35.8499984741,-0.24,-271.43,0.68,N/A,方土昶,160.96
291.45,130.37,12.59910375732506,5439.TWO,2025-12,435.15,2025,130.83,✅ 穩健價值,N/A,🚀 利潤擴張,365.5,9.52,280.8,13.74,N/A,高技,160.61999999999998
89.89,-54.34,0.0,3489.TWO,2025-12,-4.95,2025,-69.84,⚪ 數據不足,3.61%,🧐 疑業外收益,22.7000007629,-0.13,23.53,-0.09,10.14%,森寶,159.73000000000002
150.56,-1.22,4.634831460674158,4526.TW,2025-12,106.8,2025,-6.62,💎 強力關注,-21.47%,🧐 疑業外收益,33.0,2.61,271.05,1.81,7.66%,東台,157.18
173.02,18.28,4.678747877841846,3630.TWO,2025-12,91.05,2025,19.21,💎 強力關注,-22.27%,🚀 利潤擴張,28.3999996185,2.19,219.44,1.86,4.18%,新鉅科,153.81
137.2,-15.66,3.8379446037233196,6684.TWO,2025-12,189.75000000000003,2025,-15.36,💎 強力關注,N/A,🧐 疑業外收益,48.5499992371,3.24,203.85,1.57,N/A,安格,152.56
58.65,-95.44,0.0,6838.TW,2025-12,-13.5,2025,-93.38,⚪ 數據不足,N/A,🧐 疑業外收益,27.2000007629,-0.24,77.78,-0.55,N/A,台新藥,152.03
220.0,-79.84,0.0,4157.TWO,2025-12,-5.8500000000000005,2025,72.24,⚪ 數據不足,81.17%,🔄 轉虧為盈,10.1000003815,-0.22,-1000.0,0.06,98.33%,太景*-KY,147.76
141.94,-4.86,122.500002384375,3252.TWO,2025-12,2.4,2025,-3.71,⚠️ 追價風險,22.84%,🔄 轉虧為盈,19.6000003815,-0.1,54.55,0.13,43.11%,海灣,145.65
209.26,89.71,18.29977696908277,3162.TWO,2025-12,67.05000000000001,2025,65.48,⚪ 中性觀察,1.68%,🚀 利潤擴張,81.8000030518,1.25,292.31,1.7,11.59%,精確,143.77999999999997
133.62,-8.66,8.24929993359944,3673.TW,2025-12,107.1,2025,-8.77,💎 強力關注,-0.68%,🧐 疑業外收益,58.9000015259,2.56,55.15,2.71,5.83%,TPK-KY,142.39000000000001
119.51,-18.24,0.0,6236.TWO,2025-12,0.0,2025,-20.68,⚪ 數據不足,N/A,🧐 疑業外收益,0.0,0.05,111.11,0.08,N/A,中湛,140.19
180.65,48.16,101.74418604651164,6708.TWO,2025-12,6.449999999999999,2025,42.33,⚠️ 追價風險,N/A,🚀 利潤擴張,43.75,0.05,119.23,0.25,N/A,天擎,138.32
104.91,-19.06,33.650794861746014,5227.TWO,2025-12,9.450000000000005,2025,-32.24,⚠️ 追價風險,N/A,🧐 疑業外收益,21.2000007629,2.99,199.67,0.17,N/A,立凱-KY,137.15
152.21,14.7,61.190474979444446,6485.TWO,2025-12,18.9,2025,16.84,⚠️ 追價風險,N/A,🔄 轉虧為盈,77.0999984741,-0.32,70.64,0.71,N/A,點序,135.37
229.88,32.43,0.0,2408.TW,2025-12,-28.5,2025,95.09,⚪ 數據不足,39.15%,🔄 轉虧為盈,206.0,-1.45,-28.32,2.13,49.05%,南亞科,134.79
178.19,55.41,5.890510726145985,3709.TWO,2025-12,205.50000000000003,2025,44.32,💎 強力關注,5.14%,🚀 利潤擴張,80.6999969482,3.61,167.46,7.11,8.09%,鑫聯大投控,133.87
58.98,-68.41,0.0,3466.TWO,2025-12,-57.45,2025,-72.48,⚪ 數據不足,-223.66%,🧐 疑業外收益,39.7999992371,-0.81,65.77,-1.11,-8.98%,德晉,131.46
645.65,82.29,231.14754098360658,3081.TWO,2026-03,183.0,2025,515.18,⚠️ 追價風險,41.27%,🏰 高護城河,2820.0,4.66,884.75,3.44,54.76%,聯亞,130.47000000000003
54.11,-81.44,0.0,4934.TW,2025-12,-35.85,2025,-75.71,⚪ 數據不足,-456.27%,🧐 疑業外收益,15.75,-0.67,16.25,-0.95,-156.07%,太極,129.82
108.46,-19.69,5.558112685512084,2607.TW,2025-12,130.35,2025,-19.52,💎 強力關注,6.32%,🧐 疑業外收益,48.2999992371,2.72,139.38,3.56,18.52%,榮運,127.97999999999999
159.21,12.38,22.222222222222225,5386.TWO,2025-12,229.49999999999997,2025,32.59,⚠️ 追價風險,N/A,🚀 利潤擴張,340.0,3.03,103.38,8.61,N/A,青雲,126.62
155.22,30.74,0.0,3540.TWO,2025-12,0.0,2025,29.09,⚪ 數據不足,-3.44%,🚀 利潤擴張,0.0,0.47,147.47,0.74,27.46%,曜越,126.13
177.17,62.88,5.1706967957467995,8473.TW,2025-12,105.44999999999999,2025,51.31,💎 強力關注,N/A,🚀 利潤擴張,36.3499984741,2.05,130.34,2.55,N/A,山林水,125.85999999999999
