股票代碼,股票名稱,今日狀態,今日收盤,今日RSI,戰術標籤,隔天勝率,五日勝率,五日平均收益,平均洗盤深度,歷史次數,建議買進價,raw_wr5,raw_pnl
4966.TWO,譜瑞-KY,🔥 訊號出現,649.0,83.67,🟡 妖股/高波動,20.00%,40.00%,3.39%,-3.24%,5,628.0,0.4,0.0339
6261.TWO,久元,🔥 訊號出現,95.0999984741,82.54,⚪ 一般監控,11.11%,55.56%,1.49%,-3.59%,9,91.68,0.5556,0.0149
3702.TW,大聯大,無,97.0,69.57,🟢 黃金標的,66.67%,100.00%,3.64%,-2.60%,6,0.0,1.0,0.0364
7792.TWO,安葆,無,345.5,66.22,🟢 黃金標的,33.33%,88.89%,8.70%,-5.89%,9,0.0,0.8889,0.087
3105.TWO,穩懋,無,547.0,74.15,🟢 黃金標的,57.14%,85.71%,5.35%,-6.96%,7,0.0,0.8571,0.0535
2367.TW,燿華,無,57.4000015259,30.25,🟢 黃金標的,33.33%,66.67%,4.93%,-4.33%,6,0.0,0.6667,0.0493
6136.TW,富爾特,無,27.8999996185,83.96,🟢 黃金標的,66.67%,66.67%,6.30%,-2.86%,3,0.0,0.6667,0.063
2337.TW,旺宏,無,132.0,51.42,🟢 黃金標的,80.00%,60.00%,9.66%,-2.16%,5,0.0,0.6,0.0966
3714.TW,富采,無,66.5999984741,61.33,🟢 黃金標的,22.22%,55.56%,4.90%,-6.62%,9,0.0,0.5556,0.049
00981A.TW,主動統一台股增長,無,27.7999992371,94.91,🟡 妖股/高波動,66.67%,33.33%,10.76%,0.38%,3,0.0,0.3333,0.1076
3481.TW,群創,無,23.3999996185,44.19,⚪ 一般監控,75.00%,75.00%,1.89%,-5.96%,4,0.0,0.75,0.0189
8104.TW,錸寶,無,34.75,58.11,⚪ 一般監控,40.00%,60.00%,1.27%,-7.73%,5,0.0,0.6,0.0127
0056.TW,元大高股息,無,40.9500007629,76.01,⚪ 一般監控,66.67%,50.00%,0.48%,-0.26%,6,0.0,0.5,0.0048
2327.TW,國巨*,無,297.0,70.56,⚪ 一般監控,33.33%,33.33%,2.63%,-2.70%,3,0.0,0.3333,0.0263
1721.TW,三晃,無,27.2999992371,74.51,⚪ 一般監控,62.50%,25.00%,1.18%,-3.70%,8,0.0,0.25,0.0118
2009.TW,第一銅,無,38.0,38.04,⚪ 一般監控,0.00%,0.00%,0.00%,0.00%,0,0.0,0.0,0.0
6806.TW,森崴能源,無,23.3500003815,33.14,⚪ 一般監控,0.00%,0.00%,0.00%,0.00%,0,0.0,0.0,0.0
0050.TW,元大台灣50,無,89.9499969482,94.2,🔴 空頭陷阱,66.67%,66.67%,-0.97%,-1.98%,3,0.0,0.6667,-0.0097
4142.TW,國光生,無,17.8999996185,30.77,🔴 空頭陷阱,0.00%,50.00%,-1.73%,-2.95%,2,0.0,0.5,-0.0173
1802.TW,台玻,無,65.0,65.46,🔴 空頭陷阱,42.86%,42.86%,-0.66%,-5.70%,7,0.0,0.4286,-0.0066
2352.TW,佳世達,無,24.6000003815,63.27,🔴 空頭陷阱,33.33%,33.33%,-3.16%,-3.05%,3,0.0,0.3333,-0.0316
2409.TW,友達,無,17.2000007629,51.74,🔴 空頭陷阱,66.67%,33.33%,-0.04%,-4.96%,6,0.0,0.3333,-0.0004
2485.TW,兆赫,無,60.5,30.26,🔴 空頭陷阱,50.00%,16.67%,-4.96%,-9.08%,6,0.0,0.1667,-0.0496
2317.TW,鴻海,無,221.5,82.02,🔴 空頭陷阱,33.33%,0.00%,-5.40%,-6.16%,3,0.0,0.0,-0.054
6188.TWO,廣明,無,82.8000030518,43.35,🔴 空頭陷阱,50.00%,0.00%,-5.11%,-4.47%,2,0.0,0.0,-0.0511
