gm,est_price,symbol,prev_year,eps_yoy,prev_eps_yoy,rev_yoy,prev_eps,advice,name,status,pe,prev_rev_yoy,eps,date,expansion,om,price
N/A,52.05,6902.TW,2025,530.77,222.58,43.25,1.58,⚠️ 追價風險,GOGOLOOK,🚀 利潤擴張,36.31123919308357,20.92,1.64,2026-03,487.52,N/A,126.0
N/A,-7.499999999999999,6241.TWO,2025,820.0,74.6,335.75,-0.16,⚪ 數據不足,鑫永洋,🔄 轉虧為盈,0.0,5.06,0.46,2026-03,484.25,N/A,14.3999996185
N/A,8.850000000000001,8440.TWO,2025,1200.0,-42.59,727.58,0.31,⚠️ 追價風險,綠電,🚀 利潤擴張,36.27118579406779,-6.1,0.22,2026-03,472.41999999999996,N/A,21.3999996185
30.54%,0.0,4590.TW,2025,418.92,-1.45,-25.82,2.72,⚪ 數據不足,富田-創,🧐 疑業外收益,0.0,-41.11,1.21,2026-03,444.74,-0.34%,76.5999984741
36.04%,17.400000000000002,2302.TW,2025,600.0,-34.67,187.7,0.49,⚠️ 追價風險,麗正,🚀 利潤擴張,40.6896558300862,11.66,0.25,2026-03,412.3,11.05%,47.2000007629
41.86%,40.8,2344.TW,2025,1037.5,576.92,646.87,0.88,⚠️ 追價風險,華邦電,🚀 利潤擴張,74.63235294117648,9.55,2.25,2026-03,390.63,15.37%,203.0
N/A,0.0,6908.TW,2025,387.5,5.88,6.45,1.44,⚪ 數據不足,宏�砦C戲-創,🚀 利潤擴張,0.0,28.36,0.41,2026-03,381.05,N/A,37.3499984741
N/A,81.60000000000001,6716.TWO,2025,715.79,-49.65,359.78,2.19,⚪ 中性觀察,應廣,🚀 利潤擴張,16.764705321360292,-15.3,1.59,2026-03,356.01,N/A,91.1999969482
N/A,19.499999999999996,5210.TWO,2025,380.0,207.35,37.41,0.73,⚠️ 追價風險,寶碩,🚀 利潤擴張,22.576923370384616,9.95,0.24,2026-03,342.59000000000003,N/A,29.3500003815
N/A,-8.4,5228.TWO,2025,1090.0,90.52,750.53,-0.2,⚪ 數據不足,鈺鎧,🔄 轉虧為盈,0.0,25.85,0.99,2026-03,339.47,N/A,61.0999984741
N/A,92.55,2754.TWO,2025,517.65,1.73,179.43,2.35,💎 強力關注,亞洲藏壽司,🚀 利潤擴張,11.134521385445705,5.96,1.42,2026-03,338.21999999999997,N/A,68.6999969482
42.07%,26.4,4556.TWO,2025,550.0,170.59,237.41,0.92,⚠️ 追價風險,旭然,🚀 利潤擴張,39.82954458755682,-3.75,0.13,2026-03,312.59000000000003,14.30%,70.0999984741
30.11%,25.95,3071.TWO,2025,650.0,-29.63,343.32,0.57,⚪ 中性觀察,協禧,🚀 利潤擴張,18.00578012630058,-5.82,0.15,2026-03,306.68,7.94%,31.1499996185
N/A,2097.2999999999997,8299.TWO,2025,1143.3,3.78,849.86,41.98,⚪ 中性觀察,群聯,🚀 利潤擴張,16.73580317551137,23.29,68.8,2026-03,293.43999999999994,N/A,2340.0
N/A,-2.2499999999999996,6615.TWO,2025,546.67,-150.59,270.3,-0.43,⚪ 數據不足,慧智,🔄 轉虧為盈,0.0,-14.91,0.67,2026-03,276.36999999999995,N/A,36.5999984741
N/A,-9.150000000000002,6282.TW,2025,640.0,550.0,371.03,0.18,⚪ 數據不足,康舒,🚀 利潤擴張,0.0,0.1,0.27,2026-03,268.97,N/A,54.2000007629
N/A,-20.1,8489.TWO,2025,445.45,55.83,186.87,-0.76,⚪ 數據不足,三貝德,🔄 轉虧為盈,0.0,5.03,0.38,2026-03,258.58,N/A,21.7000007629
18.73%,120.3,4916.TW,2025,701.79,8050.0,473.51,1.77,💎 強力關注,事欣科,🚀 利潤擴張,11.99501208830424,0.89,4.49,2026-03,228.27999999999997,8.07%,96.1999969482
N/A,44.1,4432.TWO,2025,518.75,-66.67,292.4,0.88,💎 強力關注,銘旺實,🚀 利潤擴張,5.221088565136054,-3.15,2.97,2026-03,226.35000000000002,N/A,15.3500003815
35.38%,14.700000000000001,4702.TWO,2025,350.0,51.72,132.31,0.88,💎 強力關注,中美實,🚀 利潤擴張,10.204081632653061,-61.59,0.45,2026-03,217.69,-88.29%,10.0
N/A,493.65000000000003,8478.TW,2025,512.9,33.97,297.67,13.25,💎 強力關注,東哥遊艇,🚀 利潤擴張,4.633849893649346,5.83,3.8,2026-03,215.22999999999996,N/A,152.5
13.61%,76.65,1609.TW,2025,925.0,-21.15,713.51,1.65,💎 強力關注,大亞,🚀 利潤擴張,7.211349994931506,3.39,0.66,2026-03,211.49,8.70%,36.8499984741
19.34%,0.0,3717.TW,2025,213.33,-80.0,26.54,0.08,⚪ 數據不足,聯嘉投控,🚀 利潤擴張,0.0,3.55,0.47,2026-03,186.79000000000002,7.12%,25.9500007629
N/A,-43.199999999999996,8084.TWO,2025,266.67,-280.2,80.73,-1.82,⚪ 數據不足,巨虹,🔄 轉虧為盈,0.0,-10.9,0.33,2026-03,185.94,N/A,48.5
30.40%,94.05,3290.TWO,2025,728.13,25.64,542.69,2.02,💎 強力關注,東浦,🚀 利潤擴張,10.414673532982457,18.23,2.65,2026-03,185.43999999999994,14.85%,65.3000030518
N/A,-7.95,5460.TWO,2025,550.0,-177.27,385.95,-0.17,⚪ 數據不足,同協,🔄 轉虧為盈,0.0,-15.68,0.09,2026-03,164.05,N/A,15.3999996185
N/A,0.0,4582.TWO,2025,276.67,1640.0,116.02,1.54,⚪ 數據不足,未知,🚀 利潤擴張,0.0,32.98,0.53,2026-03,160.65000000000003,N/A,0.0
