
📅 投資日報表: 2026-06-11
=======================================================================================================================================
代號     | 名稱       | 開盤     | 最高     | 最低     | 最新     | 成交量         | 平均成本    | 股數     | 損益       | 報酬%
---------------------------------------------------------------------------------------------------------------------------------------
2317     | 鴻海         | 260.00   | 262.50   | 251.50   | 258.50   | 78,830,001   | 241.21      | 2000     | ▲34,580   |   +7.17%
4142     | 國光生        | 18.05    | 18.05    | 17.45    | 17.60    | 975,747      | 25.32       | 1000     | ▼7,720    |  -30.49%
0050     | 元大台灣50     | 100.00   | 100.55   | 97.60    | 99.80    | 269,421,897  | 46.60       | 16016    | ▲852,051  | +114.16%
0056     | 元大高股息      | 49.24    | 49.80    | 48.46    | 49.53    | 60,641,851   | 36.43       | 8000     | ▲104,800  |  +35.96%
00635U   | 期元大S&P黃金   | 42.70    | 42.95    | 42.38    | 42.67    | 5,413,239    | 55.25       | 3000     | ▼37,740   |  -22.77%
00738U   | 期元大道瓊白銀    | 51.40    | 52.00    | 50.75    | 51.55    | 4,162,834    | 66.26       | 1000     | ▼14,710   |  -22.20%
00929    | 復華台灣科技優息   | 28.14    | 28.65    | 27.45    | 28.36    | 44,411,876   | 19.73       | 8000     | ▲69,040   |  +43.74%
009816   | 凱基台灣TOP50  | 14.59    | 14.71    | 14.18    | 14.56    | 222,216,570  | 11.01       | 63000    | ▲223,650  |  +32.24%
00990A   | 主動元大AI新經濟  | 18.15    | 18.50    | 17.92    | 18.37    | 50,823,226   | 11.48       | 5000     | ▲34,450   |  +60.02%
2009     | 第一銅        | 38.50    | 39.10    | 38.20    | 38.90    | 1,321,494    | 50.56       | 4000     | ▼46,640   |  -23.06%
2337     | 旺宏         | 135.00   | 140.50   | 132.50   | 137.00   | 18,066,432   | 95.28       | 2000     | ▲83,440   |  +43.79%
2409     | 友達         | 22.75    | 23.75    | 22.20    | 22.80    | 276,528,389  | 16.21       | 2000     | ▲13,180   |  +40.65%
3481     | 群創         | 42.60    | 44.75    | 40.25    | 44.60    | 148,952,155  | 25.10       | 4000     | ▲78,000   |  +77.69%
6806     | 森崴能源       | 4.48     | 4.48     | 4.48     | 4.48     | 512,343      | 45.39       | 5000     | ▼204,550  |  -90.13%
3105     | 穩懋         | 497.50   | 503.00   | 460.50   | 486.00   | 17,935,338   | 556.47      | 300      | ▼21,141   |  -12.66%
4966     | 譜瑞-KY      | 657.00   | 669.00   | 625.00   | 654.00   | 1,425,436    | 1921.64     | 1000     | ▼1,267,640 |  -65.97%
00403A   | 主動統一升級50   | 10.03    | 10.17    | 9.73     | 10.00    | 731,290,096  | 10.68       | 26026    | ▼17,698   |   -6.37%
00981A   | 主動統一台股增長   | 29.81    | 30.30    | 28.61    | 29.72    | 394,524,103  | 27.48       | 2000     | ▲4,480    |   +8.15%
2313     | 華通         | 265.00   | 279.50   | 258.50   | 269.50   | 81,354,865   | 250.71      | 1000     | ▲18,790   |   +7.49%
2330     | 台積電        | 2240.00  | 2260.00  | 2210.00  | 2255.00  | 31,821,779   | 225.55      | 10       | ▲20,294   | +899.78%
6789     | 采鈺         | 455.50   | 466.00   | 438.00   | 452.50   | 3,064,446    | 593.50      | 400      | ▼56,400   |  -23.76%
5474     | 聰泰         | 175.50   | 179.50   | 174.00   | 176.50   | 619,433      | 175.15      | 2000     | ▲2,700    |   +0.77%
6849     | 奇鼎科技       | 197.50   | 200.00   | 179.00   | 185.00   | 198,833      | 266.40      | 280      | ▼22,792   |  -30.56%
7853     | 政美應用       | 364.50   | 364.50   | 326.50   | 346.00   | 1,003,046    | 409.29      | 280      | ▼17,721   |  -15.46%
9105     | 泰金寶-DR     | 9.31     | 9.50     | 8.88     | 9.21     | 85,399,551   | 8.97        | 3000     | ▲720      |   +2.68%
3576     | 聯合再生       | 17.60    | 18.30    | 16.95    | 18.15    | 28,145,117   | 18.50       | 2000     | ▼700      |   -1.89%
1721     | 三晃         | 23.15    | 23.40    | 21.95    | 22.60    | 2,381,578    | 27.88       | 3000     | ▼15,850   |  -18.95%
8215     | 明基材        | 29.05    | 29.45    | 27.60    | 28.45    | 2,067,481    | 31.60       | 200      | ▼630      |   -9.97%
---------------------------------------------------------------------------------------------------------------------------------------
💰 庫存總投入:       7,044,213    📊 未實現損益:        -191,756 (  -2.72%)
