expansion,prev_eps,est_price,gm,symbol,advice,rev_yoy,date,name,price,prev_rev_yoy,prev_year,eps,status,prev_eps_yoy,pe,om,eps_yoy
1292.63,0.82,24.9,9.90%,4903.TWO,⚠️ 追價風險,64.51,2025-12,聯光通,38.5499992371,73.71,2025,1.02,🚀 利潤擴張,173.33,23.22289110668675,-0.59%,1357.14
1075.98,0.81,45.75000000000001,29.01%,1815.TWO,⚠️ 追價風險,40.69,2025-12,富喬,90.0999984741,46.55,2025,1.64,🚀 利潤擴張,606.25,29.540983106262296,12.18%,1116.67
1048.91,9.16,424.95,N/A,5284.TW,✅ 穩健價值,56.24,2025-12,jpp-KY,358.5,53.98,2025,12.05,🚀 利潤擴張,1777.36,12.654429932933287,N/A,1105.15
1008.11,0.06,5.55,N/A,5488.TWO,⚠️ 追價風險,-8.11,2025-12,松普,12.0,-10.59,2025,0.11,🧐 疑業外收益,-45.45,32.432432432432435,N/A,1000.0
966.3,1.44,72.0,9.91%,2331.TW,💎 強力關注,14.95,2025-12,精英,20.6499996185,10.42,2025,1.41,🚀 利潤擴張,1700.0,4.302083253854167,-0.28%,981.25
912.1999999999999,3.52,245.39999999999998,41.95%,4123.TWO,💎 強力關注,-6.28,2025-12,晟德,37.3499984741,-4.5,2025,12.33,🧐 疑業外收益,810.64,2.283007241693154,-106.23%,905.92
906.7,0.28,29.4,N/A,8088.TWO,⚠️ 追價風險,55.8,2025-12,品安,57.7000007629,38.48,2025,1.7,🚀 利潤擴張,133.73,29.438775899438774,N/A,962.5
904.65,1.52,66.15,N/A,6166.TW,⚠️ 追價風險,17.09,2025-12,凌華,128.0,23.93,2025,2.35,🚀 利潤擴張,357.63,29.024943310657594,N/A,921.74
844.03,0.97,43.349999999999994,16.87%,1529.TW,💎 強力關注,32.89,2025-12,樂事綠能,23.1499996185,34.59,2025,1.01,🚀 利潤擴張,977.78,8.010380490830451,7.13%,876.92
837.6899999999999,1.29,53.1,N/A,8110.TW,✅ 穩健價值,-6.92,2025-12,華東,53.5999984741,-8.99,2025,2.48,🧐 疑業外收益,270.59,15.14124250680791,N/A,830.77
816.1899999999999,1.15,67.65,N/A,8046.TW,⚠️ 追價風險,24.44,2025-12,南電,807.0,18.82,2025,3.01,🚀 利潤擴張,2775.0,178.93569844789354,N/A,840.63
787.43,-0.05,0.0,N/A,6182.TWO,⚪ 數據不足,12.57,2025-12,合晶,80.9000015259,11.35,2025,0.09,🔄 轉虧為盈,-350.0,0.0,N/A,800.0
722.0,-2.22,22.650000000000006,20.10%,2102.TW,✅ 穩健價值,-0.57,2025-12,泰豐,18.1499996185,1.98,2025,6.28,🔄 轉虧為盈,-258.33,12.019867297019864,-167.95%,721.43
705.37,0.02,0.0,19.96%,4414.TW,⚪ 數據不足,-5.37,2025-12,如興,0.0,-4.36,2025,0.68,🧐 疑業外收益,107.14,0.0,4.40%,700.0
689.09,0.12,3.75,26.03%,3236.TWO,⚠️ 追價風險,10.91,2025-12,千如,57.5,7.39,2025,0.32,🚀 利潤擴張,250.0,230.0,5.00%,700.0
688.58,0.37,7.200000000000003,23.42%,2323.TW,⚠️ 追價風險,-3.39,2025-12,中環,10.8500003815,-4.42,2025,1.58,🧐 疑業外收益,-2.63,22.60416746145832,-5.65%,685.19
668.5600000000001,-0.26,-9.45,24.00%,4413.TWO,⚪ 數據不足,114.77,2025-12,飛寶企業,16.1499996185,140.24,2025,0.53,🔄 轉虧為盈,-966.67,0.0,6.14%,783.33
656.01,0.28,7.2,27.32%,4924.TWO,⚠️ 追價風險,3.99,2025-12,欣厚-KY,11.9499998093,22.5,2025,0.38,🚀 利潤擴張,460.0,24.895832936041664,0.43%,660.0
603.24,0.48,17.099999999999998,17.03%,3002.TW,⚪ 中性觀察,16.76,2025-12,歐格,18.8999996185,14.66,2025,0.36,🚀 利潤擴張,422.22,16.578947033771932,-11.28%,620.0
567.37,0.12,3.4499999999999997,41.86%,2344.TW,⚠️ 追價風險,9.55,2025-12,華邦電,156.5,-0.22,2025,0.88,🚀 利潤擴張,-57.14,680.4347826086957,15.37%,576.92
563.39,0.66,39.0,62.07%,3054.TW,⚠️ 追價風險,26.61,2025-12,立萬利,67.1999969482,24.16,2025,1.96,🏰 高護城河,288.57,25.846152672384612,-188.65%,590.0
561.54,5.5,142.49999999999997,N/A,9949.TWO,💎 強力關注,-17.0,2025-12,琉園,23.7999992371,-19.03,2025,5.29,🧐 疑業外收益,1270.21,2.505263077589474,N/A,544.54
549.9,-0.38,-13.950000000000003,N/A,6282.TW,⚪ 數據不足,0.1,2025-12,康舒,57.2000007629,-4.33,2025,0.18,🔄 轉虧為盈,-90.0,0.0,N/A,550.0
467.93,0.49,2.5500000000000025,43.42%,2491.TW,⚠️ 追價風險,-10.43,2025-12,吉祥全,29.0499992371,-12.66,2025,1.43,🧐 疑業外收益,179.03,170.88234845352926,-66.51%,457.5
440.95000000000005,0.54,18.15,30.70%,3297.TWO,⚠️ 追價風險,20.59,2025-12,杭特,30.3999996185,18.74,2025,0.47,🚀 利潤擴張,2600.0,25.123966626859506,-18.51%,461.54
418.37000000000006,-0.58,-9.599999999999998,18.45%,3555.TWO,⚪ 數據不足,334.57,2025-12,博士旺,206.0,310.97,2025,1.28,🔄 轉虧為盈,7.84,0.0,4.44%,752.94
417.34999999999997,-0.11,13.199999999999998,22.27%,2243.TW,⚠️ 追價風險,-9.02,2025-12,宏旭-KY,33.8499984741,-10.45,2025,1.22,🔄 轉虧為盈,38.89,38.46590735693182,15.14%,408.33
379.12,5.45,264.15000000000003,42.12%,3167.TW,⚠️ 追價風險,95.35,2025-12,大量,847.0,119.15,2025,8.13,🚀 利潤擴張,790.16,48.0976717773992,18.24%,474.47
374.26,0.43,16.499999999999996,2.52%,1413.TW,💎 強力關注,-9.55,2025-12,宏洲,9.5100002289,-6.34,2025,0.45,🧐 疑業外收益,326.32,8.645454753545454,0.23%,364.71
371.81,0.62,38.849999999999994,23.49%,4764.TW,⚠️ 追價風險,5.46,2025-12,雙鍵,257.5,6.23,2025,1.22,🚀 利潤擴張,187.32,99.42084942084942,7.74%,377.27
370.34000000000003,1.26,68.4,N/A,5490.TWO,💎 強力關注,12.01,2025-12,同亨,28.25,13.03,2025,1.69,🚀 利潤擴張,916.67,6.195175438596491,N/A,382.35
364.75,0.02,42.0,N/A,8940.TW,💎 強力關注,-6.42,2025-12,新天地,16.7000007629,-10.3,2025,0.55,🧐 疑業外收益,103.23,5.96428598675,N/A,358.33
356.99,1.65,59.699999999999996,69.49%,3219.TWO,⚪ 中性觀察,49.68,2025-12,倚強科,74.6999969482,43.11,2025,1.52,🏰 高護城河,179.66,18.76884345432161,-15.39%,406.67
327.09,0.52,38.1,10.73%,2409.TW,💎 強力關注,0.41,2025-12,友達,23.1499996185,-0.15,2025,0.9,🚀 利潤擴張,185.25,9.114173078149607,-2.70%,327.5
316.98,7.71,321.90000000000003,15.60%,4439.TW,💎 強力關注,29.26,2025-12,冠星-KY,88.0,30.37,2025,7.73,🚀 利潤擴張,114.76,4.100652376514446,0.97%,346.24
289.09,-0.11,-2.7000000000000006,8.40%,2399.TW,⚪ 數據不足,-14.09,2025-12,映泰,46.1500015259,-14.04,2025,0.15,🔄 轉虧為盈,-222.22,0.0,-12.67%,275.0
281.70000000000005,7.88,359.25,34.44%,2498.TW,💎 強力關注,-5.85,2025-12,宏達電,42.0,-0.73,2025,7.21,🧐 疑業外收益,352.24,1.7536534446764092,-79.17%,275.85
281.08,4.81,194.10000000000002,N/A,9914.TW,💎 強力關注,-9.71,2025-12,美利達,73.6999969482,-8.55,2025,4.01,🧐 疑業外收益,-18.34,5.695517538500772,N/A,271.37
275.27,3.02,153.3,N/A,6165.TW,💎 強力關注,12.97,2025-12,浪凡,48.4000015259,12.63,2025,4.02,🚀 利潤擴張,410.34,4.735812282377691,N/A,288.24
273.68,1.26,65.55,38.42%,4576.TW,⚠️ 追價風險,20.44,2025-12,大銀微系統,196.5,19.84,2025,2.01,🚀 利潤擴張,447.83,44.96567505720824,13.23%,294.12
255.45000000000002,0.98,-8.100000000000001,-4.21%,2466.TW,⚪ 數據不足,-14.27,2025-12,冠西電,45.8499984741,-6.66,2025,0.25,🧐 疑業外收益,230.67,0.0,-53.06%,241.18
254.79,4.75,174.45,9.17%,1608.TW,💎 強力關注,0.02,2025-12,華榮,33.5499992371,-0.36,2025,5.5,🚀 利潤擴張,241.94,2.884780673869304,6.96%,254.81
250.24,0.19,3.9000000000000004,41.46%,1718.TW,⚠️ 追價風險,-0.24,2025-12,中纖,9.0500001907,4.96,2025,0.09,🧐 疑業外收益,-11.76,34.80769304115385,18.72%,250.0
241.22,1.48,68.25,N/A,4949.TW,⚪ 中性觀察,-0.48,2025-12,有成精密,90.0,-1.75,2025,1.91,🧐 疑業外收益,180.87,19.78021978021978,N/A,240.74
229.07999999999998,-0.9,-2.4000000000000004,29.82%,1438.TW,⚪ 數據不足,7.93,2025-12,三地開發,24.0499992371,-98.23,2025,1.74,🔄 轉虧為盈,10.89,0.0,25.89%,237.01
227.67000000000002,-0.9,22.050000000000004,46.73%,1456.TW,💎 強力關注,-20.46,2025-12,怡華,13.9499998093,-26.31,2025,3.41,🔄 轉虧為盈,15.89,9.489795788639455,248.16%,207.21
224.23000000000002,0.47,31.349999999999998,31.94%,3530.TW,⚠️ 追價風險,6.6,2025-12,晶相光,61.4000015259,-5.41,2025,1.74,🚀 利潤擴張,-50.0,29.377991160717706,14.09%,230.83
213.63,0.33,14.399999999999999,5.45%,2034.TW,⚪ 中性觀察,-13.63,2025-12,允強,20.0499992371,-4.98,2025,0.21,🧐 疑業外收益,94.12,20.885415871979166,-1.87%,200.0
204.79,1.43,83.1,30.12%,4167.TWO,💎 強力關注,-1.28,2025-12,松瑞藥,19.6499996185,-6.23,2025,1.72,🧐 疑業外收益,237.21,3.5469313390794226,9.56%,203.51
203.79,1.0,66.44999999999999,42.43%,4744.TWO,💎 強力關注,12.21,2025-12,皇將,33.75,14.04,2025,2.51,🚀 利潤擴張,400.0,7.618510158013544,14.38%,216.0
201.66000000000003,0.23,31.349999999999998,N/A,6902.TW,⚠️ 追價風險,20.92,2025-12,GOGOLOOK,133.0,20.7,2025,1.58,🚀 利潤擴張,119.47,63.63636363636364,N/A,222.58
200.22,10.81,468.90000000000003,5.71%,2316.TW,💎 強力關注,12.25,2025-12,楠梓電,153.5,8.72,2025,13.38,🚀 利潤擴張,260.07,4.910428662827895,-7.46%,212.47
199.70999999999998,0.31,20.249999999999996,31.84%,1796.TWO,⚠️ 追價風險,29.92,2025-12,金穎生技,34.3499984741,36.52,2025,0.7,🚀 利潤擴張,150.0,25.44444331414815,10.64%,229.63
197.42,1.18,51.15,N/A,6840.TWO,⚪ 中性觀察,8.46,2025-12,東研信超,65.0,5.51,2025,1.58,🚀 利潤擴張,76.12,19.06158357771261,N/A,205.88
197.22,0.55,7.2,29.43%,3191.TWO,⚠️ 追價風險,-7.75,2025-12,雲嘉南,19.1000003815,-1.51,2025,0.51,🧐 疑業外收益,219.57,39.79166746145833,-10.81%,189.47
193.66,1.14,60.59999999999999,3.50%,3048.TW,⚪ 中性觀察,2.05,2025-12,益登,75.0,5.31,2025,2.01,🚀 利潤擴張,153.27,18.564356435643568,1.71%,195.71
191.41,0.62,34.199999999999996,N/A,6202.TW,⚠️ 追價風險,22.23,2025-12,盛群,54.0,31.27,2025,0.76,🚀 利潤擴張,191.04,23.68421052631579,N/A,213.64
189.66,-0.25,-9.6,17.05%,2413.TW,⚪ 數據不足,3.52,2025-12,環科,57.5,8.02,2025,0.41,🔄 轉虧為盈,62.12,0.0,3.38%,193.18
187.65,0.1,0.30000000000000027,5.36%,1516.TW,⚠️ 追價風險,-87.0,2025-12,川飛,21.2999992371,-90.58,2025,0.04,🧐 疑業外收益,-70.59,1064.9999618549991,-14.33%,100.65
184.49,1.2,56.25,N/A,6112.TW,✅ 穩健價值,18.84,2025-12,邁達特,46.5999984741,20.56,2025,1.82,🚀 利潤擴張,-3.23,12.42666625976,N/A,203.33
179.8,-0.04,11.099999999999998,N/A,6246.TWO,⚪ 中性觀察,6.56,2025-12,臺龍,15.25,11.15,2025,1.14,🔄 轉虧為盈,97.79,20.608108108108112,N/A,186.36
177.61,2.44,102.89999999999999,41.59%,4746.TW,💎 強力關注,2.54,2025-12,台耀,51.0,4.96,2025,3.67,🚀 利潤擴張,39.43,7.4344023323615165,21.37%,180.15
177.55,7.31,163.5,8.05%,3609.TWO,💎 強力關注,70.72,2025-12,三一東林,27.1000003815,27.17,2025,6.42,🚀 利潤擴張,314.37,2.4862385671100915,-11.23%,248.27
176.83,1.61,20.7,N/A,6573.TW,💎 強力關注,-13.43,2025-12,虹揚-KY,14.8999996185,-11.95,2025,1.23,🧐 疑業外收益,228.8,10.797101172826089,N/A,163.4
174.75,4.25,213.00000000000003,N/A,6719.TW,✅ 穩健價值,23.89,2025-12,力智,214.0,22.77,2025,6.58,🚀 利潤擴張,89.73,15.070422535211266,N/A,198.64
174.57,0.91,29.999999999999996,N/A,6127.TWO,⚠️ 追價風險,-1.13,2025-12,九豪,79.0,-0.97,2025,0.47,🧐 疑業外收益,275.0,39.50000000000001,N/A,173.44
174.34,0.49,24.750000000000004,42.07%,4556.TWO,⚠️ 追價風險,-3.75,2025-12,旭然,60.7999992371,-8.55,2025,0.92,🧐 疑業外收益,172.22,36.848484386121214,14.30%,170.59
173.32999999999998,0.09,13.5,N/A,5703.TWO,✅ 穩健價值,5.62,2025-12,亞都,14.1000003815,4.04,2025,0.53,🚀 利潤擴張,175.0,15.666667090555555,N/A,178.95
172.01999999999998,0.49,22.800000000000004,N/A,6209.TW,⚠️ 追價風險,50.65,2025-12,今國光,79.3000030518,39.08,2025,0.92,🚀 利潤擴張,190.57,52.1710546393421,N/A,222.67
171.64000000000001,0.81,33.150000000000006,N/A,6841.TWO,⚠️ 追價風險,12.23,2025-12,長佳智能,60.2999992371,2.1,2025,0.89,🚀 利潤擴張,1700.0,27.285067528099542,N/A,183.87
166.18,1.75,107.1,N/A,7610.TW,⚠️ 追價風險,27.9,2025-12,聯友金屬-創,1555.0,-4.54,2025,5.45,🚀 利潤擴張,3.33,217.7871148459384,N/A,194.08
