
📅 投資日報表: 2026-05-12
=======================================================================================================================================
代號     | 名稱       | 開盤     | 最高     | 最低     | 最新     | 成交量         | 平均成本    | 股數     | 損益       | 報酬%
---------------------------------------------------------------------------------------------------------------------------------------
2317     | 鴻海         | 254.00   | 254.00   | 246.00   | 250.00   | 81,122,139   | 241.21      | 2000     | ▲17,580   |   +3.64%
4142     | 國光生        | 17.70    | 17.70    | 17.50    | 17.55    | 834,001      | 25.32       | 1000     | ▼7,770    |  -30.69%
0050     | 元大台灣50     | 96.85    | 97.35    | 95.50    | 96.85    | 94,676,481   | 46.60       | 16016    | ▲804,804  | +107.83%
0056     | 元大高股息      | 45.79    | 45.95    | 45.24    | 45.58    | 69,532,981   | 36.43       | 8000     | ▲73,200   |  +25.12%
00635U   | 期元大S&P黃金   | 49.78    | 49.79    | 49.36    | 49.45    | 4,725,436    | 55.25       | 3000     | ▼17,400   |  -10.50%
00738U   | 期元大道瓊白銀    | 69.70    | 70.50    | 69.20    | 69.45    | 17,138,746   | 66.26       | 1000     | ▲3,190    |   +4.81%
00929    | 復華台灣科技優息   | 26.10    | 26.14    | 25.59    | 26.03    | 54,267,018   | 19.73       | 8000     | ▲50,400   |  +31.93%
009816   | 凱基台灣TOP50  | 14.17    | 14.21    | 13.99    | 14.06    | 240,586,000  | 11.01       | 63000    | ▲192,150  |  +27.70%
00990A   | 主動元大AI新經濟  | 18.23    | 18.28    | 17.88    | 18.14    | 32,990,390   | 11.48       | 5000     | ▲33,300   |  +58.01%
2009     | 第一銅        | 40.50    | 41.15    | 40.00    | 40.90    | 5,321,564    | 50.56       | 4000     | ▼38,640   |  -19.11%
2337     | 旺宏         | 159.50   | 159.50   | 151.50   | 153.00   | 135,092,407  | 95.28       | 2000     | ▲115,440  |  +60.58%
2409     | 友達         | 19.20    | 20.70    | 18.85    | 20.70    | 728,286,402  | 16.21       | 2000     | ▲8,980    |  +27.70%
3481     | 群創         | 34.70    | 35.50    | 33.60    | 35.50    | 829,290,829  | 25.10       | 4000     | ▲41,600   |  +41.43%
6806     | 森崴能源       | 19.60    | 19.65    | 18.90    | 19.20    | 767,190      | 45.39       | 5000     | ▼130,950  |  -57.70%
3105     | 穩懋         | 555.00   | 559.00   | 510.00   | 512.00   | 31,119,807   | 556.47      | 300      | ▼13,341   |   -7.99%
4966     | 譜瑞-KY      | 787.00   | 787.00   | 723.00   | 761.00   | 15,672,590   | 1921.64     | 1000     | ▼1,160,640 |  -60.40%
00403A   | 主動統一升級50   | 10.93    | 10.96    | 10.51    | 10.80    | 4,204,257,000 | 10.68       | 26026    | ▲3,123    |   +1.12%
00981A   | 主動統一台股增長   | 30.10    | 30.43    | 29.83    | 29.97    | 378,419,700  | 27.48       | 2000     | ▲4,980    |   +9.06%
2313     | 華通         | 246.00   | 264.50   | 246.00   | 260.00   | 91,918,126   | 250.71      | 1000     | ▲9,290    |   +3.71%
2330     | 台積電        | 2235.00  | 2280.00  | 2210.00  | 2255.00  | 44,459,541   | 225.55      | 10       | ▲20,294   | +899.78%
6239     | 力成         | 227.50   | 233.00   | 219.00   | 226.50   | 17,697,036   | 243.21      | 1000     | ▼16,710   |   -6.87%
6789     | 采鈺         | 616.00   | 642.00   | 593.00   | 594.00   | 9,709,179    | 593.50      | 400      | ▲200      |   +0.08%
5276     | 達輝-KY      | 19.85    | 19.90    | 18.80    | 18.90    | 61,022       | 22.18       | 300      | ▼984      |  -14.79%
5474     | 聰泰         | 165.00   | 165.00   | 160.50   | 163.50   | 381,020      | 175.15      | 2000     | ▼23,300   |   -6.65%
6849     | 奇鼎科技       | 245.00   | 247.00   | 232.00   | 240.00   | 392,156      | 266.40      | 280      | ▼7,392    |   -9.91%
7853     | 政美應用       | 349.00   | 380.50   | 343.00   | 379.00   | 1,380,383    | 409.29      | 280      | ▼8,481    |   -7.40%
---------------------------------------------------------------------------------------------------------------------------------------
💰 庫存總投入:       7,140,197    📊 未實現損益:         -47,077 (  -0.66%)
